taxonomy_lvl1,taxonomy_lvl2,cell_type_all_lvl2,n
Neuron,Neuron,n01.Hdc,50
Neuron,Neuron,n02.Gm8773-Tac1,83
Neuron,Neuron,n03,30
Neuron,Neuron,n04.Sst-Nts,70
Neuron,Neuron,n05.Nfix-Htr2c,35
Neuron,Neuron,n06.Oxt,36
Neuron,Neuron,n07,279
Neuron,Neuron,n08,287
Neuron,Neuron,n09.Th-Slc6a3,202
Neuron,Neuron,n10.Ghrh,504
Neuron,Neuron,n11.Th-Cxcl12,327
Neuron,Neuron,n12.Agrp-Sst,539
Neuron,Neuron,n13.Agrp-Gm8773,1747
Neuron,Neuron,n14.Pomc-Ttr,512
Neuron,Neuron,n15.Pomc-Anxa2,369
Neuron,Neuron,n16.Rgs16-Vip,474
Neuron,Neuron,n17.Rgs16-Dlx1,106
Neuron,Neuron,n18.Rgs16-Slc17a6,258
Neuron,Neuron,n19.Gpr50,67
Neuron,Neuron,n20.Kiss1-Tac2,657
Neuron,Neuron,n21.Pomc-Glipr1,310
Neuron,Neuron,n22.Tmem215,752
Neuron,Neuron,n23.Sst-Unc13c,552
Neuron,Neuron,n24.Sst-Pthlh,246
Neuron,Neuron,n25.Th-Lef1,229
Neuron,Neuron,n26.Htr3b,486
Neuron,Neuron,n27,431
Neuron,Neuron,n28.Qrfp,66
Neuron,Neuron,n29.Nr5a1-Adcyap1,745
Neuron,Neuron,n30.Nr5a1-Nfib,316
Neuron,Neuron,n31.Fam19a2,171
Neuron,Neuron,n32.Slc17a6-Trhr,342
Neuron,Neuron,n33.unassigned(1),420
Neuron,Neuron,n34.unassigned(2),1381
