taxonomy_lvl1,taxonomy_lvl2,cell_type_all_lvl2,n
Endocrine,Pars_tuberalis,s08.Pars_Tuber1A,42
Endocrine,Pars_tuberalis,s09.Pars_Tuber1B,15
Endocrine,Pars_tuberalis,s10.Pars_Tuber1C,93
Endocrine,Pars_tuberalis,s19.Parstuber2A,230
Endocrine,Pars_tuberalis,s20.Parstuber2B,8
Glia,Astrocyte,s32.Astrocytes,99
Glia,Ependymal_cell,s01.Ependymocy1,37
Glia,Ependymal_cell,s02.Ependymocy2,430
Glia,Oligodendrocyte,s03.Oligodendro1,23
Glia,Oligodendrocyte,s04.Oligodendro2,12
Glia,Oligodendrocyte,s05.Oligodendro3,96
Glia,Oligodendrocyte,s06.Oligodendro4,392
Glia,Oligodendrocyte,s07.Oligodendro5,39
Glia,Oligodendrocyte,s27.Oligodendro6,185
Glia,Oligodendrocyte,s28.NG2_OPC1,23
Glia,Oligodendrocyte,s29.NG2_OPC2,604
Glia,Tanycyte,s30.b2_tanycytes1,592
Glia,Tanycyte,s31.b2_tanycytes2,592
Glia,Tanycyte,s33.a1_tanycytes2,68
Glia,Tanycyte,s34.a1_tanycytes1,334
Glia,Tanycyte,s35.b1_tanycytes,1933
Glia,Tanycyte,s36.a2_tanycytes,1169
Immune,Perivascular_macrophages_and_microglia,s14.PVMs,26
Immune,Perivascular_macrophages_and_microglia,s15.Microglia,304
Neuron,Neuron,n01.Hdc,50
Neuron,Neuron,n02.Gm8773-Tac1,83
Neuron,Neuron,n03,30
Neuron,Neuron,n04.Sst-Nts,70
Neuron,Neuron,n05.Nfix-Htr2c,35
Neuron,Neuron,n06.Oxt,36
Neuron,Neuron,n07,279
Neuron,Neuron,n08,287
Neuron,Neuron,n09.Th-Slc6a3,202
Neuron,Neuron,n10.Ghrh,504
Neuron,Neuron,n11.Th-Cxcl12,327
Neuron,Neuron,n12.Agrp-Sst,539
Neuron,Neuron,n13.Agrp-Gm8773,1747
Neuron,Neuron,n14.Pomc-Ttr,512
Neuron,Neuron,n15.Pomc-Anxa2,369
Neuron,Neuron,n16.Rgs16-Vip,474
Neuron,Neuron,n17.Rgs16-Dlx1,106
Neuron,Neuron,n18.Rgs16-Slc17a6,258
Neuron,Neuron,n19.Gpr50,67
Neuron,Neuron,n20.Kiss1-Tac2,657
Neuron,Neuron,n21.Pomc-Glipr1,310
Neuron,Neuron,n22.Tmem215,752
Neuron,Neuron,n23.Sst-Unc13c,552
Neuron,Neuron,n24.Sst-Pthlh,246
Neuron,Neuron,n25.Th-Lef1,229
Neuron,Neuron,n26.Htr3b,486
Neuron,Neuron,n27,431
Neuron,Neuron,n28.Qrfp,66
Neuron,Neuron,n29.Nr5a1-Adcyap1,745
Neuron,Neuron,n30.Nr5a1-Nfib,316
Neuron,Neuron,n31.Fam19a2,171
Neuron,Neuron,n32.Slc17a6-Trhr,342
Neuron,Neuron,n33.unassigned(1),420
Neuron,Neuron,n34.unassigned(2),1381
Other,Fibroblast,s16.Fibroblasts1,14
Other,Fibroblast,s17.Fibroblasts2,38
Other,Fibroblast,s18.Fibroblasts3,120
Vascular,Endothelial_cell,s11.Endothelial,240
Vascular,Mural_cell,s12.Mural_Cells1,29
Vascular,Mural_cell,s13.Mural_Cells2,55
