specificity_id,annotation_prefix,annotation,annotation_fmt,annotation_marker,taxonomy_lvl2,Notes
campbell2017_lvl2,ARCME,n01.Hdc,ARCME-NEURO1,Hdc,Neuron,
campbell2017_lvl2,ARCME,n02.Gm8773-Tac1,ARCME-NEURO2,Gm8773/Tac1,Neuron,
campbell2017_lvl2,ARCME,n03,ARCME-NEURO3,Th/Sst,Neuron,
campbell2017_lvl2,ARCME,n04.Sst-Nts,ARCME-NEURO4,Sst/Nts,Neuron,
campbell2017_lvl2,ARCME,n05.Nfix-Htr2c,ARCME-NEURO5,Nfix/Htr2c,Neuron,
campbell2017_lvl2,ARCME,n06.Oxt,ARCME-NEURO6,Oxt,Neuron,
campbell2017_lvl2,ARCME,n07,ARCME-NEURO7,Arx/Nr5a2,Neuron,
campbell2017_lvl2,ARCME,n08,ARCME-NEURO8,Th/Slc6a3,Neuron,
campbell2017_lvl2,ARCME,n09.Th-Slc6a3,ARCME-NEURO9,Th/Slc6a3,Neuron,
campbell2017_lvl2,ARCME,n10.Ghrh,ARCME-NEURO10,Ghrh,Neuron,
campbell2017_lvl2,ARCME,n11.Th-Cxcl12,ARCME-NEURO11,Th/Cxcl12,Neuron,
campbell2017_lvl2,ARCME,n12.Agrp-Sst,ARCME-NEURO12,Agrp/Sst,Neuron,
campbell2017_lvl2,ARCME,n13.Agrp-Gm8773,ARCME-NEURO13,Agrp/Gm8773,Neuron,
campbell2017_lvl2,ARCME,n14.Pomc-Ttr,ARCME-NEURO14,Pomc/Ttr,Neuron,
campbell2017_lvl2,ARCME,n15.Pomc-Anxa2,ARCME-NEURO15,Pomc/Anxa2,Neuron,
campbell2017_lvl2,ARCME,n16.Rgs16-Vip,ARCME-NEURO16,Rgs16/Vip,Neuron,
campbell2017_lvl2,ARCME,n17.Rgs16-Dlx1,ARCME-NEURO17,Rgs16/Dlx1,Neuron,
campbell2017_lvl2,ARCME,n18.Rgs16-Slc17a6,ARCME-NEURO18,Rgs16/Slc17a6,Neuron,
campbell2017_lvl2,ARCME,n19.Gpr50,ARCME-NEURO19,Gpr50,Neuron,
campbell2017_lvl2,ARCME,n20.Kiss1-Tac2,ARCME-NEURO20,Kiss1/Tac2,Neuron,
campbell2017_lvl2,ARCME,n21.Pomc-Glipr1,ARCME-NEURO21,Pomc/Glipr1,Neuron,
campbell2017_lvl2,ARCME,n22.Tmem215,ARCME-NEURO22,Tmem215,Neuron,
campbell2017_lvl2,ARCME,n23.Sst-Unc13c,ARCME-NEURO23,Sst/Unc13c,Neuron,
campbell2017_lvl2,ARCME,n24.Sst-Pthlh,ARCME-NEURO24,Sst/Pthlh,Neuron,
campbell2017_lvl2,ARCME,n25.Th-Lef1,ARCME-NEURO25,Th/Lef1,Neuron,
campbell2017_lvl2,ARCME,n26.Htr3b,ARCME-NEURO26,Htr3b,Neuron,
campbell2017_lvl2,ARCME,n27,ARCME-NEURO27,Tbx19,Neuron,
campbell2017_lvl2,ARCME,n28.Qrfp,ARCME-NEURO28,Qrfp,Neuron,
campbell2017_lvl2,ARCME,n29.Nr5a1-Adcyap1,ARCME-NEURO29,Nr5a1/Adcyap1,Neuron,
campbell2017_lvl2,ARCME,n30.Nr5a1-Nfib,ARCME-NEURO30,Nr5a1/Nfib,Neuron,
campbell2017_lvl2,ARCME,n31.Fam19a2,ARCME-NEURO31,Fam19a2,Neuron,
campbell2017_lvl2,ARCME,n32.Slc17a6-Trhr,ARCME-NEURO32,Slc17a6/Trhr,Neuron,
campbell2017_lvl2,ARCME,n33.unassigned(1),ARCME-OTHER1,unassigned-1,Other,Cell-type marked as unassigned by authors
campbell2017_lvl2,ARCME,n34.unassigned(2),ARCME-OTHER2,unassigned-2,Other,Cell-type marked as unassigned by authors
campbell2017_lvl2,ARCME,s01.Ependymocy1,ARCME-EPENDY1,,Ependymal,
campbell2017_lvl2,ARCME,s02.Ependymocy2,ARCME-EPENDY2,,Ependymal,
campbell2017_lvl2,ARCME,s03.Oligodendro1,ARCME-OLIGO1,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s04.Oligodendro2,ARCME-OLIGO2,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s05.Oligodendro3,ARCME-OLIGO3,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s06.Oligodendro4,ARCME-OLIGO4,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s07.Oligodendro5,ARCME-OLIGO5,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s08.Pars_Tuber1A,ARCME-PATU1,,Pars tuberalis,
campbell2017_lvl2,ARCME,s09.Pars_Tuber1B,ARCME-PATU2,,Pars tuberalis,
campbell2017_lvl2,ARCME,s10.Pars_Tuber1C,ARCME-PATU3,,Pars tuberalis,
campbell2017_lvl2,ARCME,s11.Endothelial,ARCME-EPI1,,Epithelial,
campbell2017_lvl2,ARCME,s12.Mural_Cells1,ARCME-MURAL1,,Mural,
campbell2017_lvl2,ARCME,s13.Mural_Cells2,ARCME-MURAL2,,Mural,
campbell2017_lvl2,ARCME,s14.PVMs,ARCME-PVM1,,Macrophage,Perivascular macrophages
campbell2017_lvl2,ARCME,s15.Microglia,ARCME-MICRO1,,Microglia,
campbell2017_lvl2,ARCME,s16.Fibroblasts1,ARCME-FIBRO1,,Fibroblast,
campbell2017_lvl2,ARCME,s17.Fibroblasts2,ARCME-FIBRO2,,Fibroblast,
campbell2017_lvl2,ARCME,s18.Fibroblasts3,ARCME-FIBRO3,,Fibroblast,
campbell2017_lvl2,ARCME,s19.Parstuber2A,ARCME-PATU4,,Pars tuberalis,
campbell2017_lvl2,ARCME,s20.Parstuber2B,ARCME-PATU5,,Pars tuberalis,
campbell2017_lvl2,ARCME,s27.Oligodendro6,ARCME-OLIGO6,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s28.NG2_OPC1,ARCME-NG21,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s29.NG2_OPC2,ARCME-NG22,,Oligodendrocyte,
campbell2017_lvl2,ARCME,s30.b2_tanycytes1,ARCME-TANY1,,Tanycyte,
campbell2017_lvl2,ARCME,s31.b2_tanycytes2,ARCME-TANY2,,Tanycyte,
campbell2017_lvl2,ARCME,s32.Astrocytes,ARCME-ASTRO1,,Astrocyte,
campbell2017_lvl2,ARCME,s33.a1_tanycytes2,ARCME-TANY3,Alpha1,Tanycyte,
campbell2017_lvl2,ARCME,s34.a1_tanycytes1,ARCME-TANY4,Alpha1,Tanycyte,
campbell2017_lvl2,ARCME,s35.b1_tanycytes,ARCME-TANY5,Beta1,Tanycyte,
campbell2017_lvl2,ARCME,s36.a2_tanycytes,ARCME-TANY6,Beta2,Tanycyte,
chen2017,HYPC,Astro,HYPC-ASTRO1,Gja1/Ppap2b,Astrocyte,
chen2017,HYPC,Ependy,HYPC-EPENDY1,Rarres2/Dbi,Ependymal,
chen2017,HYPC,Epith1,HYPC-EPITH1,Itm2a/Slco1a4,Epithelial,
chen2017,HYPC,Epith2,HYPC-EPITH2,Timp3/Slc9a3r2,Epithelial,
chen2017,HYPC,GABA1,HYPC-NEURO1,Pvalb/Cplx3,Neuron,
chen2017,HYPC,GABA10,HYPC-NEURO2,Prok2/Gal,Neuron,
chen2017,HYPC,GABA11,HYPC-NEURO3,Ghrh/Gal,Neuron,
chen2017,HYPC,GABA12,HYPC-NEURO4,Crabp1/Tbx3,Neuron,
chen2017,HYPC,GABA13,HYPC-NEURO5,Gal/Hmx3,Neuron,
chen2017,HYPC,GABA14,HYPC-NEURO6,Sst/Sstr1,Neuron,
chen2017,HYPC,GABA15,HYPC-NEURO7,Npy/Agrp,Neuron,
chen2017,HYPC,GABA16,HYPC-NEURO8,Asb4/Cox6a2,Neuron,
chen2017,HYPC,GABA17,HYPC-NEURO9,Prlr/Slc18a2,Neuron,
chen2017,HYPC,GABA18,HYPC-NEURO10,1500016L03Rik/Coch,Neuron,
chen2017,HYPC,GABA2,HYPC-NEURO11,St18/Npas1,Neuron,
chen2017,HYPC,GABA3,HYPC-NEURO12,Meis2/Arpp21,Neuron,
chen2017,HYPC,GABA4,HYPC-NEURO13,Arx/Gm13498,Neuron,
chen2017,HYPC,GABA5,HYPC-NEURO14,Lhx6/Lhx8,Neuron,
chen2017,HYPC,GABA6,HYPC-NEURO15,Pax6/Myh7,Neuron,
chen2017,HYPC,GABA7,HYPC-NEURO16,Th/Unc13c,Neuron,
chen2017,HYPC,GABA8,HYPC-NEURO17,Dlk1/Vgf,Neuron,
chen2017,HYPC,GABA9,HYPC-NEURO18,1500016L03Rik/Lhx1,Neuron,
chen2017,HYPC,Glu1,HYPC-NEURO19,Rasd1/Rgs2,Neuron,
chen2017,HYPC,Glu10,HYPC-NEURO20,Trh/Bdnf,Neuron,
chen2017,HYPC,Glu11,HYPC-NEURO21,Tac2/Kiss1,Neuron,
chen2017,HYPC,Glu12,HYPC-NEURO22,Lhx9/Vgll2,Neuron,
chen2017,HYPC,Glu13,HYPC-NEURO23,Pomc/Cartpt,Neuron,
chen2017,HYPC,Glu14,HYPC-NEURO24,Avp/Pcsk1,Neuron,
chen2017,HYPC,Glu15,HYPC-NEURO25,Sst/Nhlh2,Neuron,
chen2017,HYPC,Glu2,HYPC-NEURO26,Sln/Calb2,Neuron,
chen2017,HYPC,Glu3,HYPC-NEURO27,Nrn1/Fezf2,Neuron,
chen2017,HYPC,Glu4,HYPC-NEURO28,Tcf7l2/Shox2,Neuron,
chen2017,HYPC,Glu5,HYPC-NEURO29,Foxb1/Cpne9,Neuron,
chen2017,HYPC,Glu6,HYPC-NEURO30,Tac1/Aldh3b2,Neuron,
chen2017,HYPC,Glu7,HYPC-NEURO31,Nrgn/Fezf1,Neuron,
chen2017,HYPC,Glu8,HYPC-NEURO32,Ptprr/Lhx9,Neuron,
chen2017,HYPC,Glu9,HYPC-NEURO33,Samd3/Gng8,Neuron,
chen2017,HYPC,Hista,HYPC-NEURO34,Prph/Wif1,Neuron,
chen2017,HYPC,IMO,HYPC-OLIGO1,Fyn/Bcas1,Oligodendrocyte,immature_oligodendrocyte
chen2017,HYPC,Macro,HYPC-MACRO1,Pf4/Lyz2,Macrophage,
chen2017,HYPC,Micro,HYPC-MICRO1,Hexb/Ctss,Microglia,
chen2017,HYPC,MO,HYPC-MO1,Mog/Plp1,Oligodendrocyte,myelinating_oligodendrocyte
chen2017,HYPC,OPC,HYPC-OPC1,Serpine2/Olig1,Oligodendrocyte,
chen2017,HYPC,POPC,HYPC-OPC2,Top2a/Cdca3,Oligodendrocyte,proliferating_oligodendrocyte_progenitor
chen2017,HYPC,Tany,HYPC-TANY1,Prdx6/Cst3,Tanycyte,
kimVMH2019_smartseq,VMH,Astro_Aqp4,VMH-ASTRO1,Aqp4,Astrocyte,
kimVMH2019_smartseq,VMH,Clic4,VMH-NEURO1,Clic4,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_1_Il1rapl2,VMH-NEURO2,Dlk1/Il1rapl2,Neuron,
kimVMH2019_smartseq,VMH,Dlk1_2_Nts,VMH-NEURO3,Dlk1/Nts,Neuron,
