Dendrogram order_table_s3,ClusterName
0,TEGLU1
1,TEGLU3
2,TEGLU2
3,TEGLU20
4,TEGLU11
5,TEGLU12
6,TEGLU10
7,TEGLU9
8,TEGLU8
9,TEGLU7
10,TEGLU6
11,TEGLU13
12,TEGLU14
13,TEGLU5
14,TEGLU16
15,TEGLU15
16,TEGLU17
17,TEGLU18
18,TEGLU19
19,TEGLU22
20,TEGLU21
21,TEGLU4
22,TEGLU24
23,TEGLU23
24,DGGRC1
25,DGGRC2
26,MSN1
27,MSN2
28,MSN3
29,MSN4
30,MSN5
31,MSN6
32,DETPH
33,DGNBL2
34,DGNBL1
35,SZNBL
36,OBNBL3
37,OBINH1
38,OBINH5
39,OBINH2
40,OBINH3
41,OBINH4
42,OBNBL4
43,OBNBL5
44,OBDOP
45,OBINH6
46,DEINH1
47,DEINH2
48,TEINH17
49,TEINH18
50,TEINH19
51,TEINH21
52,TEINH16
53,TEINH15
54,TEINH14
55,TEINH20
56,TEINH13
57,TEINH12
58,TEINH9
59,TEINH10
60,TEINH11
61,TEINH4
62,TEINH5
63,TEINH8
64,TEINH7
65,TEINH6
66,TECHO
67,DECHO1
68,HBCHO4
69,HBCHO3
70,HBADR
71,HBNOR
72,HYPEP7
73,HYPEP6
74,MEGLU14
75,MBDOP1
76,MBDOP2
77,HBSER1
78,HBSER2
79,HBSER3
80,HBSER5
81,HBSER4
82,TEINH3
83,TEINH2
84,DEINH4
85,DEINH5
86,HYPEP3
87,HYPEP1
88,HYPEP2
89,MEINH14
90,DEINH6
91,DEINH8
92,DEINH7
93,HYPEP5
94,HYPEP4
95,HYPEP8
96,SCINH11
97,SCINH10
98,SCINH9
99,SCINH8
100,SCINH7
101,SCINH6
102,SCINH5
103,SCINH4
104,SCINH3
105,HBINH9
106,SCINH2
107,SCGLU1
108,SCGLU2
109,SCGLU3
110,SCGLU4
111,SCGLU5
112,SCGLU6
113,SCGLU7
114,SCGLU8
115,SCGLU9
116,SCGLU10
117,HBGLU10
118,HBGLU3
119,HBGLU2
120,MEGLU2
121,MEGLU3
122,DEGLU5
123,MEGLU1
124,MEGLU7
125,MEGLU8
126,MEGLU9
127,MEGLU10
128,MEGLU11
129,MBCHO1
130,MEGLU6
131,MEGLU5
132,MEGLU4
133,CR
134,DECHO2
135,HBGLU1
136,DEGLU1
137,DEGLU2
138,DEGLU3
139,DEGLU4
140,MEINH12
141,MEINH11
142,MEINH10
143,MEINH9
144,MEINH5
145,MEINH6
146,MEINH7
147,MEINH4
148,MEINH3
149,HBINH5
150,MEINH2
151,DEINH3
152,TEINH1
153,MEINH13
154,MEINH8
155,HBINH1
156,HBINH3
157,HBINH4
158,HBINH6
159,HBINH2
160,HBCHO1
161,HBCHO2
162,HBGLU4
163,HBGLU5
164,HBGLU6
165,HBGLU7
166,HBGLU8
167,HBGLU9
168,HBINH7
169,HBINH8
170,SCINH1
171,CBINH2
172,MEINH1
173,CBINH1
174,CBPC
175,CBGRC
176,CBNBL2
177,CBNBL1
178,SEPNBL
179,OBNBL1
180,OBNBL2
181,ENT1
182,ENT2
183,ENT3
184,ENT4
185,ENT5
186,ENT6
187,ENT7
188,ENT8
189,ENT9
190,SYNOR1
191,SYNOR2
192,SYNOR3
193,SYNOR4
194,SYNOR5
195,SYCHO2
196,SYCHO1
197,PSPEP8
198,PSPEP7
199,PSPEP6
200,PSPEP5
201,PSPEP2
202,PSPEP4
203,PSPEP3
204,PSPEP1
205,PSNF3
206,PSNF2
207,PSNF1
208,PSNP1
209,PSNP2
210,PSNP3
211,PSNP4
212,PSNP5
213,PSNP6
214,COP1
215,COP2
216,NFOL2
217,NFOL1
218,MFOL2
219,MFOL1
220,MOL1
221,MOL2
222,MOL3
223,CHOR
224,HYPEN
225,EPSC
226,EPEN
227,EPMB
228,RGDG
229,RGSZ
230,ACTE1
231,ACTE2
232,ACOB
233,ACNT1
234,ACNT2
235,ACMB
236,ACBG
237,OEC
238,OPC
239,SCHW
240,SATG2
241,SATG1
242,ENTG1
243,ENTG2
244,ENTG3
245,ENTG4
246,ENTG5
247,ENTG6
248,ENTG7
249,ENMFB
250,ABC
251,VLMC2
252,VLMC1
253,VECA
254,PER3
255,VSMCA
256,PER1
257,PER2
258,VECC
259,VECV
260,PVM1
261,PVM2
262,MGL3
263,MGL2
264,MGL1
