gene_symbol	ensembl_gene_id
FTO	ENSG00000140718
MC4R	ENSG00000166603
TMEM18	ENSG00000151353
GNPDA2	ENSG00000163281
SEC16B	ENSG00000120341
TFAP2B	ENSG00000008196
BDNF	ENSG00000176697
NEGR1	ENSG00000172260
BCDIN3D	ENSG00000186666
ADCY3	ENSG00000138031
ATP2A1	ENSG00000196296
ETV5	ENSG00000244405
GPRC5B	ENSG00000167191
QPCTL	ENSG00000011478
MAP2K5	ENSG00000137764
MTCH2	ENSG00000109919
POC5	ENSG00000152359
TNNI3K	ENSG00000116783
ZC3H4	ENSG00000130749
NRXN3	ENSG00000021645
CADM2	ENSG00000175161
LINGO2	ENSG00000174482
GNAT2	ENSG00000134183
AGBL4	ENSG00000186094
OLFM4	ENSG00000102837
CADM1	ENSG00000182985
SLC39A8	ENSG00000138821
PTBP2	ENSG00000117569
TCF7L2	ENSG00000148737
STXBP6	ENSG00000168952
HNF4G	ENSG00000164749
ZFP64	ENSG00000020256
FANCL	ENSG00000115392
TRIM66	ENSG00000166436
PAX2	ENSG00000075891
GIPC2	ENSG00000137960
ERBB4	ENSG00000178568
FHIT	ENSG00000189283
NAV1	ENSG00000134369
C14orf23	ENSG00000186960
CALCR	ENSG00000004948
RASA2	ENSG00000155903
HIP1	ENSG00000127946
SLX4	ENSG00000188827
TLR4	ENSG00000136869
KAT8	ENSG00000103510
KCNK3	ENSG00000171303
SBK1	ENSG00000188322
RARB	ENSG00000077092
RPTOR	ENSG00000141564
ADPGK	ENSG00000159322
PRKD1	ENSG00000184304
CCDC171	ENSG00000164989
USP37	ENSG00000135913
PARK2	ENSG00000185345
DMXL2	ENSG00000104093
SCARB2	ENSG00000138760
NT5C2	ENSG00000076685
CBLN1	ENSG00000102924
MFAP3	ENSG00000037749
IRS1	ENSG00000169047
UBE2E3	ENSG00000170035
TOMM40	ENSG00000130204
NUP88	ENSG00000108559
ELAVL4	ENSG00000162374
RIT2	ENSG00000152214
ETS2	ENSG00000157557
FOXO3	ENSG00000118689
LMX1B	ENSG00000136944
EHBP1	ENSG00000115504
CLIP1	ENSG00000130779
SMG6	ENSG00000070366
TAL1	ENSG00000162367
LRP1B	ENSG00000168702
KCTD15	ENSG00000153885
HHIP	ENSG00000164161
GBE1	ENSG00000114480
MAN1A1	ENSG00000111885
FRRS1L	ENSG00000260230
INO80E	ENSG00000169592
RNF219	ENSG00000152193
GRID1	ENSG00000182771
HSD17B12	ENSG00000149084
UPK3B	ENSG00000243566
CREB1	ENSG00000118260
PGPEP1	ENSG00000130517
GRP	ENSG00000134443
ZBTB10	ENSG00000205189
C18orf8	ENSG00000141452
IFNGR1	ENSG00000027697
RALYL	ENSG00000184672
PCDH9	ENSG00000184226
FIGN	ENSG00000182263
ASB4	ENSG00000005981
