gene_symbol,ensembl_gene_ID,category
Bdnf,ENSG00000176697,Monogenic obesity
Cep19,ENSG00000174007,Monogenic obesity
Ksr2,ENSG00000171435,Extreme obesity
Lep,ENSG00000174697,Monogenic obesity
Lepr,ENSG00000116678,Monogenic obesity
Mc4r,ENSG00000166603,Monogenic obesity
Ntrk2,ENSG00000148053,Monogenic obesity
Pcsk1,ENSG00000175426,Monogenic obesity
Pomc,ENSG00000115138,Monogenic obesity
Sh2b1,ENSG00000178188,Extreme obesity
Sim1,ENSG00000112246,Monogenic obesity
Wnt10b,ENSG00000169884,Extreme obesity
