gene	phenotypic_details	technique	ref
ACADVL	Adult-onset fat mass gain	Knock-out	Exil, VJ. 2003. Circ Res
ADAR2	Obesity under HFD*	Transgenic	Singh, M. 2007. J Biol Chem
ADRA1B	Accelerated weight gain on HFD	Knock-out	Burcelin, R. 2004. J Biol Chem
ADRA2A	Obesity in homozygous mutation	Transgenic	Valet, P. 2000. J Biol Chem
ADRB1	Obesity	Knock-out	Bachman, ES. 2002. Science
ADRB2	Obesity	Knock-out	Soloveva, V. 1997. Mol Endocrinol
ADRB3	Obesity on HFD	Knock-out	Susulic, VS. 1995. J Biol Chem
AEBP1	Obesity in females	Transgenic	Zhang, L. 2005. Mol Med
AGRP	Elevated weight gain & obesity	Transgenic	Ollman, MM. 1997. Science
ALMS1	Obesity	Knock-out	Collin, GB. 2005. Hum Mol Genet
ALP1	Accelerated weight gain on HFD	Knock-out	Narisawa, S. 2003. Mol Cell Biol
ANGPTL6	Obesity and insulin resistance	Knock-out	Oike, Y. 2005. Nat Med
ANKRD26	Obesity in homozygotes	Transgenic	Bera, TK. 2008. Acad Sci USA
APOB	Increased BW*	Knock-out	Siri, P. 2009. J Biol Chem
APOC3	Obesity on HFD	Transgenic	Jong, MC. 2001. J Lipid Res
APOE	Obesity	Knock-out	Zhang, T. 2013. Reproduction
AQP7	Adult-onset obesity	Knock-out	Hibuse, T. 2005. Proc Natl Acad Sci USA
AR	Obesity, decreased energy expenditure	Cre/LoxP	Fan, W. 2005. Diabetes
ASIP	Increased BW & Fat mass – Obesity	Transgenic	Mynatt, RL. 1997. Natl Acad Sci USA
AT2R	Increase in BW in females only	Knock-out	Samuel, P. 2013. PLoS One
ATX	Increase in adiposity in fat-specific knockout under HFD	Cre/LoxP	Dusaulcy, R. 2011. J Lipid Res
ATXN2	Obesity under HFD	Knock-out	Kiehl, T. 2006. Biochem Biophys Res Commun
BBS1	Adult-onset obesity in 10% of mutants	Knock-out	Kulaga, HM. 2004. Nat Genet
BBS2	Adult-onset fat mass gain	Knock-out	Nishimura, DY. 2004. Proc Natl Acad Sci USA
BBS4	Adult-onset obesity	Knock-out	Mykytyn, K. 2004. Proc Natl Acad Sci USA
BBS7	Obesity	Knock-out	Zhang, Q. 2013. J Cell Sci
BDNF	Adult-onset obesity in heterozygotes	Knock-out	Coppola, V. 2004. Neuroreport
BRD2	Obesity	Knock-out	Wang, F. 2009. Biochem J
BRS3	Obesity	Knock-out	Ohki-Hamazaki, H. 1997. Nature
CAPN10	Increase in body weight	Knock-out	Cheverud, JM. 2010. J Lipid Res
CART	Adult-onset obesity	Knock-out	Wierup, N. 2005. Regul Pept
CAV3	Increased adiposity	Knock-out	Capozza, F. 2005. Am J Physiol Cell Physiol
CB2R	Increase in body weight and hyperphagia	Knock-out	Agudo, J. 2010. Diabetologia
CCKBR	Obesity	Knock-out	Lavine, J. 2010. Endocrinol
CDH2	Increased adiposity	Transgenic	Castro, CH. 2004. J Cell Sci
CDKN1A	Increased adiposity	Knock-out	Naaz, A. 2004. FASEB J
CDKN1B	Increased adiposity	Knock-out	Naaz, A. 2004. FASEB J
CEP19	Obesity	Knock-out	Shalata, A. 2013. Am J Hum Genet
CHEMR23	Adult-onset obesity	Knock-out	Rouger, L. 2013. J Endocrinol
CHGA	Increased adiposity	Knock-out	Bandyopadhyay, G. 2012. J Biol Chem
CHOP	Obesity under HFD	Knock-out	Grant, RW. 2014. J Biol Chem
CLOCK	Obesity	Knock-out	Turek, F. 2005. Science
CORIN	Increased bodyweight	Knock-out	Chan, JC. 2005. Proc Natl Acad Sci USA
CPE	Obesity	Knock-out	Cawley, NX. 2004. Endocrinology
CPT1	Obesity under HFD	Knock-out	Gao, FX. 2009. Diabetologia
CRH	Excess fat accumulation & muscle atrophy	Transgenic	Stenzel-Poore, MP. 1992. Endocrinology
CRY1	Obesity under HFD	Knock-out	Barclay, JL. 2013. Am J Physiol Endorinol Metab
CRY2	Obesity under HFD	Knock-out	Barclay, JL. 2013. Am J Physiol Endorinol Metab
CSF2	Adult-onset obesity	Knock-out	Reed, JA. 2005. J Clin Invest
CTRP9	Increased bodyweight & adiposity	Knock-out	Wei, Z. 2014. Am J Physiol Endocrinol Metab
CYP19A1	Elevated gonadal fat pad weight	Knock-out	Misso, ML. 2005. Horm Metab Res
D2	Increased BW & adiposity	Knock-out	Marsili, A. 2011. PLoS One
DGAT1	Increased gonadal but not subcutaneous fat	over-expression	Yamazaki, T. 2005. J Biol Chem
DPT	Increased subcutaneous fat	Knock-out	Takeda, U. 2002. J Invest Dermatol
DRD3	Increased adiposity and obesity	Knock-out	McQuade, JA. 2004. Behav Brain Res
CDT1	Obesity	Transgenic	Walz, K. 2003. Mol Cell Biol
dup(17)	Obesity	Transgenic	Walz, K. 2003. Mol Cell Biol
ECSCR	Obesity under HFD	Transgenic	Akakabe, Y. 2013. Nat Commun
ESR1	Obesity	Knock-out	Heine, PA. 2000. Proc Natl Acad Sci USA
FABP4	Obesity in homozygotes under HFD	Knock-out	Hotamisligil, GS. 1996. Science
FATP4	Obesity in homozygotes under HFD	Knock-out	Lenz, LS. 2011. J Biol Chem
