gene	phenotypic_details	technique	ref	ensembl_gene_id_mouse	ensembl_gene_id
Acadvl	Adult-onset fat mass gain	Knock-out	Exil, VJ. 2003. Circ Res	ENSMUSG00000018574	ENSG00000072778
Adar2	Obesity under HFD*	Transgenic	Singh, M. 2007. J Biol Chem	NA	NA
Adra1b	Accelerated weight gain on HFD	Knock-out	Burcelin, R. 2004. J Biol Chem	ENSMUSG00000050541	ENSG00000170214
Adra2a	Obesity in homozygous mutation	Transgenic	Valet, P. 2000. J Biol Chem	ENSMUSG00000033717	ENSG00000150594
Adrb1	Obesity	Knock-out	Bachman, ES. 2002. Science	ENSMUSG00000035283	ENSG00000043591
Adrb2	Obesity	Knock-out	Soloveva, V. 1997. Mol Endocrinol	ENSMUSG00000045730	ENSG00000169252
Adrb3	Obesity on HFD	Knock-out	Susulic, VS. 1995. J Biol Chem	ENSMUSG00000031489	ENSG00000188778
Aebp1	Obesity in females	Transgenic	Zhang, L. 2005. Mol Med	ENSMUSG00000020473	ENSG00000106624
Agrp	Elevated weight gain & obesity	Transgenic	Ollman, MM. 1997. Science	ENSMUSG00000005705	ENSG00000159723
Alms1	Obesity	Knock-out	Collin, GB. 2005. Hum Mol Genet	ENSMUSG00000063810	ENSG00000116127
Alp1	Accelerated weight gain on HFD	Knock-out	Narisawa, S. 2003. Mol Cell Biol	NA	NA
Angptl6	Obesity and insulin resistance	Knock-out	Oike, Y. 2005. Nat Med	ENSMUSG00000038742	ENSG00000130812
Ankrd26	Obesity in homozygotes	Transgenic	Bera, TK. 2008. Acad Sci USA	ENSMUSG00000007827	ENSG00000107890
Apob	Increased BW*	Knock-out	Siri, P. 2009. J Biol Chem	ENSMUSG00000020609	ENSG00000084674
Apoc3	Obesity on HFD	Transgenic	Jong, MC. 2001. J Lipid Res	ENSMUSG00000032081	ENSG00000110245
Apoe	Obesity	Knock-out	Zhang, T. 2013. Reproduction	ENSMUSG00000002985	ENSG00000130203
