gene_symbol	ensembl_id
BASP1	ENSG00000176788
DSTN	ENSG00000125868
CHCHD3	ENSG00000106554
CSE1L	ENSG00000124207
SFN	ENSG00000175793
DCTN1	ENSG00000204843
PPFIA2	ENSG00000139220
TBC1D24	ENSG00000162065
KPNB1	ENSG00000108424
HADHB	ENSG00000138029
HCK	ENSG00000101336
CTNNB1	ENSG00000168036
LYN	ENSG00000254087
PURA	ENSG00000185129
ESYT1	ENSG00000139641
MAP2K1	ENSG00000169032
PRKCG	ENSG00000126583
PFKM	ENSG00000152556
GSN	ENSG00000148180
CNTN1	ENSG00000018236
GIT1	ENSG00000108262
BRSK1	ENSG00000160469
MAP6	ENSG00000171533
SLC27A4	ENSG00000167114
AP2A2	ENSG00000183020
SEPT7	ENSG00000122545
APOE	ENSG00000130203
PSD3	ENSG00000156011
PFKP	ENSG00000067057
DNAJC13	ENSG00000138246
ALDH2	ENSG00000111275
ACO2	ENSG00000100412
PDHB	ENSG00000168291
LANCL2	ENSG00000132434
ATP6V1D	ENSG00000100554
PIN1	ENSG00000127445
IDH2	ENSG00000182054
ALDOA	ENSG00000149925
SYN1	ENSG00000008056
NAPA	ENSG00000105402
NDUFA7	ENSG00000267855
ATL1	ENSG00000198513
NCDN	ENSG00000020129
ATP1A3	ENSG00000105409
EPHA4	ENSG00000116106
CST3	ENSG00000101439
MACF1	ENSG00000127603
RBX1	ENSG00000100387
ANXA6	ENSG00000197043
CCT2	ENSG00000166226
LMTK3	ENSG00000142235
CAMK2D	ENSG00000145349
DNAJB6	ENSG00000105993
AP2A1	ENSG00000196961
GNL1	ENSG00000235986
DOCK9	ENSG00000088387
PKM2	ENSG00000067225
ABLIM1	ENSG00000099204
L1CAM	ENSG00000267951
NCKIPSD	ENSG00000213672
SYNJ1	ENSG00000159082
CEND1	ENSG00000184524
ERC1	ENSG00000082805
GABBR2	ENSG00000136928
RPN1	ENSG00000163902
ACTN1	ENSG00000072110
EVL	ENSG00000196405
CAP1	ENSG00000131236
LRRC47	ENSG00000130764
GPR158	ENSG00000151025
CCT5	ENSG00000150753
SEPT5	ENSG00000184702
PRKAR1A	ENSG00000108946
