gene_symbol	ensembl_id
PGAM1	ENSG00000171314
JAKMIP2	ENSG00000176049
RPS28	ENSG00000233927
PGAM5	ENSG00000247077
SLC25A31	ENSG00000151475
PRR7	ENSG00000131188
STX1B	ENSG00000099365
BCKDK	ENSG00000103507
ANK1	ENSG00000029534
COPB2	ENSG00000184432
RPL31	ENSG00000071082
CDIPT	ENSG00000103502
SFN	ENSG00000175793
ARHGEF2	ENSG00000116584
SLC25A22	ENSG00000177542
PPFIA2	ENSG00000139220
RAP1GAP	ENSG00000076864
MGST3	ENSG00000143198
HADHB	ENSG00000138029
RPL11	ENSG00000142676
SMC3	ENSG00000108055
NEDD4L	ENSG00000049759
LYN	ENSG00000254087
PHB2	ENSG00000269079
PURA	ENSG00000185129
PRPS1	ENSG00000147224
NCRNA00219	ENSG00000224032
KCNJ4	ENSG00000168135
MAP2K1	ENSG00000169032
GRB10	ENSG00000106070
PRKCG	ENSG00000126583
NME2	ENSG00000011052
FAM38A	ENSG00000103335
ANK2	ENSG00000145362
RPLP1	ENSG00000137818
CNTN1	ENSG00000018236
CAPZA2	ENSG00000198898
BRSK1	ENSG00000160469
MAP6	ENSG00000171533
ABHD14B	ENSG00000114779
AP2A2	ENSG00000183020
GOLGA2	ENSG00000167110
NDUFA4	ENSG00000189043
DLG1	ENSG00000075711
PSD3	ENSG00000156011
ANXA1	ENSG00000135046
ABCB8	ENSG00000197150
TJAP1	ENSG00000137221
MKL2	ENSG00000186260
PC	ENSG00000173599
PFKP	ENSG00000067057
ARPC5L	ENSG00000136950
NEBL	ENSG00000078114
NPTX1	ENSG00000171246
HIST1H1E	ENSG00000168298
GABARAPL2	ENSG00000034713
ACO2	ENSG00000100412
CACNB1	ENSG00000067191
HSD17B10	ENSG00000268188
LANCL2	ENSG00000132434
ATP6V1D	ENSG00000100554
NAPG	ENSG00000134265
IDH2	ENSG00000182054
SND1	ENSG00000197157
PRPH	ENSG00000135406
ALDOA	ENSG00000149925
ACACA	ENSG00000132142
SYN1	ENSG00000008056
NF1	ENSG00000196712
LRP1	ENSG00000123384
FBXO2	ENSG00000116661
VPS41	ENSG00000006715
NCDN	ENSG00000020129
DYNLL1	ENSG00000088986
ATP1A3	ENSG00000105409
EPHA4	ENSG00000116106
MACF1	ENSG00000127603
CCT2	ENSG00000166226
GMFB	ENSG00000197045
RANBP9	ENSG00000010017
CSNK1E	ENSG00000213923
CAMK2D	ENSG00000145349
AGK	ENSG00000262327
AGPAT5	ENSG00000155189
AP2A1	ENSG00000196961
NRGN	ENSG00000154146
GUCY1A2	ENSG00000152402
RPS4X	ENSG00000198034
ABLIM1	ENSG00000099204
DYNC1I2	ENSG00000077380
GRM5	ENSG00000168959
TOMM70A	ENSG00000154174
NCKIPSD	ENSG00000213672
NDUFS1	ENSG00000023228
CEND1	ENSG00000184524
ERC1	ENSG00000082805
GABBR2	ENSG00000136928
RPN1	ENSG00000163902
SYNE1	ENSG00000131018
CSPG5	ENSG00000114646
ACTN1	ENSG00000072110
RPL3	ENSG00000100316
CTTNBP2	ENSG00000077063
RPL13	ENSG00000167526
TANC2	ENSG00000170921
RPL23	ENSG00000125691
ATP5C1	ENSG00000165629
CCT5	ENSG00000150753
AGRN	ENSG00000188157
DDOST	ENSG00000244038
PRKAR1A	ENSG00000108946
RPS16	ENSG00000105193
DCTN2	ENSG00000175203
DYNLL2	ENSG00000121083
LIN7A	ENSG00000111052
GNAI2	ENSG00000114353
MYH14	ENSG00000105357
EIF4A2	ENSG00000156976
ARPC2	ENSG00000163466
CCT3	ENSG00000163468
MYO6	ENSG00000196586
C17orf85	ENSG00000074356
RNF144A	ENSG00000151692
SLC30A3	ENSG00000115194
SYN2	ENSG00000157152
GBAS	ENSG00000146729
ITGAX	ENSG00000140678
ATAD3A	ENSG00000197785
CDKL5	ENSG00000008086
INPP4A	ENSG00000040933
DCLK2	ENSG00000170390
S100B	ENSG00000160307
PRNP	ENSG00000171867
ABCD3	ENSG00000117528
C18orf8	ENSG00000141452
RPS7	ENSG00000171863
ST14	ENSG00000149418
PRDX6	ENSG00000117592
CNTN2	ENSG00000184144
PEX5L	ENSG00000114757
FGB	ENSG00000171564
STXBP5	ENSG00000164506
VPS28	ENSG00000160948
CYP1B1	ENSG00000138061
CYB5B	ENSG00000103018
NEGR1	ENSG00000172260
DBC1	ENSG00000078725
SCN2A	ENSG00000136531
ETFDH	ENSG00000171503
VDAC1	ENSG00000213585
HAPLN1	ENSG00000145681
CDK5RAP3	ENSG00000108465
GRIP1	ENSG00000155974
ASB7	ENSG00000183475
KIAA0284	ENSG00000099814
RPL14	ENSG00000188846
AZI2	ENSG00000163512
EXOC2	ENSG00000112685
MAOA	ENSG00000189221
PRICKLE2	ENSG00000163637
BRP44	ENSG00000143158
ATP1B1	ENSG00000143153
DLST	ENSG00000119689
ADD2	ENSG00000271760
PCCA	ENSG00000175198
SFXN3	ENSG00000107819
PRKG2	ENSG00000138669
TJP2	ENSG00000119139
PIGK	ENSG00000142892
RIMBP2	ENSG00000060709
SLC1A2	ENSG00000110436
RPL24	ENSG00000114391
RTN3	ENSG00000133318
KCNQ2	ENSG00000075043
JUP	ENSG00000173801
EIF4B	ENSG00000063046
Hel308	ENSG00000163312
STOML2	ENSG00000165283
VCP	ENSG00000165280
ARFGAP3	ENSG00000242247
GSN	ENSG00000148180
TPPP	ENSG00000171368
GJA1	ENSG00000152661
DCLK1	ENSG00000133083
ITFG1	ENSG00000129636
GIT1	ENSG00000108262
AAK1	ENSG00000115977
GAS7	ENSG00000007237
SAE1	ENSG00000142230
MDH2	ENSG00000262847
UCHL1	ENSG00000154277
Gcs1	ENSG00000102837
TM7SF2	ENSG00000149809
L1CAM	ENSG00000267951
NDUFA10	ENSG00000130414
CTNND1	ENSG00000198561
TTC7B	ENSG00000165914
RPL27	ENSG00000131469
KCNAB2	ENSG00000069424
SLC4A10	ENSG00000144290
EEF2	ENSG00000167658
NEFL	ENSG00000104725
WDR37	ENSG00000047056
AP3D1	ENSG00000065000
BAG2	ENSG00000112208
DMXL2	ENSG00000104093
NEFM	ENSG00000104722
ATP6V1A	ENSG00000114573
SYT7	ENSG00000011347
PCDHB6	ENSG00000113211
CALML5	ENSG00000178372
PYCR1	ENSG00000183010
FASN	ENSG00000169710
LRRTM2	ENSG00000146006
OMG	ENSG00000126861
PPP1CB	ENSG00000213639
AK1	ENSG00000106992
YES1	ENSG00000176105
AP3B2	ENSG00000103723
ITSN1	ENSG00000205726
7-Sep	ENSG00000122545
THY1	ENSG00000154096
EEF1A2	ENSG00000101210
LPHN3	ENSG00000150471
FABP5	ENSG00000164687
EIF3D	ENSG00000100353
VPS29	ENSG00000111237
LRRC7	ENSG00000033122
DAB2IP	ENSG00000136848
NRXN1	ENSG00000179915
CNP	ENSG00000173786
MAPRE2	ENSG00000166974
STX7	ENSG00000079950
WASF1	ENSG00000112290
CALCOCO1	ENSG00000012822
NLGN3	ENSG00000196338
ADRBK1	ENSG00000173020
SNAP47	ENSG00000143740
KIF2A	ENSG00000068796
SUMO2	ENSG00000188612
BDH1	ENSG00000161267
PDE4B	ENSG00000184588
RAB3A	ENSG00000105649
RPS6KA3	ENSG00000177189
S100A4	ENSG00000196154
NDEL1	ENSG00000166579
HADHA	ENSG00000084754
MYO5C	ENSG00000128833
RAP1A	ENSG00000116473
SORBS1	ENSG00000095637
LZTS1	ENSG00000061337
RAC2	ENSG00000128340
GRIA4	ENSG00000152578
ADAR	ENSG00000160710
ERBB2IP	ENSG00000112851
SYT3	ENSG00000213023
EXOC6B	ENSG00000144036
ELMO2	ENSG00000062598
MOG	ENSG00000204655
TMOD1	ENSG00000136842
DMD	ENSG00000198947
ACSL6	ENSG00000164398
DSP	ENSG00000096696
RAB11FIP2	ENSG00000107560
MCCC1	ENSG00000078070
SBF2	ENSG00000133812
ANK3	ENSG00000151150
SIPA1L1	ENSG00000197555
DNAJA2	ENSG00000069345
ATP6V0A1	ENSG00000033627
S100A9	ENSG00000163220
YWHAG	ENSG00000170027
HNRNPM	ENSG00000099783
AKT2	ENSG00000105221
MAP1B	ENSG00000131711
DNM3	ENSG00000197959
PRKCE	ENSG00000171132
NEDD4	ENSG00000069869
GNAO1	ENSG00000087258
RPL7A	ENSG00000148303
PSMA4	ENSG00000041357
HK1	ENSG00000156515
LIN7B	ENSG00000104863
CAPZB	ENSG00000077549
ANKS1B	ENSG00000185046
PLEK	ENSG00000115956
RPL10	ENSG00000268963
CASKIN1	ENSG00000167971
CACNG3	ENSG00000006116
CAT	ENSG00000121691
SCFD1	ENSG00000092108
MLF1	ENSG00000178053
PSMD8	ENSG00000099341
MAPT	ENSG00000186868
GSTO1	ENSG00000148834
CPT2	ENSG00000157184
CLMN	ENSG00000165959
AP2M1	ENSG00000161203
PRDX1	ENSG00000117450
NRAS	ENSG00000213281
MAP3K12	ENSG00000139625
NEFH	ENSG00000100285
SLC12A5	ENSG00000124140
YWHAZ	ENSG00000164924
RTN1	ENSG00000139970
EEA1	ENSG00000102189
CTTN	ENSG00000085733
DYNC1I1	ENSG00000158560
FGG	ENSG00000171557
CDH13	ENSG00000140945
CLTB	ENSG00000175416
MARK2	ENSG00000072518
VCPIP1	ENSG00000175073
DTD1	ENSG00000125821
PRRT1	ENSG00000227122
COPS3	ENSG00000141030
SLC4A3	ENSG00000114923
RAB12	ENSG00000206418
EHMT2	ENSG00000224143
EDN2	ENSG00000127129
TRIM37	ENSG00000108395
HSP90B1	ENSG00000166598
ATP6V1E1	ENSG00000131100
FAM82A2	ENSG00000137824
PPP1CC	ENSG00000186298
AGAP1	ENSG00000157985
NCAM2	ENSG00000154654
RPS8	ENSG00000142937
RPL5	ENSG00000122406
NAP1L1	ENSG00000187109
DLGAP2	ENSG00000198010
TPD52L1	ENSG00000111907
AKAP2	ENSG00000241978
YWHAH	ENSG00000128245
SNX3	ENSG00000112335
DTNA	ENSG00000134769
GRIN2D	ENSG00000105464
GRID2	ENSG00000152208
GPRASP2	ENSG00000158301
TRAF3	ENSG00000131323
RPS25	ENSG00000262088
CAMK2A	ENSG00000070808
C10orf58	ENSG00000122378
LRPPRC	ENSG00000138095
RPS5	ENSG00000083845
MAPRE3	ENSG00000084764
RASGRF2	ENSG00000113319
GAPDH	ENSG00000111640
MTX1	ENSG00000173171
NBEA	ENSG00000172915
CACNA1B	ENSG00000148408
OPCML	ENSG00000183715
SYNGAP1	ENSG00000227460
BIN1	ENSG00000136717
PTPRD	ENSG00000153707
