annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
MEINH3,0.00157471480130233,0.0015034292604485522,2.2552854341310415,22.090241337038208,1.313027369769296e-6,2,-31267.8687199033,62541.7374398066,62564.3795914285,71238.8913259874,14006,0.5299105569932392,0.1127463111351283,2.626054739538592e-6,TRUE
DEINH3,0.001527140495332611,0.0014558515577699493,2.2553391649223165,21.4218439429986,1.859278516177197e-6,2,-31268.202447930405,62542.40489586081,62565.04704748271,71242.28581214788,14006,0.5060280811917874,0.10933172300154388,3.718557032354394e-6,TRUE
TEGLU4,0.001518943815224845,0.0014476542924358737,2.2553484221873257,21.306690742164896,1.974194940795492e-6,2,-31268.259945048405,62542.51989009681,62565.16204171871,71242.87065551282,14006,0.41971699653090183,0.0909281918993368,3.948389881590984e-6,TRUE
MEINH2,0.0014890049836812221,0.001417713323320302,2.2553822345415604,20.886103313362476,2.4579201287005623e-6,2,-31268.46995247035,62542.9399049407,62565.5820565626,71245.00682854287,14006,0.4927574536059514,0.10782128200369112,4.9158402574011246e-6,TRUE
MEINH13,0.0013712944156071582,0.0012999943509502954,2.2555151697328952,19.23272331106724,5.827855452625813e-6,2,-31269.295578058278,62544.591156116556,62567.233307738454,71253.40562461832,14006,0.5817979396155369,0.13266360267716165,1.1655710905251626e-5,TRUE
SCINH7,0.0012466636525899726,0.001175354689549435,2.2556559116347237,17.482565997758563,1.4585882606329924e-5,2,-31270.169636047172,62546.339272094345,62568.98142371624,71262.29818524762,14006,0.6155618762403987,0.14722078411792722,2.9171765212659848e-5,TRUE
MEGLU2,0.001129126344386168,0.0010578089894202058,2.2557886350583614,15.83242038242186,3.477753348619434e-5,2,-31270.99384643017,62547.98769286034,62570.62984448224,71270.68461901488,14006,0.452293536311065,0.11367022639051647,6.955506697238867e-5,TRUE
MEGLU1,0.0011196129368642284,0.0010482949026602295,2.2557993772804235,15.69887545777713,3.731821141153612e-5,2,-31271.06055333967,62548.12110667934,62570.76325830124,71271.36341252566,14006,0.4350523576290092,0.1098012424695662,7.463642282307224e-5,TRUE
SCINH2,0.0011170425598514924,0.0010457243421276852,2.2558022796555273,15.662794100896894,3.803615280825031e-5,2,-31271.07857641598,62548.15715283196,62570.79930445386,71271.54681213642,14006,0.6345517678554822,0.1603365147140592,7.607230561650063e-5,TRUE
HBGLU3,0.001005013306977922,9.336870905926054e-4,2.255928775335891,14.090377394314404,8.746847622462519e-5,2,-31271.864062726847,62549.728125453694,62572.37027707559,71279.54023927524,14006,0.4537107020939366,0.12086977420906382,1.7493695244925038e-4,TRUE
