dataset,annotation,bootstrap_estimate,bootstrap_error,bt_value,bp_value,bias_corrected_estimate,CI_lo,CI_hi,annotation.y,Class,Description,NCells,Neurotransmitter,Probable_location,Region,LeafOrder,TaxonomyRank1,TaxonomyRank2,TaxonomyRank3,TaxonomyRank4,Comment,TaxonomyRank4_reduced1,tax_order_idx_mb_fig1c,Neurotransmitter_class,Neurotransmitter_class_linnarson,nt.Acetylcholine,nt.Adrenaline,nt.Dopamine,nt.GABA,nt.GLYT1,nt.GLYT2,nt.Missing,nt.Nitric oxide,nt.Noradrenaline,nt.Serotonin,nt.VGLUT1,nt.VGLUT2,nt.VGLUT3,name_clean,category,fdr_significant
tabula_muris.sem_mean,Marrow.common_lymphoid_progenitor,4.528480106469289e-6,9.212164658285313e-7,4.915761142411221,4.421908688239659e-7,4.567480899183827e-6,2.818891173946303e-6,6.320317958129896e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.common_lymphoid_progenitor,dummy_category,TRUE
mousebrain_all.sem_mean,DEINH3,5.033736918917211e-6,1.1826064068556732e-6,4.256476956099846,1.0383671527871623e-5,4.86754359538653e-6,2.7141414020301248e-6,7.291074274509396e-6,DEINH3,Neurons,"Inhibitory neurons, hypothalamus",323,GABA,Subthalamic nucleus,Hypothalamus,152,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,DEINH3,Neurons,TRUE
mousebrain_all.sem_mean,SCINH2,7.84138335854639e-6,1.886134965808631e-6,4.1573818950886166,1.609578020691666e-5,7.895816014953666e-6,4.15287163971374e-6,1.1494174325025442e-5,SCINH2,Neurons,"Inhibitory neurons, spinal cord",117,"GABA, Glycine (GLYT2)","Dorsal horn, lamina 2-6",Spinal cord,107,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba13 (most similar but not sure since Cplx1 negative) in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,SCINH2,Neurons,TRUE
mousebrain_all.sem_mean,MEGLU1,4.328846331078982e-6,1.059315952382244e-6,4.086454396673675,2.1900776601882642e-5,4.1670708192694535e-6,2.2544358694506575e-6,6.468872531513739e-6,MEGLU1,Neurons,"Excitatory neurons, midbrain",263,Glutamate (VGLUT1),"Superior colliculus, red nucleus",Midbrain dorsal,124,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,Should split in two clusters(other side has Cbln1),Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,MEGLU1,Neurons,TRUE
tabula_muris.sem_mean,Marrow.Slamf1.positive_multipotent_progenitor_cell,2.5420722305000824e-6,6.819377765883502e-7,3.727718741756401,9.661041844587529e-5,2.529564383391487e-6,1.1976681389334238e-6,3.86221364817908e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.Slamf1.positive_multipotent_progenitor_cell,dummy_category,TRUE
tabula_muris.sem_mean,Marrow.megakaryocyte.erythroid_progenitor_cell,3.943278273224112e-6,1.1137896090127022e-6,3.5404157493618174,1.997485818747784e-4,3.9667373850267485e-6,1.7309293953912494e-6,5.957558366103e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.megakaryocyte.erythroid_progenitor_cell,dummy_category,TRUE
mousebrain_all.sem_mean,HBINH5,3.811709702745013e-6,1.1464215748419733e-6,3.324876107003161,4.422891684850283e-4,3.7792605937632555e-6,1.6774650757720346e-6,6.068408230802673e-6,HBINH5,Neurons,"Inhibitory neurons, hindbrain",480,"GABA, Glycine (GLYT1,GLYT2)",Gigantocellular reticular nucleus,Medulla,150,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,HBINH5,Neurons,FALSE
mousebrain_all.sem_mean,MEINH2,4.2134001402425795e-6,1.2703199589285977e-6,3.3168022832579984,4.552701418091698e-4,4.156220580250842e-6,1.7271821116471389e-6,6.527680591014963e-6,MEINH2,Neurons,"Inhibitory neurons, midbrain",461,GABA,Midbrain,"Midbrain dorsal,Midbrain ventral",151,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,Magnocellular because they are huge,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH2,Neurons,FALSE
mousebrain_all.sem_mean,MEINH13,3.2639484885258287e-6,1.0250105904565287e-6,3.184307088058574,7.255049510897414e-4,3.376595172384524e-6,1.226643182499923e-6,5.2578116463696765e-6,MEINH13,Neurons,"Inhibitory neurons, midbrain",70,GABA,"Ventral/caudal midbrain (SN, VTA, reticular nucleus)",Midbrain ventral,154,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon inhibitory neurons,nan,Di- and mesencephalon inhibitory neurons,13,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,MEINH13,Neurons,FALSE
mousebrain_all.sem_mean,SCINH7,6.4634669563769805e-6,2.052047344448401e-6,3.1497650255795575,8.170091351240254e-4,6.3548453139735255e-6,2.1651820884445037e-6,1.0161202129097392e-5,SCINH7,Neurons,"Inhibitory neurons, spinal cord",71,GABA,"Dorsal horn, lamina 2-6",Spinal cord,101,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba8 in C1 data.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,SCINH7,Neurons,FALSE
mousebrain_all.sem_mean,SCINH3,5.720637246044578e-6,1.8410857095051332e-6,3.1072085435839014,9.44315575975569e-4,5.703625108354843e-6,2.071885637769199e-6,9.16345865483139e-6,SCINH3,Neurons,"Inhibitory neurons, spinal cord",66,"GABA, Glycine (GLYT2)","Dorsal horn, lamina 2-6",Spinal cord,105,Neurons,CNS neurons,Spinal cord neurons,Spinal cord inhibitory neurons,correspond to Gaba5-7in C1 data. Might be proken to Trh and Gpr101.,Spinal cord inhibitory neurons,16,Inhibitory,In,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,SCINH3,Neurons,FALSE
tabula_muris.sem_mean,Marrow.Slamf1.negative_multipotent_progenitor_cell,2.2466075621834673e-6,7.484576223329907e-7,3.0016496527627665,0.0013426050850941652,2.2174108615142096e-6,6.260125506104109e-7,3.6193720433339164e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marrow.Slamf1.negative_multipotent_progenitor_cell,dummy_category,FALSE
mousebrain_all.sem_mean,HBGLU3,3.512700774627195e-6,1.1859173157270257e-6,2.9620115399645184,0.0015281816429642736,3.5013174711754423e-6,1.2866927404423856e-6,5.717801689329732e-6,HBGLU3,Neurons,"Excitatory neurons, hindbrain",107,"Glutamate (VGLUT2), Nitric oxide",Nucleus of the solitary tract,Medulla,119,Neurons,CNS neurons,Di- and mesencephalon neurons,Di- and mesencephalon excitatory neurons,nan,Di- and mesencephalon excitatory neurons,14,Excitatory,Ex,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,HBGLU3,Neurons,FALSE
