gwas,specificity_id,annotation,tau,se,pvalue
CAD_Schunkert2011,chen2017,GABA9_clust,1.68646444988566e-08,9.32973177885141e-09,0.0353325416750959
CAD_Schunkert2011,chen2017,GABA14_clust,1.60349120307779e-08,8.88717089044469e-09,0.0355939996821444
CAD_Schunkert2011,chen2017,GABA2_clust,1.93497954260792e-08,1.1548466442834e-08,0.0469152006434281
CAD_Schunkert2011,chen2017,GABA11_clust,1.741701723592e-08,1.04407126298808e-08,0.0476397220508904
CAD_Schunkert2011,chen2017,Glu9_clust,2.03840071211092e-08,1.28158448989487e-08,0.0558575069987845
CAD_Schunkert2011,chen2017,GABA13_clust,1.70485921798083e-08,1.15321231300639e-08,0.0696561563842347
CAD_Schunkert2011,chen2017,GABA16_clust,1.57477114887906e-08,1.08068755970901e-08,0.0725314538064044
CAD_Schunkert2011,chen2017,Glu8_clust,1.286515896544e-08,9.4624851119731e-09,0.0869788679078227
CAD_Schunkert2011,chen2017,GABA3_clust,1.19552327903148e-08,8.98665270111389e-09,0.0917044334495156
CAD_Schunkert2011,chen2017,Glu7_clust,8.68729288949509e-09,6.70400610328445e-09,0.0975159849726058
CAD_Schunkert2011,chen2017,GABA4_clust,1.21229770274821e-08,1.08606551239937e-08,0.132162085306686
CAD_Schunkert2011,chen2017,Glu11_clust,9.11544979386277e-09,9.44409480329628e-09,0.167222071884986
CAD_Schunkert2011,chen2017,Glu6_clust,8.36701861288153e-09,9.78470660606114e-09,0.196244613715231
CAD_Schunkert2011,chen2017,Epith2_clust,5.11075222219591e-09,6.62171175913545e-09,0.220111298187525
CAD_Schunkert2011,chen2017,Glu1_clust,1.07519955396254e-08,1.39644373117445e-08,0.22066314021298
CAD_Schunkert2011,chen2017,Hista_clust,5.68815957631725e-09,7.76518260605428e-09,0.231925305190897
CAD_Schunkert2011,chen2017,Macro_clust,4.82285750807266e-09,6.66958912071798e-09,0.234805650162081
CAD_Schunkert2011,chen2017,GABA1_clust,5.81324264602433e-09,8.07885448584278e-09,0.235897130918818
CAD_Schunkert2011,chen2017,GABA17_clust,4.73116927147963e-09,8.13344811621826e-09,0.280386767043652
CAD_Schunkert2011,chen2017,GABA15_clust,4.10652219937092e-09,7.74661152844641e-09,0.298019356199588
CAD_Schunkert2011,chen2017,Glu15_clust,2.82152880617801e-09,7.67242764301397e-09,0.356530141136824
CAD_Schunkert2011,chen2017,GABA12_clust,3.52022645438261e-09,1.09198381749722e-08,0.373586265991104
CAD_Schunkert2011,chen2017,Glu5_clust,1.97015633026895e-09,6.44574682164925e-09,0.379934757324747
CAD_Schunkert2011,chen2017,GABA6_clust,2.08359956628216e-09,7.12664801988265e-09,0.38500286468628
CAD_Schunkert2011,chen2017,GABA5_clust,1.57642370256182e-09,7.05290160715765e-09,0.411567664003241
CAD_Schunkert2011,chen2017,Glu10_clust,2.71747069489043e-09,1.47047675417029e-08,0.426692163055379
CAD_Schunkert2011,chen2017,Micro_clust,1.09039036991191e-09,7.73543452927982e-09,0.443950591390202
CAD_Schunkert2011,chen2017,Epith1_clust,7.66789402959449e-10,6.77749982895721e-09,0.454960771631279
CAD_Schunkert2011,chen2017,Glu14_clust,-2.51053616123873e-10,8.16928593008504e-09,0.512258126395805
CAD_Schunkert2011,chen2017,GABA10_clust,-3.06410948115921e-10,7.95998059349009e-09,0.515353065089901
CAD_Schunkert2011,chen2017,Astro_clust,-1.88797616786876e-09,7.7460840115395e-09,0.596281186846063
CAD_Schunkert2011,chen2017,GABA8_clust,-2.43868493195109e-09,8.18571585959611e-09,0.617117723652991
CAD_Schunkert2011,chen2017,Glu4_clust,-2.81082465265084e-09,6.06124654003489e-09,0.678581929186965
CAD_Schunkert2011,chen2017,Glu12_clust,-5.58862887725106e-09,1.08402392960897e-08,0.696913809953354
CAD_Schunkert2011,chen2017,Glu2_clust,-4.97005782995122e-09,6.48752644689763e-09,0.778189939419118
CAD_Schunkert2011,chen2017,GABA18_clust,-8.5214215368395e-09,1.03762276747004e-08,0.794246537816747
CAD_Schunkert2011,chen2017,OPC_clust,-5.3360687530708e-09,6.04799763491621e-09,0.811189145803349
CAD_Schunkert2011,chen2017,GABA7_clust,-8.62387038441533e-09,9.46826903873013e-09,0.818804375976929
CAD_Schunkert2011,chen2017,Ependy_clust,-4.39341644045401e-09,4.7416839984663e-09,0.822920387453043
CAD_Schunkert2011,chen2017,Tany_clust,-5.62785261629833e-09,5.64143368429483e-09,0.840761529703268
CAD_Schunkert2011,chen2017,POPC_clust,-1.03284924435389e-08,9.90437502668643e-09,0.851484449139923
CAD_Schunkert2011,chen2017,MO_clust,-6.2660765235684e-09,5.84012954701559e-09,0.858349749150725
CAD_Schunkert2011,chen2017,Glu13_clust,-1.22593717388606e-08,9.73517982654319e-09,0.896036403159774
CAD_Schunkert2011,chen2017,Glu3_clust,-1.2715293334506e-08,7.46526188340601e-09,0.955740431233335
CAD_Schunkert2011,chen2017,IMO_clust,-1.3551600029919e-08,5.74844726608632e-09,0.990799201594196
EA3_Lee2018,chen2017,GABA3_clust,1.07856532376782e-08,2.78542007219545e-09,5.3932697186285e-05
EA3_Lee2018,chen2017,Glu7_clust,1.00815583072053e-08,2.77434634558436e-09,0.000139611647994057
EA3_Lee2018,chen2017,Glu4_clust,8.80956258113549e-09,2.74750587495572e-09,0.000672069281946869
EA3_Lee2018,chen2017,Glu6_clust,1.13713426729165e-08,3.74944049827976e-09,0.00121143830778953
EA3_Lee2018,chen2017,GABA1_clust,9.1572286072355e-09,3.03834688199115e-09,0.00128962704636526
EA3_Lee2018,chen2017,GABA5_clust,9.07518785094106e-09,3.02529830440212e-09,0.00135093419112552
EA3_Lee2018,chen2017,Glu11_clust,9.50169450510662e-09,3.57071380877318e-09,0.00389536666124937
EA3_Lee2018,chen2017,GABA17_clust,7.11688117539494e-09,2.90675739157722e-09,0.00717477462546212
EA3_Lee2018,chen2017,Glu1_clust,1.62296035440934e-08,6.96416613703209e-09,0.00989133175838282
EA3_Lee2018,chen2017,GABA8_clust,8.15814599946305e-09,3.50392539415191e-09,0.00994841900404105
EA3_Lee2018,chen2017,GABA6_clust,7.14623916932029e-09,3.15175468614286e-09,0.01168337912433
EA3_Lee2018,chen2017,GABA12_clust,7.12147446039055e-09,3.20172965898865e-09,0.0130655280261397
