gwas,specificity_id,conditional_annotation,annotation,beta,beta_se,pvalue
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.smooth_muscle_cell,1.0588692140291118e-08,5.566226839031385e-09,0.028565282445547024
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.brain_pericyte,7.811921340693291e-09,4.593435080146262e-09,0.04450240184296688
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_A_cell,7.939911682204028e-09,5.394114939428664e-09,0.07051608367477126
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_acinar_cell,9.200264342176376e-09,6.2558716889263945e-09,0.07069145609801203
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,6.72139629230838e-09,4.853170060749559e-09,0.08303392821906924
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.B_cell,9.583171066449351e-09,7.840227997568236e-09,0.11079564388282842
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.macrophage,8.517033062233134e-09,7.2958214555093825e-09,0.1215274482547109
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.oligodendrocyte,4.7116101391215245e-09,4.214642774310921e-09,0.13180176240197589
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.endothelial_cell,1.0019187266496276e-08,9.101098422695144e-09,0.13547516039146695
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_D_cell,4.234220605938917e-09,4.073684486079627e-09,0.14930749185822415
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.monocyte,6.598259276917909e-09,6.707953322082036e-09,0.16264451282512787
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.hematopoietic_precursor_cell,5.3900260731235104e-09,5.663482799279807e-09,0.17062056662379702
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.type_B_pancreatic_cell,3.835168259557118e-09,4.074970731288215e-09,0.1733133969994463
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Thymus.immature_T_cell,4.426976878084564e-09,4.7657068131827546e-09,0.17646437615293714
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_T_cell,5.662235564427273e-09,6.240817181971688e-09,0.182126538023706
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.basophil,9.923180058556197e-09,1.0949776123017432e-08,0.18240309004430175
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.skeletal_muscle_satellite_cell,4.379868930796101e-09,5.018066787634023e-09,0.19138060495791048
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Limb_Muscle.skeletal_muscle_satellite_stem_cell,4.695344450829676e-09,5.610915505498802e-09,0.20134596817158468
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.Bergmann_glial_cell,3.796090640841496e-09,4.6800503736956994e-09,0.2086478787965737
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_PP_cell,5.7009169663957505e-09,7.159158263875201e-09,0.2129256268859499
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.natural_killer_cell,5.842437435461566e-09,7.4349690469144866e-09,0.21599080604475573
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.T_cell,3.635043208287711e-09,5.2717531177073676e-09,0.2452442274426576
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Thymus.leukocyte,5.452879705550191e-09,8.174748101783173e-09,0.2523734585522456
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Liver.B_cell,5.216364510290539e-09,8.111960042175973e-09,0.2600970839336254
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.T_cell,3.6597669005209008e-09,5.749848847007502e-09,0.262225964214028
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Spleen.B_cell,4.015546638168542e-09,6.532943866614226e-09,0.26938926845198463
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.T_cell,3.830077580054084e-09,6.754086255445334e-09,0.2853314065639283
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.granulocytopoietic_cell,2.1779565194551097e-09,4.997202807322128e-09,0.3314781779485759
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.Slamf1-positive_multipotent_progenitor_cell,2.275394620992808e-09,5.2713944441882874e-09,0.33299809869641306
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Large_Intestine.enteroendocrine_cell,2.2273234216497493e-09,5.209817515179242e-09,0.33449875639797416
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.astrocyte,1.5183264252066653e-09,3.888718751699189e-09,0.34810417413150296
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.Slamf1-negative_multipotent_progenitor_cell,1.7978327318990433e-09,5.049730896279837e-09,0.3609107516986694
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Bladder.bladder_cell,1.418467246285694e-09,4.075227217940099e-09,0.3638935389085624
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.naive_B_cell,2.044310522858013e-09,5.914298202448585e-09,0.3648007633115545
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.common_lymphoid_progenitor,1.6025862317197016e-09,5.20711042962622e-09,0.3791291244277498
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Fat.natural_killer_cell,2.0418491903886325e-09,7.101718702090247e-09,0.38685908793536905
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_stellate_cell,1.454696444569702e-09,5.079183325530515e-09,0.3872845047169197
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.leukocyte,1.6960896248812187e-09,7.601941313329756e-09,0.4117238985223596
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Heart.unknown_cell_type,9.891819329786704e-10,5.125380788019258e-09,0.4234807491668008
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Lung.leukocyte,9.715412122256227e-10,6.621467501414314e-09,0.4416741614498895
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.mature_natural_killer_cell,7.728862048623868e-10,6.315329954682814e-09,0.45129802754111104
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.macrophage,4.689777055296814e-10,5.216266865977811e-09,0.4641806506188342
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Kidney.leukocyte,6.884580576526294e-10,7.867957667250817e-09,0.4651364486182649
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Marrow.immature_NK_T_cell,2.405879814859047e-10,5.875340287788299e-09,0.4836683670099682
BMI_UKBB_Loh2018,tabula_muris,Brain_Non-Myeloid.neuron,Pancreas.pancreatic_ductal_cell,-9.935081340405913e-11,4.5321286571030075e-09,0.5087446912555721
