annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
MEINH2,0.003914129278271166,0.0038430817839257836,2.1976738227873103,55.091728629380576,6.08252643475695e-14,2,-30936.27109683013,61878.54219366026,61901.18734207156,67713.37864373154,14020,0.7783108094391136,0.10486000216159094,1.21650528695139e-13,TRUE
MEGLU2,0.003412674741396928,0.003341591479966155,2.198226935163707,48.00954082169318,2.2132702666807906e-12,2,-30939.79972143282,61885.59944286564,61908.24459127694,67747.46725187873,14020,0.7744879019185541,0.11177659146064914,4.426540533361581e-12,TRUE
TEGLU4,0.0031489599724395185,0.0030778579011108143,2.1985177609391515,44.28787957364367,1.469964224922524e-11,2,-30941.65471157262,61889.30942314524,61911.95457155654,67765.3944392119,14020,0.5998147919045969,0.0901311117084715,2.939928449845048e-11,TRUE
DEINH3,0.003146442746380386,0.0030753404955063957,2.1985205367614578,44.25236483660332,1.4967903261299947e-11,2,-30941.672415571426,61889.34483114285,61911.98997955415,67765.56555887767,14020,0.7183178054764091,0.1079812597030299,2.9935806522599894e-11,TRUE
MEGLU1,0.0031360969214637158,0.003064993932656468,2.1985319453827983,44.10640078664514,1.612289269926942e-11,2,-30941.745178718596,61889.49035743719,61912.13550584849,67766.26886245878,14020,0.7139396733152154,0.10750055500347029,3.224578539853884e-11,TRUE
SCINH2,0.0031341719296182663,0.003063068803507707,2.19853406811691,44.07924237738614,1.634743820500456e-11,2,-30941.75871728163,61889.51743456326,61912.16258297456,67766.39972236307,14020,1.012955082602555,0.15257139854694948,3.269487641000912e-11,TRUE
TEINH11,0.00299524947527599,0.0029241364402884384,2.19868725578764,42.11955622204231,4.4372940268552976e-11,2,-30942.735696770098,61891.471393540196,61914.116541951495,67775.84359565703,14020,0.6266437854332984,0.09655590608838878,8.874588053710595e-11,TRUE
TEGLU10,0.0028061039025464854,0.0027349773764339114,2.1988958065682342,39.452283921578434,1.7304913821414976e-10,2,-30944.06565416089,61894.13130832178,61916.77645673308,67788.70160936998,14020,0.5774935444714092,0.09194138864478503,3.4609827642829953e-10,TRUE
MEINH3,0.002797671586018171,0.002726544458456548,2.1989051035296017,39.33339756472314,1.8388096347203564e-10,2,-30944.12493924221,61894.24987848442,61916.89502689572,67789.27483368598,14020,0.6977089978076443,0.11124835371261031,3.677619269440713e-10,TRUE
TEINH12,0.0027032677183025256,0.002632133857226715,2.199009184831799,38.0025444622596,3.629463786510612e-10,2,-30944.788630221155,61895.57726044231,61918.22240885361,67795.69235754407,14020,0.6421066056054765,0.10415995888603481,7.258927573021224e-10,TRUE
MEGLU10,0.002578144731569539,0.002507001945887044,2.199147126709364,36.23901857141207,8.944864509853639e-10,2,-30945.66819014164,61897.33638028328,61919.98152869458,67804.19815049498,14020,0.6794154571621792,0.11286186157327872,1.7889729019707278e-9,TRUE
DEGLU5,0.0024250216031252753,0.0023538678956789294,2.1993159255797528,34.08145113107508,2.7010880341062854e-9,2,-30946.74442869753,61899.48885739506,61922.13400580636,67814.60737793232,14020,0.6772061163040233,0.11600102663589242,5.402176068212571e-9,TRUE
MEINH13,0.0024231181716523656,0.0023519643284406477,2.1993180237905365,34.05463517188014,2.7384784705455718e-9,2,-30946.75780608331,61899.51561216662,61922.16076057792,67814.73677217416,14020,0.7527510847495095,0.12899214777480197,5.4769569410911436e-9,TRUE
TEGLU24,0.002315926770743057,0.0022447652819249653,2.1994361809229668,32.544664385312444,5.9418955052891245e-9,2,-30947.51110996628,61901.02221993256,61923.66736834386,67822.02358562114,14020,0.5096775963625797,0.08934199485738861,1.1883791010578249e-8,TRUE
TEGLU11,0.0023147866643053435,0.002243625094167201,2.199437437628722,32.528605816513426,5.991080856681731e-9,2,-30947.51912180278,61901.03824360556,61923.68339201686,67822.10108944001,14020,0.5161790116457404,0.09050396722855546,1.1982161713363461e-8,TRUE
HBGLU3,0.0022727361968906557,0.002201571627432397,2.19948378811911,31.93634436624452,8.120505346006993e-9,2,-30947.814615421732,61901.629230843464,61924.27437925476,67824.95965746701,14020,0.683529568196122,0.12095245973810431,1.6241010692013986e-8,TRUE
MEGLU11,0.0022472850906078206,0.0021761187058068066,2.199511841346028,31.57790151759482,9.762319342578385e-9,2,-30947.993457312463,61901.986914624926,61924.632063036224,67826.68980990397,14020,0.6290853160094078,0.11194840624039566,1.952463868515677e-8,TRUE
HBGLU5,0.0022447102703159923,0.0021735437018616244,2.199514679395969,31.541639832705293,9.945912346040559e-9,2,-30948.011550013693,61902.023100027385,61924.668248438684,67826.8648447945,14020,0.6028773664894777,0.10734624208853509,1.9891824692081118e-8,TRUE
TEGLU23,0.0021947432627794257,0.0021235731303445027,2.199569753917626,30.837981997394046,1.4279666695535823e-8,2,-30948.362648045306,61902.72529609061,61925.37044450191,67830.26157493643,14020,0.5205907861664699,0.09374616317971833,2.8559333391071646e-8,TRUE
TEINH1,0.0020604921046999043,0.0019893123965761816,2.1997177210949372,28.94774590978864,3.7775993558831325e-8,2,-30949.3058897738,61904.6117795476,61927.2569279589,67839.38789603744,14020,0.6138527344715154,0.11409242704938713,7.555198711766265e-8,TRUE
TEGLU8,0.0020292500567617965,0.00195806812024657,2.1997521536171907,28.507935525583836,4.738521679120388e-8,2,-30949.525376594163,61905.05075318833,61927.695901599625,67841.51171355542,14020,0.4706984570368001,0.08815762685052152,9.477043358240776e-8,TRUE
TEINH16,0.002019767251018062,0.0019485846381257499,2.1997626047114762,28.37444663735712,5.0760571440738956e-8,2,-30949.591995415616,61905.18399083123,61927.82913924253,67842.15634956,14020,0.5420473985885539,0.10175917191839104,1.0152114288147791e-7,TRUE
MEINH4,0.0019814188003986883,0.001910233452238952,2.199804868412944,27.8346436678555,6.705277293631908e-8,2,-30949.861395362605,61905.72279072521,61928.36793913651,67844.76325648793,14020,0.6834194429279866,0.12953719753962548,1.3410554587263816e-7,TRUE
SCINH7,0.0019754298016772783,0.00190424402634215,2.1998114687954557,27.750344677397994,7.003297586426287e-8,2,-30949.90346746911,61905.80693493822,61928.45208334952,67845.17038538118,14020,0.7767079985793774,0.14744280576682364,1.4006595172852574e-7,TRUE
HBINH5,0.0018764205708652962,0.0018052277335308675,2.1999205824618246,26.356872982178896,1.4380313707135347e-7,2,-30950.598960654752,61907.197921309504,61929.8430697208,67851.9009793312,14020,0.48883994617260795,0.09521815142484012,2.8760627414270695e-7,TRUE
TEGLU21,0.0018737494889400528,0.00180255646108618,2.1999235260673533,26.31928357909514,1.466239182621223e-7,2,-30950.61772279073,61907.23544558146,61929.880593992755,67852.08255803552,14020,0.5758117871402638,0.11223893034036134,2.932478365242446e-7,TRUE
HBINH9,0.0018406925548963698,0.0017694971692012729,2.1999599553891698,25.85409906731386,1.8648501225649757e-7,2,-30950.84991618979,61907.69983237958,61930.34498079088,67854.32975052916,14020,0.6547417076088629,0.12876721489243542,3.7297002451299515e-7,TRUE
TEINH19,0.0017987044409145606,0.001727506060346884,2.200006226158411,25.263277430929207,2.5315359031772985e-7,2,-30951.14483151393,61908.28966302786,61930.93481143916,67857.18407980353,14020,0.49751526475467617,0.09898321703546054,5.063071806354597e-7,TRUE
