annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Brain_Non-Myeloid.neuron,0.004214748062155291,0.004139628474652435,2.2072552015637603,56.10717793138987,3.648218124931847e-14,2,-29308.305228078476,58622.61045615695,58645.087525425355,64582.907557150145,13256,0.5948206967706365,0.07941030403392926,7.296436249863694e-14,TRUE
Pancreas.type_B_pancreatic_cell,0.0010225254238364324,9.471650229179174e-4,2.21079030720122,13.568471125063715,1.1546576949938037e-4,2,-29329.52204915959,58665.04409831918,58687.52116758758,64789.943179691436,13256,0.31530443426553373,0.0855981978047281,2.3093153899876075e-4,TRUE
Brain_Non-Myeloid.oligodendrocyte_precursor_cell,9.681111047023531e-4,8.927465989015948e-4,2.210850517273145,12.845716885098721,1.6973335102090005e-4,2,-29329.883121062678,58665.766242125355,58688.24331139376,64793.472288940226,13256,0.30537716411799665,0.08520349009786754,3.394667020418001e-4,TRUE
Pancreas.pancreatic_A_cell,9.035370930073606e-4,8.281677159021061e-4,2.210921967034601,11.988119415472854,2.685484717332668e-4,2,-29330.311583151502,58666.623166303005,58689.10023557141,64797.66031785487,13256,0.31006229851356465,0.08955161696534153,5.370969434665336e-4,TRUE
Brain_Non-Myeloid.oligodendrocyte,7.530925533356097e-4,6.777118270646643e-4,2.211088421741078,9.990518672232861,7.885119677516164e-4,2,-29331.30970676745,58668.6194135349,58691.0964828033,64807.41758808878,13256,0.2935558469959242,0.0928745488398548,0.0015770239355032327,FALSE
Pancreas.pancreatic_PP_cell,6.011537784662355e-4,5.257615903083712e-4,2.211256516980511,7.973687899957787,0.0023766466771981743,2,-29332.317591370014,58670.63518274003,58693.11225200843,64817.27176882969,13256,0.30148658703541537,0.10676732921396899,0.004753293354396349,FALSE
Brain_Non-Myeloid.brain_pericyte,4.3449171278737856e-4,3.590869520536666e-4,2.2114408864228032,5.762125740591816,0.008194473688197482,2,-29333.422966594393,58672.845933188786,58695.32300245719,64828.08084715263,13256,0.2682381458479094,0.11174527608618941,0.016388947376394965,FALSE
Brain_Non-Myeloid.astrocyte,4.149426742090185e-4,3.395364387439592e-4,2.211462511484628,5.502763420684068,0.00950055109645895,2,-29333.55261223387,58673.10522446774,58695.582293736144,64829.34872468836,13256,0.21719908796708276,0.09259074456116533,0.0190011021929179,FALSE
Pancreas.pancreatic_D_cell,2.1873404139328094e-4,1.433130044320441e-4,2.2116795449135744,2.900172819230822,0.044296749260912045,2,-29334.853691496803,58675.707382993605,58698.18445226201,64842.07408286211,13256,0.15263051431692268,0.08962505365594868,0.08859349852182409,FALSE
Marrow.common_lymphoid_progenitor,1.937698079680417e-4,1.1834688776646285e-4,2.211707157223208,2.569110390451367,0.05449641085407517,2,-29335.019213539417,58676.038427078835,58698.51549634724,64843.6931696847,13256,0.15380202434864834,0.09595567590228452,0.10899282170815033,FALSE
Tongue.basal_cell_of_epidermis,1.8528571202943608e-4,1.0986215180863734e-4,2.211716541189489,2.456602572018934,0.058527769955198906,2,-29335.075465272665,58676.15093054533,58698.62799981373,64844.24341641977,13256,0.13523911115207252,0.08628491122928589,0.11705553991039781,FALSE
Marrow.Slamf1-negative_multipotent_progenitor_cell,1.71452067222608e-4,9.602746342562973e-5,2.2117318420221204,2.273158340799546,0.06582761831242791,2,-29335.16718486401,58676.33436972802,58698.811438996425,64845.14061488902,13256,0.14164483563688327,0.09394764555954527,0.13165523662485581,FALSE
Marrow.megakaryocyte-erythroid_progenitor_cell,1.6509905630871188e-4,8.967397325621018e-5,2.21173886879398,2.1889144781429666,0.06951550764706817,2,-29335.209306061333,58676.41861212267,58698.89568139107,64845.55264741888,13256,0.16059103979421932,0.10854427274212772,0.13903101529413633,FALSE
Pancreas.pancreatic_acinar_cell,1.4891924229626984e-4,7.349293867853213e-5,2.2117567644379177,1.9743674971910492,0.08000423627468972,2,-29335.316578891234,58676.63315778247,58699.11022705087,64846.60200964897,13256,0.18079717610352053,0.12867010235777626,0.16000847254937944,FALSE
Heart.smooth_muscle_cell,1.4473319538307013e-4,6.930657598025469e-5,2.211761394381348,1.918860960876341,0.08300279523700911,2,-29335.344332271146,58676.68866454229,58699.165733810696,64846.873500997426,13256,0.18260869323072015,0.13182558127550462,0.16600559047401822,FALSE
Brain_Non-Myeloid.Bergmann_glial_cell,1.1326284794760166e-4,3.783385449918075e-5,2.211796201595024,1.5015823858908617,0.1102249088625889,2,-29335.552976118957,58677.105952237915,58699.58302150632,64848.91455004416,13256,0.14168466294514265,0.115624071640499,0.2204498177251778,FALSE
Marrow.Slamf1-positive_multipotent_progenitor_cell,8.081867407821168e-5,5.387233121156854e-6,2.2118320853185285,1.0714189342384215,0.15032202207573028,2,-29335.768069420377,58677.536138840755,58700.01320810916,64851.018757831625,13256,0.10463677672651844,0.10108918483840613,0.30064404415146057,FALSE
Marrow.granulocyte_monocyte_progenitor_cell,4.156951511494543e-5,-3.3864886701984176e-5,2.2118754946754327,0.5510684000099003,0.22894731401544988,2,-29336.028268017788,58678.056536035576,58700.53360530398,64853.56431150406,13256,0.08200242521404048,0.11046480819948178,0.45789462803089975,FALSE
Large_Intestine.enteroendocrine_cell,2.232998688646493e-5,-5.310586631313008e-5,2.211896773178132,0.29601291613151454,0.2932009896535176,2,-29336.155810925386,58678.31162185077,58700.788691119174,64854.81211535595,13256,0.06759503472825924,0.12423943418260645,0.5864019793070352,FALSE
Thymus.immature_T_cell,1.809338603187828e-5,-5.7342786766501064e-5,2.2119014587396775,0.2398502649420119,0.31216119329435305,2,-29336.1838959201,58678.3677918402,58700.844861108606,64855.08688544399,13256,0.059055578240585965,0.12058431620511731,0.6243223865887061,FALSE
Marrow.late_pro-B_cell,1.405356024497783e-5,-6.138291730772849e-5,2.21190592666428,0.18629661273809664,0.33301198781271296,2,-29336.21067635569,58678.42135271138,58700.898421979786,64855.34889343701,13256,0.04348227774026347,0.10074182322352615,0.6660239756254259,FALSE
Marrow.basophil,4.2226006792813586e-6,-7.121461849690647e-5,2.2119167993692224,0.055975030964757456,0.40648910089980983,2,-29336.27584638219,58678.55169276438,58701.02876203278,64855.986492710144,13256,0.038013777997518275,0.16067335522495335,0.8129782017996197,FALSE
Marrow.macrophage,2.16666297073119e-6,-7.327071130025509e-5,2.211919073159233,0.02872134656949074,0.4327133083031641,2,-29336.28947523679,58678.57895047358,58701.05601974198,64856.11983314144,13256,0.020552304118323733,0.12127132396310185,0.8654266166063282,FALSE
Skin.keratinocyte_stem_cell,9.722520139714454e-7,-7.44652123605416e-5,2.211920394131889,0.012888185227769525,0.4548075784168129,2,-29336.29739299945,58678.5947859989,58701.071855267306,64856.19729816943,13256,0.010852545869877354,0.09559512503477098,0.9096151568336258,FALSE
Limb_Muscle.skeletal_muscle_satellite_stem_cell,8.205035095038753e-7,-7.46169723124801e-5,2.2119205619598516,0.01087660344627467,0.45847001641980145,2,-29336.298398941188,58678.596797882376,58701.07386715078,64856.20714000994,13256,0.013651251678102114,0.13089583447626574,0.9169400328396029,FALSE
Bladder.bladder_cell,5.055836034335763e-7,-7.493191597540694e-5,2.211920910249018,0.006702019635546724,0.4673773080556465,2,-29336.30048654663,58678.60097309326,58701.07804236166,64856.22756453736,13256,0.007675584029467912,0.09375805353708143,0.934754616111293,FALSE
Skin.stem_cell_of_epidermis,2.0763230736150068e-7,-7.522988974817402e-5,2.211921239771511,0.0027523744378659086,0.4790802528422544,2,-29336.302461666473,58678.60492333295,58701.08199260135,64856.24688854419,13256,0.0060422117899115975,0.1151707476359605,0.9581605056845088,FALSE
Limb_Muscle.skeletal_muscle_satellite_cell,1.890953829738373e-7,-7.524842807082877e-5,2.2119212602726233,0.0025066488706969154,0.48003509693366686,2,-29336.30258454777,58678.60516909554,58701.082238363946,64856.24809077978,13256,0.005458604724924286,0.10902720920359323,0.9600701938673337,FALSE
Large_Intestine.large_intestine_goblet_cell,3.175071311827294e-8,-7.540578461040504e-5,2.2119214342896596,4.208874664593033e-4,0.4918162113391055,2,-29336.3036275857,58678.6072551714,58701.084324439806,64856.25829556666,13256,0.0018655020538607169,0.09093116074737417,0.983632422678211,FALSE
Mammary_Gland.basal_cell,3.3464582679415726e-9,-7.543419100808357e-5,2.2119214657036506,4.436065094828455e-5,0.4973429628948648,2,-29336.30381587752,58678.60763175504,58701.08470102344,64856.2601377604,13256,6.083225229033886e-4,0.09133451798961989,0.9946859257897296,FALSE
Large_Intestine.epithelial_cell_of_large_intestine,3.359650777369036e-10,-7.543720172842328e-5,2.211921469033138,4.453553071976633e-6,0.49915811093444096,2,-29336.30383583408,58678.60767166816,58701.08474093656,64856.26033300973,13256,1.8426171265713466e-4,0.08731357840680472,0.9983162218688819,FALSE
Heart.unknown_cell_type,1.0022510269728339e-8,-7.542751445233087e-5,2.2119214583201994,1.328583974670935e-4,0.5045981884147431,2,-29336.30377162196,58678.60754324392,58701.08461251232,64856.25970477664,13256,-0.0015665749286068488,0.1359116443803895,0.9908036231705137,FALSE
Marrow.granulocytopoietic_cell,4.067809634024129e-7,-7.503072606884764e-5,2.211921019520883,0.005392290644343569,0.529268355774443,2,-29336.30114150963,58678.60228301926,58701.07935228766,64856.2339725071,13256,-0.00824641137428137,0.11229963626136917,0.941463288451114,FALSE
Tongue.keratinocyte,1.290633679000671e-6,-7.414680667761075e-5,2.2119200420140697,0.01710866212984844,0.5520322795465331,2,-29336.295282445008,58678.590564890015,58701.06763415842,64856.176649125264,13256,-0.012549137976938815,0.0959413597924822,0.8959354409069339,FALSE
Marrow.pre-natural_killer_cell,6.837546788091111e-6,-6.859947512305453e-5,2.211913907333506,0.09063913997229617,0.6183145447297218,2,-29336.25851180857,58678.51702361714,58700.99409288554,64855.8168970845,13256,-0.04081143047918536,0.1355576181756795,0.7633709105405564,FALSE
