dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,ABC,0.664080687003366,0.721344471828395,0.556052077417777,0.90707520765605,0.970449836650644,0.698612198667588,0.11162777018512,0.550096508638795
Mousebrain,ACBG,0.882328628166546,0.94571278870771,0.505817779232772,0.505310136266735,0.986630992029252,0.958158938340444,0.0457389768362722,0.378184111690588
Mousebrain,ACMB,0.675388802305048,0.484918515459671,0.129405381450714,0.275516911325912,0.997306111810013,0.586900911808031,0.87910213950437,0.809701326720228
Mousebrain,ACNT1,0.929628031457041,0.75467415145702,0.00479714202045592,0.999850274062998,0.99999994943522,0.930690914485932,0.230740766325184,0.00865081306723901
Mousebrain,ACNT2,0.868426710446206,0.189446109220293,0.0438468445877557,0.57962237327015,0.999284164737569,0.650163094818377,0.431543430023333,0.193502213705107
Mousebrain,ACOB,0.897313630095824,0.452139656101738,0.270974847602328,0.870862643512894,0.996853121115814,0.817674650497868,0.464736110151508,0.40165731521387
Mousebrain,ACTE1,0.97542234378396,0.37506074736186,0.0430106243244125,0.229658337655173,0.995198394780883,0.924012962298114,0.528641019928946,0.185722140269473
Mousebrain,ACTE2,0.984404124844997,0.863609301059724,0.160479326673072,0.999402895402333,0.999998470520674,0.989439284760473,0.244442378264608,0.0511055756866038
Mousebrain,CBGRC,0.917110083113472,0.939857099974716,0.418072306131807,0.00106099831456841,3.11163122194354e-4,0.97028319053784,0.0423927540880523,0.012174390650163
Mousebrain,CBINH1,0.62605976811401,0.758129696553902,0.106125826910766,8.04623648174631e-13,7.49585959135439e-15,0.697971330546756,0.240987524246843,0.066980125915124
Mousebrain,CBINH2,0.135556980413949,0.552119189485307,0.919168101766582,1.98727330870169e-7,1.21337400680082e-18,0.156598698495208,0.014357570815776,1.31199102060466e-4
Mousebrain,CBNBL1,0.109768883677278,0.0170713864590991,0.623706574253548,2.59396495603557e-24,4.93608429879776e-29,0.0116700045664689,0.189981234206077,0.00777927561653866
Mousebrain,CBNBL2,0.945777806430744,0.657904255203984,0.787077772119326,0.462989867167591,0.0453661583395174,0.936642124183057,0.344985059694058,0.699788725215835
Mousebrain,CBPC,0.489656414426382,0.233584405962691,0.759252737823983,0.195239236344258,0.00348413021243666,0.508990040572374,0.339633966354154,0.0473487295568303
Mousebrain,CHOR,0.0466515185812322,0.928917483268359,0.0449551112886135,0.50715704675401,0.728852988048273,0.175759392108396,0.531896369003088,0.280887822019711
Mousebrain,COP1,0.996297059736677,0.906068625180849,0.861519831456997,0.075889632522969,0.00554052470914055,0.997924473862169,0.166021520999756,0.594580616804195
Mousebrain,COP2,0.960832461605699,0.300350769113543,0.958152249013469,0.00420164731412148,6.45437829695335e-5,0.875894153742342,0.145001513679219,0.435195679478308
Mousebrain,CR,0.0477085408047716,0.394096990125279,0.395357462830455,2.00653756644171e-5,3.25466454264918e-6,0.0414301862140981,0.910021535925643,0.779416419632075
Mousebrain,DECHO1,0.14807021540707,0.158008109825276,0.67403248330308,3.41443238376308e-44,1.62092087713119e-39,0.0857375247218498,0.0157594360556517,0.028525855626473
Mousebrain,DECHO2,0.00434385837382815,0.684164902786392,0.650234945426949,1.87473313077508e-25,4.2267350888849e-28,0.0124405954090045,0.0890130780853057,0.0243125274647865
Mousebrain,DEGLU1,0.0508742374161846,0.048390525176258,0.959189703555443,4.72676733455964e-50,1.10264127462163e-56,0.0124105117920543,0.00890701570096494,0.00480214771741824
Mousebrain,DEGLU2,0.0506058979494402,0.145310386479587,0.985927544826383,6.4758283353472e-54,8.19744239277343e-63,0.0185352797524367,0.0144740181945811,0.00793576183924284
Mousebrain,DEGLU3,0.0793444735801438,0.0682914376028662,0.45036403639807,2.41645518654229e-46,6.30321851815088e-54,0.0271803080450823,0.00522619227030977,0.115256407416947
Mousebrain,DEGLU4,0.099513661549408,0.0929233655521432,0.185063649182313,8.16193793406138e-63,5.93132683115187e-61,0.0435733692842818,1.28832158338722e-4,0.00501432376462984
Mousebrain,DEGLU5,7.63431895067007e-6,3.27740248474249e-4,0.0557921968262995,1.59314510804166e-47,3.8843046626161e-47,2.67241021145423e-7,2.50428811152525e-4,0.0017940241600837
Mousebrain,DEINH1,9.05119393367643e-4,0.0419602171198196,0.219695470735461,4.53536142040367e-54,8.75417723601851e-57,2.1247010193328e-4,0.0179570332784302,0.00647829047222425
Mousebrain,DEINH2,0.0226283063671361,0.0644323978214519,0.348206554678856,3.56115048445918e-59,9.05035003168389e-59,0.0223111300309273,0.00885500620340028,0.00164389928870288
Mousebrain,DEINH3,0.00306786992910863,0.00362242514517527,0.312865998154847,2.15564286486098e-55,6.04272992333315e-55,4.21030950318724e-4,1.68074987533408e-4,2.83897743353075e-4
Mousebrain,DEINH4,2.72459848288432e-5,0.0807853980173825,0.131419276801063,4.21126886446101e-22,7.20901526868879e-26,2.68487380448562e-5,0.15344524582058,0.0232860560963679
Mousebrain,DEINH5,2.72808126671382e-5,0.00166174321920967,3.70745783102198e-5,2.5844957427476e-40,1.13465639964208e-49,3.68028089078355e-6,4.2337063516327e-4,9.40897790343571e-5
Mousebrain,DEINH6,0.291133819581647,0.0461796480474309,0.143839675578875,3.70118404649507e-7,2.41400979179012e-12,0.157580849627417,0.750099749675028,0.633028621330091
Mousebrain,DEINH7,0.0262537316910549,0.556199176796514,0.0107067357603124,0.77988647182443,0.69727936293114,0.0404310631922171,0.0537899153079439,0.0456091430264318
Mousebrain,DEINH8,0.010333514776556,0.224112890512993,0.127553128290132,0.00340316797585566,0.00624391205203001,0.00557971106253666,0.665799354355556,0.274679137358239
Mousebrain,DETPH,0.0492990963997143,0.859969124815768,0.560206805548788,0.266601263794097,0.194918977502371,0.156097140300685,0.600086211760311,0.699495311397149
Mousebrain,DGGRC1,0.429044105640124,0.795305848446483,0.790797467979593,2.20731139336737e-33,1.03427009554725e-45,0.673895803103867,0.157078313894399,0.449961681860801
Mousebrain,DGGRC2,0.438798358061029,0.801270798959723,0.858914744129428,4.20998492994059e-29,4.3696601410865e-39,0.782406838572622,0.183026305405179,0.0997695485385572
Mousebrain,DGNBL1,0.689105121621138,0.93318809545723,0.84549836148075,0.0043829536188922,8.02968973903755e-5,0.857725818730784,0.597299318780204,0.439091734395997
Mousebrain,DGNBL2,0.802579413214551,0.843311194343263,0.951927581955022,0.0659744206556043,0.00493684972546833,0.867123868090101,0.232882800190691,0.49391163740182
Mousebrain,ENMFB,0.976233983550305,0.633938551971463,0.492617688747765,0.295681554229401,0.444960479265615,0.962928387057395,0.980236075362923,0.981130036657296
Mousebrain,ENT1,0.009977579157815,0.325821270010352,0.197592318298874,0.00166891199513186,0.00128269851184322,0.0218064517130922,0.0357627923693352,0.556692981202685
Mousebrain,ENT2,0.0240037418601529,0.629722517832505,0.211562621618849,4.53621005176725e-15,1.52592695028386e-14,0.0626199778700186,0.162481181832701,0.0986207551620618
Mousebrain,ENT3,0.129418237487862,0.598657505177553,0.593437952677524,7.38747386403367e-7,2.19919992725166e-8,0.2113266309406,0.0943650507653093,0.23727503131289
Mousebrain,ENT4,0.684796763171595,0.751074317788472,0.509968260616282,3.06932306037819e-4,1.23446007984296e-4,0.712853079617793,0.0618449143643636,0.0185190865550413
Mousebrain,ENT5,0.506560671432916,0.602186923690446,0.0569098021357092,8.39701557127298e-5,3.17956837354527e-6,0.487512734069463,0.108631024588139,0.240206323584224
Mousebrain,ENT6,0.00981032918568984,0.196820474001927,0.0145198924235125,1.58375223865006e-12,2.04078466734499e-15,0.00916781264530423,0.0983593518452555,0.339938227935003
Mousebrain,ENT7,0.20635263680833,0.208076971429556,0.00513507055247865,8.43058001525061e-7,3.50122620881215e-6,0.171039419235567,0.269886287386133,0.931805301692351
Mousebrain,ENT8,0.0151307804774241,0.0302797285354515,0.0275098188966687,5.40406669915334e-11,2.71214712544232e-16,0.00948355620699097,0.00611195336123405,0.00441472986972293
Mousebrain,ENT9,0.647554168790297,0.16873130987179,0.43298448999926,1.68709243305357e-5,0.0152829138895039,0.348133889536972,0.223590401358723,0.0901379215007466
Mousebrain,ENTG1,0.76540021309281,0.893516331776247,0.96414959301621606,0.957381687487245,0.992404321990102,0.858173044472063,0.551451220626411,0.683933963942104
Mousebrain,ENTG2,0.991656733690278,0.848169781655113,0.0384549379636547,0.894537446721419,0.987525590553833,0.993062371223464,0.579365914525538,0.841923298825204
Mousebrain,ENTG3,0.99339072165504,0.83260750679638,0.599175457538524,0.405186901506009,0.850412551408732,0.993770905584181,0.475763007334971,0.784583425697308
Mousebrain,ENTG4,0.992277176520479,0.886049765968335,0.560214917861478,0.930217368728277,0.984016265605524,0.994719337577074,0.849015124386417,0.880925489174024
Mousebrain,ENTG5,0.979789469341857,0.935246071801139,0.358802543153017,0.692719976267854,0.877775338735008,0.991878784826148,0.881698027073019,0.772435282270675
Mousebrain,ENTG6,0.879826585709021,0.828785570994567,0.384835266694232,0.262902852656706,0.628938600935014,0.910574576555497,0.947461143367631,0.852256885567066
Mousebrain,ENTG7,0.667442071232263,0.734954340289714,0.673901195854204,0.902739055844464,0.976776864217663,0.693719934709021,0.872387596877314,0.780390004237239
Mousebrain,EPEN,0.00392247427403721,0.840988574282162,0.104187908611472,0.999998300989326,1,0.0185209882719717,0.876990686734851,0.870480856861795
Mousebrain,EPMB,0.00164629042259474,0.462832347545324,0.281782800622398,0.995965558095442,0.999999996159382,0.00276015447992256,0.527391674211352,0.500107071733175
Mousebrain,EPSC,6.96398939499188e-5,0.910980974705926,0.0341308474161602,0.999999789366894,0.999999999999229,0.00205872447190916,0.91733520814844,0.538184718982954
Mousebrain,HBADR,0.0149287943808153,0.00227179749344014,0.00424625362776048,6.12131133844816e-30,4.42683992045069e-35,0.00190212655853728,4.3568077046807e-5,0.00266517470865233
Mousebrain,HBCHO1,0.178532025256235,0.322181567718561,0.254895902380101,1.48444223033003e-18,8.02903107850556e-27,0.315376932078767,5.03302901291574e-5,0.0221789475614246
Mousebrain,HBCHO2,0.0622806743036072,0.0502559277250843,0.0557574002318925,3.01902860788517e-35,1.12495190329449e-38,0.0473382579946635,1.82532473466682e-5,0.0137584048321209
Mousebrain,HBCHO3,0.0117106644851374,0.003143423734828,0.234351893002404,1.62054586370069e-38,1.55929645486543e-39,0.00187718612712346,5.06365594626461e-5,0.018851402500428
Mousebrain,HBCHO4,0.0346696197578542,1.6885957383851e-4,0.0183873322882216,6.28058219604698e-50,7.3518755104351e-54,0.00203452445049206,0.0156998263325282,0.252599529180865
Mousebrain,HBGLU1,0.115309791296885,0.00556266636744467,0.791883645287215,4.59348144678612e-39,7.93018014388568e-50,0.0284072354897006,0.0417985162858935,0.143470227797674
Mousebrain,HBGLU10,0.851716586604252,0.502883704197354,0.525780925601194,1.10677490950543e-13,1.04396643240603e-24,0.787559729674808,0.00154806932301895,0.00361293069901465
Mousebrain,HBGLU2,0.00341073563709198,0.0019657893811896,0.0118649735580732,1.66721241861224e-37,8.74608950100298e-46,4.49179217428614e-4,1.67592322776072e-5,0.0234380739679616
Mousebrain,HBGLU3,0.00901374587631303,0.00143096963731882,0.0284300689340134,2.92248631921006e-28,4.67095015462097e-40,6.79241195512801e-4,3.65984689422794e-6,0.00616545709898245
Mousebrain,HBGLU4,0.0621948073543914,0.00116697830902557,0.23361718363069,1.30105132207903e-32,6.04670777119137e-35,0.00275239625053654,0.00979763654950301,0.0322816761645798
Mousebrain,HBGLU5,0.0146224561669719,0.0333082031284173,0.515529025783335,5.89520981582158e-54,1.95462362902529e-50,0.00325012767625288,0.0654145580993526,0.00809251732579303
Mousebrain,HBGLU6,0.103362556810316,0.0112129457373447,0.557577267854204,1.12388653162076e-52,4.83213874064356e-55,0.0146658181219999,2.07631970365694e-4,0.00690427831392776
Mousebrain,HBGLU7,0.327256311052092,0.00645732370267045,0.6528398979501,2.48454508475182e-44,1.82912544061461e-51,0.0604708119004681,9.443844219978e-5,0.00302518562902878
Mousebrain,HBGLU8,0.56642146172571,0.135659481806795,0.438250331235378,2.7063262808899e-46,5.997264926787e-46,0.373961987543617,4.31666682512492e-4,0.0596829310735661
Mousebrain,HBGLU9,0.0278946578358608,0.0181275669073068,0.565053209515619,3.44745328899218e-45,1.69554730565674e-51,0.00431058556004795,9.10217676883239e-6,0.00557472090053962
Mousebrain,HBINH1,0.102793733354847,0.230130022622809,0.318072016845052,1.83126293624161e-6,9.07686739323648e-16,0.139072668208342,8.24686671175425e-4,0.0319718137795737
Mousebrain,HBINH2,0.135712463561899,0.00118342523493405,0.299121734724447,1.68622534566147e-39,5.74194770847131e-48,0.00958815938866944,3.96765945132793e-4,0.00310743636085844
