dataset,annotation,turcot2018_s21_mendelian_obesity_genes.mapped,turcot2018_table1_rare_variants.mapped,yazdi2015_table1_mouse_obesity_genes.mapped,human_psd_genes.pers_hmg2016_table_s12,mouse_psd_genes.pers_hmg2016_table_s13,combined_rare_mendelian_obesity,locke_nearest,locke_associated
Mousebrain,ABC,0.614929679236163,0.841966360483291,0.314030617401152,0.999907121131409,0.99998496387763,0.73530544199801,0.101200557554422,0.487991818574818
Mousebrain,ACBG,0.870543396606834,0.943078471197161,0.59840897294556,0.559010037264655,0.993795527614915,0.952397623930032,0.0684662400397857,0.334620086583674
Mousebrain,ACMB,0.756742086969964,0.409945958366463,0.314765000403927,0.916512639839845,0.999964562629173,0.637461526418466,0.927071145418418,0.80458179882524
Mousebrain,ACNT1,0.922284220144301,0.755170090994464,0.00742484989378188,0.999922016378677,0.999999983896884,0.924380973621798,0.246305134204271,0.00972284701928799
Mousebrain,ACNT2,0.857419495968895,0.189080011391321,0.0382629558015966,0.867427874755845,0.999829951630734,0.633803589064761,0.504518513800606,0.211134952793017
Mousebrain,ACOB,0.758752158631621,0.624082524048988,0.334460525772597,0.984459710975302,0.999954808550535,0.737067089566801,0.527144914585044,0.581212042655853
Mousebrain,ACTE1,0.969262679622435,0.368607908685917,0.0777767272570598,0.81682183412942,0.999801567196237,0.910137233822321,0.569520561585098,0.213985780781029
Mousebrain,ACTE2,0.962765799330302,0.862502510899622,0.196994993198967,0.999551629485316,0.999999470712313,0.975854523700088,0.368870088195038,0.0625871698752183
Mousebrain,CBGRC,0.91713663307316,0.939857099975097,0.412064494998837,0.00141775762864638,4.42113126100474e-4,0.970293608276114,0.0728208947825395,0.0205392179756521
Mousebrain,CBINH1,0.824187535850363,0.713683093981979,0.185644573334958,7.12150073251478e-4,1.04829422683745e-6,0.840982762344644,0.308283742731236,0.0505053381168869
Mousebrain,CBINH2,0.265670260906953,0.450289625253468,0.800246153539941,0.360652953534873,3.27344488494333e-6,0.240816227905845,0.0474072698607313,0.0218504587588346
Mousebrain,CBNBL1,0.330000277714287,0.0272415964558582,0.808970912766482,6.1893291710446e-5,5.82406122327737e-6,0.0731902730564613,0.421768276952122,0.0415953082680678
Mousebrain,CBNBL2,0.943499758507104,0.653735098695724,0.776313891784314,0.603815175361756,0.0851534365086241,0.933698728262058,0.348703553420405,0.699735130756142
Mousebrain,CBPC,0.454062182308848,0.221401733316144,0.80655388354252,0.446218250043721,0.0248580882843817,0.470959284093475,0.311481777267727,0.0898844775583576
Mousebrain,CHOR,0.0304483137681679,0.89354267496864,0.00911830886328669,0.973300644366991,0.999553230086656,0.115151449686,0.384056672366625,0.34310879156003
Mousebrain,COP1,0.997089524907216,0.84564658086737,0.78127891422539,0.823024417176995,0.471537102099649,0.997518347293541,0.40583519413207,0.392901497212921
Mousebrain,COP2,0.914880922901842,0.423816103823149,0.962547407887012,0.289740431103498,0.0250311960853104,0.83934330562942,0.208459711611965,0.520834446503569
Mousebrain,CR,0.0591635995144586,0.260665756791311,0.299375086344988,0.636253154529479,0.187118611494387,0.0351509857410114,0.665484893669013,0.502486285039548
Mousebrain,DECHO1,0.575490371652927,0.314541648520188,0.433458504569751,1.67378516525989e-25,2.79402828172701e-23,0.519369442683926,0.0258862551821727,0.0720900977552136
Mousebrain,DECHO2,0.00780301634765043,0.677218862192392,0.398851085289799,1.77828153596481e-7,1.41382047459604e-7,0.0214558191198938,0.240455480591128,0.339280511412707
Mousebrain,DEGLU1,0.113346259058295,0.0920785081278101,0.909917081455169,3.31397728470513e-33,2.82395464502019e-39,0.0477714496754328,0.0143694033006745,0.00963323000807716
Mousebrain,DEGLU2,0.355322453164163,0.360848752632107,0.944989879276347,7.34079843080885e-42,1.52674910936326e-43,0.23851000995979799,0.0204041783999474,0.0131607068375517
Mousebrain,DEGLU3,0.127890442608898,0.0243450269659064,0.145575316747952,1.55580658779979e-28,4.01297151588071e-33,0.0292824433014311,0.00275386771328506,0.0748016644346111
Mousebrain,DEGLU4,0.169329740425732,0.029212024094258,0.124102847621931,8.54329316961166e-34,4.97458772545367e-32,0.0493612338578692,1.19734489323998e-4,0.0125404722994583
Mousebrain,DEGLU5,7.1638041445912e-4,1.13989414294683e-4,0.0313998798454511,4.30849282167037e-27,3.86407754378491e-25,2.15156927139718e-5,2.00885039836854e-4,0.0043734104145478
Mousebrain,DEINH1,0.00362397535741143,0.00948891933810767,0.117940550502635,3.2312029873078e-36,3.61914304691553e-37,3.41245054193163e-4,0.0369518038745248,0.00919444137261146
Mousebrain,DEINH2,0.119943570153678,0.013634959412186,0.0897967921797538,3.66951679205942e-32,4.2265699762996e-33,0.0635562936552864,0.0157439198483544,0.00536620133673554
Mousebrain,DEINH3,0.00100499894240994,0.00238123662017871,0.168258574008095,1.07538643413717e-33,2.63535299991834e-33,1.53494917549575e-4,2.72164879073038e-4,1.29406376649253e-4
Mousebrain,DEINH4,9.81918207371045e-4,0.02322124029908,0.00511762487248432,0.0170726420676821,0.00127687011779034,2.87507273621206e-4,0.214840587915687,0.019752541419183
Mousebrain,DEINH5,4.89612949290543e-5,7.1355146183195e-5,5.54939607237507e-6,1.1494465267345e-9,6.63135460010549e-11,1.3380742367713e-6,0.00162450145997513,8.19385405511827e-4
Mousebrain,DEINH6,0.462380747068218,0.0121639083338431,0.0381015415518205,0.903027572888901,0.892297969992213,0.215001290662954,0.600473750905663,0.451497630119853
Mousebrain,DEINH7,0.0347462581357405,0.495089459884468,0.00248655731056086,0.999964651629696,0.999903780846402,0.0441075149819952,0.0287188348245982,0.0361947339879868
Mousebrain,DEINH8,0.0647937436446584,0.103461542642004,0.0301297112291464,0.998959625634409,0.99240965553431,0.0194380434172637,0.151165412032162,0.414008123737633
Mousebrain,DETPH,0.0087637774917309,0.822040774560023,0.389133182484085,0.999832222460071,0.999876494778076,0.0427886734597054,0.176901246662764,0.27944685401486
Mousebrain,DGGRC1,0.386004033123347,0.815030071583726,0.425154556650359,1.75102807815045e-13,3.03204311906786e-22,0.670702030081685,0.304882834446115,0.441351901263601
Mousebrain,DGGRC2,0.299756652379081,0.668638518693938,0.551593739446905,7.24762845626368e-15,2.08400574277358e-18,0.626939406927331,0.573835238551387,0.259022345552291
Mousebrain,DGNBL1,0.724527262764233,0.889414700065465,0.847524073950672,0.904718736801208,0.189322998442526,0.851992406539478,0.348050851175031,0.40476623333003
Mousebrain,DGNBL2,0.663435448469075,0.777256826677631,0.937592666499838,0.759235839380524,0.25233886845161,0.733882594772616,0.100281591816233,0.500236376705371
Mousebrain,ENMFB,0.954242577592012,0.741917055838981,0.457764137025894,0.999911609520792,0.99979786529036,0.955878960051215,0.976052477200087,0.97470267919554
Mousebrain,ENT1,0.00396129980494453,0.286614020180109,0.245694560963569,0.205526555473681,0.842743907202747,0.0118081011227798,0.129678528665817,0.924290564218742
Mousebrain,ENT2,0.100321439591891,0.310197046821502,0.0543510152100205,3.95503565165766e-5,6.82907576098103e-4,0.102426302606114,0.22947886625815,0.651901735385645
Mousebrain,ENT3,0.112574727068978,0.531803098147397,0.367698230872139,0.0123149306424602,0.163156851800368,0.180016903857204,0.075964699023899,0.382237291116713
Mousebrain,ENT4,0.792883325118555,0.719660930223655,0.250846421403848,0.447182618148702,0.796058433379743,0.804299176529764,0.0897660197570885,0.102119234414887
Mousebrain,ENT5,0.625579988227432,0.624889108130085,0.013626979365947,0.115596936148631,0.0397921989241082,0.619402276950449,0.135784266369022,0.412355255091394
Mousebrain,ENT6,0.156716015133225,0.276868967176792,0.0153942633355035,0.00835691392266622,0.00359774844722535,0.164718600159102,0.0256335207454221,0.468425540674635
Mousebrain,ENT7,0.458146130573006,0.165374172650291,1.73817388123248e-4,0.349158258683252,0.638727393918806,0.372666758509335,0.420378858295219,0.996193543487851
