DEGLU4	DEGLU5	DEINH3	MEGLU1	MEGLU10	MEGLU11	MEINH2	TEGLU17	TEGLU23	TEGLU4	TEINH12
antiquewhite3	3.94367941080328e-09	0.000142923599507616	7.67290136076346e-05	0.00140517372541517	0.130081253939823	0.0319447249192393	0.000149906852463938	0.0239744970031599	5.38655833706512e-05	0.00222539786594837	0.0137840781929615
aquamarine2	2.41467796098205e-20	8.20394801651648e-10	1.73298550404942e-09	3.67196123296791e-11	4.82012712584622e-07	1.96117443334446e-06	1.08663797286663e-08	9.97222252989067e-06	8.37267644374859e-07	4.2424025341743e-11	6.69753750080525e-06
blue1	8.46211082057454e-08	0.000912955090293509	0.000657978538156264	0.000668486982507923	0.00919075125646641	0.0215175145595422	0.000420228664144368	0.0169107283983571	0.0478783858506463	9.99038941051275e-05	0.0025515101187079
cadetblue1	1.09308880245263e-17	3.16447731219576e-09	3.08781987481096e-09	5.11654463987026e-09	7.57888473710962e-07	6.39864886417502e-07	2.35716829019372e-09	3.03904311506559e-08	4.10165783990088e-09	5.21652281355653e-12	1.96937364601591e-06
chocolate	5.4421525742069e-06	0.0964751004900237	0.0199515664049153	0.0236791835078817	0.165784318152293	0.0106359704081894	0.0599688416478708	0.0633574055731649	0.0758733957602603	0.000168601514280072	0.127008908311342
darkgoldenrod	2.39839508691231e-08	3.18190361657092e-08	2.1454494400777e-09	3.32124922287719e-08	1.77475445893337e-05	4.91518176415112e-05	5.24292760215641e-08	0.000214790090829618	0.000127859729943466	3.03260649956561e-06	5.27727262215444e-05
darkolivegreen4	7.30357097361174e-10	5.47660414818913e-07	1.07086974160175e-06	1.80982798358598e-06	1.54003643590168e-05	2.0189997974383e-05	2.16016838089183e-07	7.09936376593596e-07	0.000192306563780518	9.10857091036333e-08	0.00103075007091542
darkorange	1.32810551298942e-11	9.99788767778055e-05	1.09501817474988e-05	0.00274572251470119	9.92849756390957e-05	0.0211768442916834	0.018136007526022	0.000154299328417145	0.000507848877531834	0.000175009138671865	1.55347311615702e-07
deeppink2	2.01360696849778e-05	0.00101971558523014	5.9967973006797e-05	8.02498086871149e-05	0.00442053381164623	0.000235118972402201	7.70182585854075e-05	0.000200050328600811	0.00160014947918641	2.93833781192184e-05	2.59362538095248e-05
deepskyblue2	0.000839498303011507	0.000297291564631508	0.00215184030466669	0.00034693241468289	1.3421361981517e-05	0.000821899341421293	0.000966363728944007	0.00169569114066729	0.000195723287890738	0.00464952803116561	0.000231182767974918
goldenrod1	0.000117479924356071	0.000494888741907974	0.000895020719668034	0.00118557169531055	0.0727029735305238	0.158400162143765	0.00268750109206564	4.82057886385462e-05	0.000148480275424688	0.00278726039063954	0.00232264161119539
hotpink3	1.55349110286489e-17	5.42012571891124e-10	3.43099944748549e-08	6.50311749710624e-10	4.65015015934556e-05	2.72037677289459e-06	5.03356934950903e-08	2.11228900950686e-05	0.00077760270116475	4.13494566758303e-06	1.42999189088159e-05
indianred	0.0146720518017312	0.00313688753145507	0.0152424470063125	0.00491179359138962	0.000233047675227653	9.29046574435832e-05	0.00499153313987673	0.072326770280344	0.238618906442859	0.187683824558243	0.00584484163114039
indianred3	6.78779653382295e-10	5.58076636375216e-12	1.93083637273594e-11	6.38213932514326e-11	1.93985324429273e-13	5.71839138433728e-11	5.2987382359105e-12	8.83345322813439e-09	2.05660347206572e-06	2.76858687937858e-07	5.15058228699491e-12
indianred4	0.00653018587821274	0.0339417429719275	0.0590332985402911	0.0255045053900184	0.0130875113711003	0.0140597156918343	0.041774584559859	0.00102200382743001	0.030442258517069	0.000442124423526198	0.00898590068540426
ivory	1.32264636336119e-05	0.00381997506606112	0.00424074712830535	0.00910358331653768	0.0176648646456405	0.00749112109719469	3.8100963887397e-05	0.00773665501646835	0.0370503145332506	0.000165978710575322	0.000352095286184473
lightblue	1.23308806583781e-29	7.57091682141606e-22	2.07178445656207e-29	1.68379646291967e-27	2.10628527286767e-08	1.14510715448995e-18	3.22814866539643e-30	2.97480865422311e-18	1.65709755073012e-19	4.16953364250874e-20	1.1429904347574e-17
lightcyan4	3.50027859184374e-10	4.21541538401173e-06	2.48552358543786e-07	2.00924878966078e-06	8.2612093963094e-05	1.33927548389099e-07	3.8944726404247e-07	4.6717427337667e-05	9.57427767504755e-05	5.13024588020766e-06	0.000615907491094832
lightgoldenrod2	0.000106256112312132	1.4481762619988e-05	0.00454238994518749	0.0010818017265343	4.06189050539908e-05	2.55674950548016e-05	0.000583601295301844	0.00187104342642363	0.00185597993695706	0.0139136040354194	0.00115563433202511
lightpink4	5.69250197716271e-169	4.37867711824601e-208	8.16921170729269e-151	2.20682785634284e-133	1.23573003807395e-240	3.59721115428918e-232	4.00119549511721e-147	4.72480179203117e-97	1.77700039140985e-148	5.15417076734363e-37	2.08017296877931e-205
