Name	Coefficient	Coefficient_std_error	Coefficient_P_value
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lavenderblush	2.20688747062e-07	5.99690947555e-08	0.000116598078657
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightpink3	3.71737865368e-08	1.09226110296e-08	0.000332789259974
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__paleturquoise3	6.39872960562e-08	2.23995183162e-08	0.00214077495609
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__peachpuff2	6.48148467711e-08	2.52147104151e-08	0.00507733922762
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__purple1	6.78438295169e-08	2.67190690714e-08	0.00555604585484
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mediumpurple	8.92038285163e-08	3.6787014712e-08	0.00765687728356
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__moccasin	1.22738296255e-07	5.11544622554e-08	0.0082117366333
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__navajowhite2	1.39386472774e-07	6.11682805705e-08	0.0113413283128
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightsteelblue3	6.07013905804e-08	2.69759116483e-08	0.0122178977756
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__sienna2	5.65031498577e-08	2.65757710785e-08	0.0167468358431
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__tomato2	6.43637012725e-08	3.077360616e-08	0.0182406089683
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__tan4	7.07977487008e-08	3.4070533139e-08	0.0188557868386
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__orange	1.02017989978e-07	5.06311185649e-08	0.0219561677269
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__dodgerblue	5.68662468638e-08	2.9569904181e-08	0.0272329730766
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lightskyblue1	7.31269842764e-08	3.94200062412e-08	0.0317929103935
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__magenta4	4.65178188288e-08	2.5573839083e-08	0.0344586814406
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__lavenderblush1	1.32147207157e-07	7.37078904865e-08	0.036498439007
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__violet	6.37905984767e-08	3.73018842332e-08	0.0436220898584
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__mistyrose4	1.17434219167e-07	7.10175232348e-08	0.0491049177475
wgcna.mousebrain-190213.fdr_sign_celltypes.continuous__blueviolet	6.3028499482e-08	3.86377597039e-08	0.0514170045276
