gwas,specificity_id,annotation,tau,se,pvalue
BMI_UKBB_Loh2018,mousebrain190306,MEGLU10,2.17246030681191e-08,4.790845405455184e-09,2.885536418045807e-06
BMI_UKBB_Loh2018,mousebrain190306,DEINH3,2.2476638839133227e-08,5.026741103331791e-09,3.885211522235497e-06
BMI_UKBB_Loh2018,mousebrain190306,MEGLU1,2.085540184472364e-08,4.876877525763423e-09,9.497665901610893e-06
BMI_UKBB_Loh2018,mousebrain190306,MEINH2,2.5716057771753395e-08,6.017192636917154e-09,9.610048578319326e-06
BMI_UKBB_Loh2018,mousebrain190306,MEGLU11,2.3023478678518185e-08,5.593543447042628e-09,1.9268434501192166e-05
BMI_UKBB_Loh2018,mousebrain190306,DEGLU5,3.150117084653449e-08,7.779097410938962e-09,2.5667594232503166e-05
BMI_UKBB_Loh2018,mousebrain190306,TEGLU23,1.4691117303541777e-08,3.828533286423891e-09,6.220474047059261e-05
BMI_UKBB_Loh2018,mousebrain190306,TEINH12,1.6936787921942016e-08,4.532055597243544e-09,9.307394408044969e-05
BMI_UKBB_Loh2018,mousebrain190306,TEGLU17,1.6513174111315303e-08,4.452356190072519e-09,0.00010409647885383869
BMI_UKBB_Loh2018,mousebrain190306,DEGLU4,1.7000505647457402e-08,4.696199094192066e-09,0.00014726939642990383
BMI_UKBB_Loh2018,mousebrain190306,TEGLU4,1.791157957845466e-08,5.108196391272477e-09,0.000227072670010354
BMI_UKBB_Loh2018,mousebrain190306,HBSER5,1.655931847456573e-08,4.770675811283334e-09,0.00025920073829228767
BMI_UKBB_Loh2018,mousebrain190306,MEGLU3,2.4532324693134103e-08,7.292815932843231e-09,0.0003842428728114141
BMI_UKBB_Loh2018,mousebrain190306,TEGLU21,2.2244515279644145e-08,6.633883599385595e-09,0.0003994633622629806
BMI_UKBB_Loh2018,mousebrain190306,MEINH3,1.9057326701432405e-08,5.781367246687942e-09,0.0004897746202469254
BMI_UKBB_Loh2018,mousebrain190306,HBGLU2,1.9665254060070312e-08,5.9913219515450036e-09,0.0005148388769540226
BMI_UKBB_Loh2018,mousebrain190306,HBINH5,1.6194008709593774e-08,4.957809578754516e-09,0.0005446913870302701
BMI_UKBB_Loh2018,mousebrain190306,MEGLU2,2.4076996529149542e-08,7.392104732505422e-09,0.0005627376739159502
BMI_UKBB_Loh2018,mousebrain190306,TEINH1,1.7327209873237322e-08,5.396525804299417e-09,0.0006618109925471827
BMI_UKBB_Loh2018,mousebrain190306,DEINH5,2.3154027316600834e-08,7.349397534155987e-09,0.00081505104316691
BMI_UKBB_Loh2018,mousebrain190306,MEGLU7,1.6131519776930446e-08,5.1383778761623595e-09,0.0008464167986617437
BMI_UKBB_Loh2018,mousebrain190306,HBGLU3,1.999135019805569e-08,6.42648871732525e-09,0.0009329903293163556
BMI_UKBB_Loh2018,mousebrain190306,HBGLU5,1.704032850741211e-08,5.535357658813157e-09,0.0010403979796919703
BMI_UKBB_Loh2018,mousebrain190306,MEGLU8,2.1696556914687216e-08,7.100586518985255e-09,0.0011230509345898588
BMI_UKBB_Loh2018,mousebrain190306,MEINH13,1.850918873319589e-08,6.099474812421783e-09,0.001204456142224852
BMI_UKBB_Loh2018,mousebrain190306,HBINH3,2.1323679625637963e-08,7.358604122228922e-09,0.001879018621543705
BMI_UKBB_Loh2018,mousebrain190306,TEINH11,1.370249175973438e-08,4.744295784942516e-09,0.0019372454949593933
