ClusterName,NCells,Description,Class,TaxonomyRank2,Neurotransmitter,Region,Probable_location,Comment
ENT9,169,Cholinergic enteric neurons,Neurons,PNS neurons,Acetylcholine,Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #1
ENT8,97,"Cholinergic enteric neurons, VGLUT2",Neurons,PNS neurons,"Glutamate (VGLUT2),Acetylcholine",Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #3
ENT6,118,Cholinergic enteric neurons,Neurons,PNS neurons,Acetylcholine,Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #6
ENT5,259,Cholinergic enteric neurons,Neurons,PNS neurons,Acetylcholine,Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #4
ENT4,155,Cholinergic enteric neurons,Neurons,PNS neurons,Acetylcholine,Enteric nervous system,Myenteric plexus of small intestine,No corresponding Marklund cluster
ENT7,31,"Cholinergic enteric neurons, VGLUT2",Neurons,PNS neurons,"Glutamate (VGLUT2),Acetylcholine",Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #5
ENT3,155,Nitrergic enteric neurons,Neurons,PNS neurons,Nitric oxide,Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #2
ENT2,107,Nitrergic enteric neurons,Neurons,PNS neurons,Nitric oxide,Enteric nervous system,Myenteric plexus of small intestine,Marklund cluster #2
ENT1,14,Nitrergic enteric neurons,Neurons,PNS neurons,Nitric oxide,Enteric nervous system,Myenteric plexus of small intestine,No corresponding Marklund cluster
ENTG1,163,"Enteric glia, proliferating",PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,Foxd3 positive
ENTG4,4044,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,"have some neuronal markers like Camk2b,Nrn1,Klk8. Foxd3 positive"
ENTG2,2160,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,nan
ENTG3,1135,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,Foxd3 positive
ENTG6,811,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,nan
ENTG5,1132,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,Foxd3 positive
ENTG7,1041,Enteric glia,PeripheralGlia,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,Foxd3 positive
ENMFB,49,Enteric mesothelial fibroblasts,Vascular,Neural crest-like glia,NA,Enteric nervous system,Enteric nervous system,"lack Vtn,Igf2,Gjb2 (neural crest origin is uncertain)"
MOL3,1849,"Mature oligodendrocytes, spinal cord enriched (high Klk6)",Oligos,CNS glia,NA,CNS,Spinal cord-enriched,nan
MOL2,10011,"Mature oligodendrocytes, hindbrain",Oligos,CNS glia,NA,CNS,Pons/medulla (possible batch effect),Possible batch effect
MFOL1,3684,Myelin forming oligodendrocytes (MFOL),Oligos,CNS glia,NA,CNS,Pons/medulla (possible batch effect),Possible batch effect
MOL1,8715,Mature oligodendrocytes,Oligos,CNS glia,NA,CNS,CNS,nan
MFOL2,2415,Myelin forming oligodendrocytes (MFOL),Oligos,CNS glia,NA,CNS,CNS,nan
NFOL1,1612,Newly formed oligodendrocytes (NFOL),Oligos,CNS glia,NA,CNS,CNS,nan
NFOL2,181,"Newly formed oligodendrocytes (NFOL), pons/medulla specific",Oligos,CNS glia,NA,CNS,Pons/medulla (possible batch effect),Possible batch effect
COP2,254,"Committed oligodendrocytes cells (COP), pons/medulla specific",Oligos,CNS glia,NA,CNS,Pons/medulla (possible batch effect),Possible batch effect
COP1,1532,Committed oligodendrocytes cells (COP),Oligos,CNS glia,NA,CNS,CNS,nan
HBSER2,109,"Serotonergic neurons, hindbrain",Neurons,CNS neurons,"Serotonin, Glutamate (VGLUT3)",Pons,"Nucleus raphe Pons (B5, B6)",nan
HBSER1,105,"Serotonergic neurons, hindbrain",Neurons,CNS neurons,"Serotonin, Glutamate (VGLUT3)",Pons,"Ventral midbrain/isthmic dorsal raphe (B7), caudal linear nucleus (B8), medial lemniscus (B9), isthmic periaqueductal grey (B4?)",nan
HBSER3,87,"Serotonergic neurons, hindbrain",Neurons,CNS neurons,Serotonin,Pons,"Ventral midbrain, rostral pons",nan
