branch,pseudotime_percentile,pseudotime_decile,"Waist-hip Ratio (adj. BMI) (Loh, 2018)","Waist-hip Ratio (Pulit, 2019)","Low Density Lipoprotein (Teslovich, 2010)","BMI (Loh, 2018)","Height (Loh, 2018)"
ECM,top10,10,0.00670905617369,0.0797632222879,0.0937409822487,0.794460178159,0.141159021205
ECM,top100,1,0.341024729021,0.637037244103,0.196601881364,0.579591335283,0.317719218522
ECM,top20,9,0.0357691842847,0.26955195215,0.0565442369951,0.712720788992,0.0291173433265
ECM,top30,8,0.245553360615,0.733342796349,0.644279474698,0.84896784682,0.0466352901477
ECM,top40,7,0.025395069716,0.150297272938,0.156116471264,0.666805065,0.0987202258915
ECM,top50,6,0.262288633931,0.617194920928,0.134500651203,0.727311977632,0.499513397966
ECM,top60,5,0.142689272334,0.378611199635,0.390457770847,0.793299306437,0.0695966429085
ECM,top70,4,0.166675846303,0.284028837652,0.34030238662,0.753128454518,0.334291245181
ECM,top80,3,0.057427193448,0.174723872394,0.164689622817,0.470691188136,0.0590583043161
ECM,top90,2,0.500210146892,0.616480633714,0.10496886621,0.552159172285,0.186664275438
Metabolic,top10,10,3.10106796697e-4,0.00202882825996,3.26435665227e-4,0.692129111546,0.896433022571
Metabolic,top100,1,0.0055162023307,0.0202197481903,0.143854444545,0.468058842568,0.781298111386
Metabolic,top20,9,2.92706683644e-4,0.0043944840476,0.00265565828387,0.640945093817,0.941103303748
Metabolic,top30,8,7.46613052275e-5,0.00127956398684,0.00652942460122,0.716875778415,0.916755830745
Metabolic,top40,7,0.00186557949654,0.00120217073219,0.106513704133,0.463471262672,0.775505244941
Metabolic,top50,6,0.00300018238248,0.00320012097075,0.190010325934,0.454928874708,0.716689551064
Metabolic,top60,5,0.00377142581287,0.0150049844117,0.327530936044,0.653381561055,0.754425768572
Metabolic,top70,4,0.00684700404006,0.0179220374238,0.484837904354,0.417496060925,0.627288020844
Metabolic,top80,3,0.00931564722606,0.0136466906029,0.867253126519,0.415922773547,0.372380473449
Metabolic,top90,2,0.110103499515,0.0885488311135,0.231226907049,0.269835406698,0.243899018583
Progenitor,top10,10,0.68854646256,0.883488121217,0.683577625887,0.553682268797,0.756184938456
Progenitor,top100,1,0.96286341582,0.994190387347,0.686241898496,0.617170839459,0.0156160214244
Progenitor,top20,9,0.808787261291,0.864116017945,0.745058176333,0.917415556586,0.692837802604
Progenitor,top30,8,0.874667898263,0.958624383865,0.822123865417,0.969503127771,0.756030886634
Progenitor,top40,7,0.887433411876,0.971850268075,0.807844967097,0.915417594751,0.462999884651
Progenitor,top50,6,0.695927366128,0.726198075861,0.850442753653,0.749062481789,0.19059579702
Progenitor,top60,5,0.93523568424,0.940219239472,0.749617953768,0.98551203855,0.513271011133
Progenitor,top70,4,0.881429379875,0.954454655506,0.732404085154,0.877515457728,0.429550164265
Progenitor,top80,3,0.954589361708,0.974351934242,0.758854878134,0.916931768188,0.351205070419
Progenitor,top90,2,0.905770800107,0.962290585382,0.706540906939,0.980224646624,0.0911799353299
