Model	Annotation	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
baseline.no_all_genes	Artery_Coronary	L2_0	0.19105680623516333	0.20525136016719128	0.008712594537096682	1.074294939875403	0.04560211545864917	0.09952893205245067	-3.864916718230814e-09	1.4192269585462536e-09	-2.7232548641760133
baseline.no_all_genes	Adipose_Visceral_(Omentum)	L2_0	0.18616966935456677	0.1798381198904596	0.009538623274241943	0.9659904350367164	0.05123618314041958	0.5047729211313663	-6.434373987790529e-09	1.9058108217831996e-09	-3.376187140006957
baseline.no_all_genes	Adipose_Subcutaneous	L2_0	0.19589663687883513	0.2044798625962567	0.010205131308357701	1.0438150743891046	0.05209446915961973	0.39920057810915754	-3.3728903265757956e-09	1.9783256165539594e-09	-1.7049217269152208
baseline.no_all_genes	Adrenal_Gland	L2_0	0.16033828320969126	0.18036495783824347	0.012549902582138792	1.1249026385193437	0.07827140425175916	0.11266231349250341	-1.5382658956496709e-09	2.843746594822775e-09	-0.5409293143243437
baseline.no_all_genes	Artery_Aorta	L2_0	0.19223694586908352	0.20549061948909642	0.008889138643177679	1.0689444662163894	0.04624053197990009	0.13284720722765417	-4.227027729238199e-09	1.5214562632175815e-09	-2.7782775170275777
baseline.no_all_genes	Brain_Caudate_(basal_ganglia)	L2_0	0.22539358537492457	0.29781873468562503	0.010477987334624309	1.3213274645337705	0.04648751346314935	1.4881779975349064e-10	7.082402959544899e-09	1.918714397846084e-09	3.691223127056055
baseline.no_all_genes	Brain_Amygdala	L2_0	0.2346412836832569	0.29086959925986794	0.010907876816714108	1.2396352197446798	0.04648745798475382	2.067727691660651e-07	3.89028351415687e-09	1.6080163193649833e-09	2.419305990434954
baseline.no_all_genes	Bladder	L2_0	0.1878433371765457	0.19620757703477287	0.009701634823767399	1.0445277430860695	0.05164747906202954	0.38598877136296517	-3.4740310436110205e-09	1.691652317690803e-09	-2.0536318292362
baseline.no_all_genes	Brain_Anterior_cingulate_cortex_(BA24)	L2_0	0.23430359767286865	0.3064716775576062	0.010522247810243369	1.308010976363656	0.04490860539382063	2.329317180075702e-10	6.6632924349651565e-09	1.912028680010881e-09	3.4849333091213026
baseline.no_all_genes	Artery_Tibial	L2_0	0.20418864854971994	0.24583353869820834	0.011827758229481806	1.2039530132760925	0.0579256403991613	0.0005088171324918065	1.0166797374651333e-09	2.1244779205100436e-09	0.4785550970664121
baseline.no_all_genes	Brain_Cerebellar_Hemisphere	L2_0	0.1992875882022271	0.2610173277676394	0.010617609913281562	1.309752052911454	0.05327782833373115	1.1251536056047521e-08	6.304873103923082e-09	1.7344676407553953e-09	3.635047985776883
baseline.no_all_genes	Brain_Frontal_Cortex_(BA9)	L2_0	0.23468959643586088	0.3124094180935146	0.010586014040579704	1.3311600634964407	0.045106447841512194	2.840688584098616e-11	8.038869725043283e-09	1.910431089477045e-09	4.207882592218397
baseline.no_all_genes	Brain_Cerebellum	L2_0	0.19580504395202342	0.25554525314075155	0.010741743503658058	1.305100461065578	0.054859380978408416	3.916202160977419e-08	6.054278222764333e-09	1.75373744678663e-09	3.4522147165515435
