Model	Annotation	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
no_baseline.all_genes	Adipose_Visceral_(Omentum)	L2_0	0.18616966935456677	0.1696645739479143	0.016568955149139503	0.9113438001803723	0.08899921886622325	0.3158033394838289	-6.319755323706772e-09	2.0386259416925374e-09	-3.100007311032201
no_baseline.all_genes	Artery_Aorta	L2_0	0.19223694586908352	0.21575904009961827	0.016868025997334727	1.122359903941429	0.08774601532018786	0.165826445281113	-1.4447411162975608e-09	2.071220833019021e-09	-0.6975311822215015
no_baseline.all_genes	Artery_Coronary	L2_0	0.19105680623516333	0.22070337005812238	0.016465000502760486	1.1551714613425936	0.08617856033087065	0.07325849372961286	-6.644611435640962e-10	2.0269640586070197e-09	-0.32781101408415225
no_baseline.all_genes	Adrenal_Gland	L2_0	0.16033828320969126	0.19755451615295785	0.019539447514640013	1.2321107111680558	0.12186389378440718	0.06038270644999818	1.0966921195188177e-09	2.733019220109216e-09	0.4012749385183585
no_baseline.all_genes	Adipose_Subcutaneous	L2_0	0.19589663687883513	0.20616982264884678	0.01734805503786733	1.0524418690064892	0.08855718665858132	0.5548993261993622	-3.1011316665300793e-09	2.0771694725943185e-09	-1.4929603517891414
no_baseline.all_genes	Bladder	L2_0	0.1878433371765457	0.20798536886308888	0.01752662864932129	1.1072278207430513	0.09330449997728044	0.250445841917497	-1.7795262833206377e-09	2.176925052901855e-09	-0.81744949416082
no_baseline.all_genes	Brain_Caudate_(basal_ganglia)	L2_0	0.22539358537492457	0.34074053119982506	0.016559076285547925	1.51175789068278	0.07346738044032264	3.182742921559355e-10	8.216768259831018e-09	1.8687345602065533e-09	4.396969176255193
no_baseline.all_genes	Brain_Anterior_cingulate_cortex_(BA24)	L2_0	0.23430359767286865	0.35062568043311537	0.017047637307420486	1.4964587992483749	0.07275875179356893	5.274976587625709e-10	7.961011845228371e-09	1.8720421458937236e-09	4.25258152584366
no_baseline.all_genes	Artery_Tibial	L2_0	0.20418864854971994	0.2802727215715768	0.01914438140957432	1.372616565917132	0.09375830412488706	0.00012090698899448025	4.560622916371476e-09	2.2562753588728527e-09	2.0213059981516555
no_baseline.all_genes	Brain_Amygdala	L2_0	0.2346412836832569	0.3344301396739883	0.017978567028608682	1.425282603403401	0.07662149962015215	6.774401597498551e-08	6.146206688023909e-09	1.9085521484205634e-09	3.2203504070403572
no_baseline.all_genes	Brain_Cerebellar_Hemisphere	L2_0	0.1992875882022271	0.292176093615564	0.019164815828444592	1.466102812780685	0.09616663035229817	2.576489357793617e-06	6.711250891142972e-09	2.261687733281513e-09	2.967364058435038
no_baseline.all_genes	Brain_Cerebellum	L2_0	0.19580504395202342	0.28106043435893563	0.01888280476880658	1.4354095721242077	0.09643676377117888	9.398005002307485e-06	5.9453170072574384e-09	2.2438791711847523e-09	2.649570923250004
no_baseline.all_genes	Brain_Frontal_Cortex_(BA9)	L2_0	0.23468959643586088	0.3581157234731569	0.017204361897411116	1.5259122215544292	0.07330687920848232	1.8152605974523612e-10	8.659249621462738e-09	1.9025434959935985e-09	4.551406913795927
no_baseline.all_genes	Brain_Hippocampus	L2_0	0.23564863812557257	0.3377170666519427	0.018691500214977327	1.4331382066888068	0.07931936447269851	1.3003123594619447e-07	6.31411331074197e-09	1.9756611909049272e-09	3.19594945722949
no_baseline.all_genes	Brain_Cortex	L2_0	0.22672352809243973	0.3276042516416324	0.018793924730919523	1.4449503957439371	0.08289357919331981	1.6243114493151834e-07	6.534607017070948e-09	2.030876086693847e-09	3.217629603246215
no_baseline.all_genes	Brain_Putamen_(basal_ganglia)	L2_0	0.22555596990451018	0.3440811485596631	0.015976178531378213	1.5254801223187793	0.07083021805249393	3.0318084081366064e-11	8.554099091185347e-09	1.8004575426918616e-09	4.751069596673813
no_baseline.all_genes	Brain_Hypothalamus	L2_0	0.2325036121331439	0.34014125381323645	0.016991636604295788	1.4629504062003713	0.07308117258223702	4.4168943761104864e-09	7.095923308445587e-09	1.8635944599156985e-09	3.807654219344791
no_baseline.all_genes	Brain_Nucleus_accumbens_(basal_ganglia)	L2_0	0.2259516983190685	0.34183074592872315	0.016333265442893936	1.512848756932204	0.0722865354162091	2.768589646168266e-10	8.231187351608326e-09	1.8535270875785249e-09	4.440823879386446
no_baseline.all_genes	Brain_Substantia_nigra	L2_0	0.2296353779525089	0.31315716925925063	0.017926385586720734	1.3637148250040765	0.07806456368594958	5.166273871487032e-06	4.533977207388991e-09	1.9361151584860296e-09	2.3417910796868058
no_baseline.all_genes	Brain_Spinal_cord_(cervical_c-1)	L2_0	0.22386200401633308	0.29003768781290784	0.017556554566651096	1.2956092709316878	0.07842579022642074	0.00019131815841237819	2.7879886347986446e-09	1.9256894383843523e-09	1.4477872595789687
no_baseline.all_genes	Cells_EBV-transformed_lymphocytes	L2_0	0.1639595588710182	0.17920192511330968	0.017407890977476883	1.0929641818217024	0.10617185784923415	0.3831091486976498	-2.030892271383284e-09	2.3727590729601185e-09	-0.8559201372475036
no_baseline.all_genes	Cells_Transformed_fibroblasts	L2_0	0.17993782752649276	0.1948831566947625	0.018589271309385768	1.0830582950439884	0.10330941283954768	0.4222069434728154	-2.32090252307237e-09	2.378001666524687e-09	-0.9759886024235784
no_baseline.all_genes	Cervix_Ectocervix	L2_0	0.17030144641335687	0.17762846870095111	0.016767671504395742	1.043023840618535	0.0984587732960126	0.6615638954627595	-3.2002403037675167e-09	2.242568339890307e-09	-1.4270424882231476
no_baseline.all_genes	Breast_Mammary_Tissue	L2_0	0.1879322460615461	0.1991253966105796	0.017645573648901212	1.0595594996793039	0.0938932728081292	0.5274250256399026	-2.895279718490901e-09	2.170109035122256e-09	-1.3341632478516414
no_baseline.all_genes	Cervix_Endocervix	L2_0	0.1697624572671187	0.20179337950446835	0.01992508914936643	1.1886808352859164	0.11737040963076187	0.11103007033035668	1.2205165558707755e-10	2.6608062704422684e-09	0.045870177375518066
no_baseline.all_genes	Esophagus_Muscularis	L2_0	0.18017754601076738	0.24178747917619314	0.017940110037068514	1.3419401281097698	0.09956906636965972	0.0008788348415340264	3.6331038237876748e-09	2.283487588122806e-09	1.591032875626161
no_baseline.all_genes	Colon_Transverse	L2_0	0.15940658519593254	0.1845125549624466	0.01846183977318386	1.157496440536979	0.1158160420442589	0.17765717617333732	-5.721662473487325e-10	2.553545113233332e-09	-0.22406741294037613
no_baseline.all_genes	Colon_Sigmoid	L2_0	0.17834686174282552	0.21765743962829534	0.017977063254062235	1.2204164261783048	0.10079831558788507	0.03219401087519556	8.502994153212634e-10	2.305405869843003e-09	0.3688285114755817
no_baseline.all_genes	Esophagus_Mucosa	L2_0	0.1602169980703417	0.17182538421175153	0.01590081396178927	1.0724541483189773	0.09924548676669234	0.4684222192417694	-2.4852080833552436e-09	2.202898190071497e-09	-1.1281538541164193
no_baseline.all_genes	Esophagus_Gastroesophageal_Junction	L2_0	0.178522834234081	0.23326627627708885	0.018930892160055345	1.3066467226888616	0.1060418530843677	0.004970971872528395	2.8152756535644256e-09	2.4255529959662747e-09	1.1606737342974012
no_baseline.all_genes	Liver	L2_0	0.16074541880194773	0.18047354959446854	0.017557700493526174	1.1227290391200981	0.10922675510372573	0.2660202079059199	-1.3606201107381033e-09	2.4342782077649357e-09	-0.5589419099254782
no_baseline.all_genes	Heart_Atrial_Appendage	L2_0	0.1964800804675735	0.20389023488763106	0.016830393325733366	1.0377145327018558	0.08565954006981896	0.6591049199080705	-3.4685750845011604e-09	2.0421510003052366e-09	-1.6984909950256954
no_baseline.all_genes	Fallopian_Tube	L2_0	0.16252980334864411	0.19637438832778634	0.01799232771723208	1.2082361774999624	0.1107017134490502	0.06397322715905672	5.578456954535128e-10	2.4701146340136313e-09	0.22583797843709075
no_baseline.all_genes	Kidney_Cortex	L2_0	0.1667157343060301	0.1746349564839208	0.019040491700217956	1.0475013483931508	0.11420932630909608	0.6781443376293124	-3.0412295885268735e-09	2.5176337436822138e-09	-1.2079714121081269
no_baseline.all_genes	Heart_Left_Ventricle	L2_0	0.18812063224617898	0.23126453744360678	0.017829111307754778	1.2293416978365705	0.0947748851089507	0.015823066840554782	1.0739227616231877e-09	2.1985476929342647e-09	0.48846916765762305
no_baseline.all_genes	Lung	L2_0	0.17971320677740688	0.16053425325407583	0.016049646467751748	0.8932802220424115	0.08930699504812059	0.23187674226127	-6.664050044467421e-09	2.06161261290776e-09	-3.2324453210771957
no_baseline.all_genes	Nerve_Tibial	L2_0	0.18915130430173058	0.23275734674210205	0.01802399602795264	1.230535245851712	0.09528877474300206	0.01722390319949645	1.1069484284115008e-09	2.2266032654922553e-09	0.4971466832762314
