Model	Annotation	Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
no_baseline.no_all_genes	Adrenal_Gland	L2_0	0.16033828320969126	1.0	8.183576317655064e-16	6.236813691538624	5.103944082370234e-15	6.545446259603702e-09	2.584238359189566e-08	4.262131947226528e-09	6.063252830244244
no_baseline.no_all_genes	Adipose_Subcutaneous	L2_0	0.19589663687883513	1.0	1.0065983802537215e-15	5.10473286286438	5.138415831387228e-15	1.7492835678379904e-14	2.0407695912537034e-08	2.4649635191916474e-09	8.279106669793423
no_baseline.no_all_genes	Adipose_Visceral_(Omentum)	L2_0	0.18616966935456677	1.0	1.1307514478413094e-15	5.37144425011286	6.073768362813993e-15	1.3272915562312498e-10	1.8244002576369586e-08	2.6911332288781182e-09	6.779301143695201
no_baseline.no_all_genes	Artery_Coronary	L2_0	0.19105680623516333	1.0	9.008101332494316e-16	5.234045411442419	4.714881144515021e-15	3.9463137370822344e-17	2.1663991190677494e-08	2.3470137646503287e-09	9.230449142212473
no_baseline.no_all_genes	Artery_Aorta	L2_0	0.19223694586908352	1.0	9.117222181643058e-16	5.20191368771025	4.742700286058454e-15	1.8862707174191168e-16	2.0749126694905588e-08	2.307955021046339e-09	8.990264760661898
no_baseline.no_all_genes	Artery_Tibial	L2_0	0.20418864854971994	1.0	0.0	4.897431894978726	0.0	1.6814318812430357e-14	2.6565151692602766e-08	3.206248003298128e-09	8.285432588270261
no_baseline.no_all_genes	Bladder	L2_0	0.1878433371765457	1.0	9.441479229855687e-16	5.323585148299106	5.0262518606034214e-15	9.603614134770668e-16	2.1523314843027257e-08	2.4632926576379758e-09	8.737619858643075
no_baseline.no_all_genes	Brain_Amygdala	L2_0	0.2346412836832569	1.0	0.0	4.261824621407644	0.0	1.8708534120082594e-28	2.618536646641486e-08	2.0119325790805966e-09	13.015031785200737
no_baseline.no_all_genes	Brain_Caudate_(basal_ganglia)	L2_0	0.22539358537492457	1.0	0.0	4.436683494503973	0.0	4.782125761483759e-28	2.7525942542160735e-08	2.1366816809794734e-09	12.882565890461795
no_baseline.no_all_genes	Brain_Anterior_cingulate_cortex_(BA24)	L2_0	0.23430359767286865	1.0	0.0	4.2679669024808815	0.0	2.591747209727035e-27	2.7098447597010956e-08	2.1432318446269793e-09	12.643731318637313
no_baseline.no_all_genes	Brain_Hippocampus	L2_0	0.23564863812557257	1.0	0.0	4.243606107611449	0.0	1.6635459060884616e-26	2.6362516965214148e-08	2.1293639115303317e-09	12.38046574494067
no_baseline.no_all_genes	Brain_Cerebellum	L2_0	0.19580504395202342	1.0	2.449024572104332e-16	5.107120735076784	1.2507464172906585e-15	1.4144405863849492e-19	2.6331638059656703e-08	2.6130293395129424e-09	10.077054115498301
no_baseline.no_all_genes	Brain_Cortex	L2_0	0.22672352809243973	1.0	0.0	4.410658251543615	0.0	4.040557803249333e-26	2.6449363374586746e-08	2.158325562706597e-09	12.254575413274793
no_baseline.no_all_genes	Brain_Cerebellar_Hemisphere	L2_0	0.1992875882022271	1.0	0.0	5.017873963055089	0.0	1.6225123918634435e-21	2.7448138326560347e-08	2.5573306333799746e-09	10.733120687755056
no_baseline.no_all_genes	Brain_Frontal_Cortex_(BA9)	L2_0	0.23468959643586088	1.0	0.0	4.260947290321382	0.0	2.73092449565417e-28	2.803920116536102e-08	2.1632422509046266e-09	12.961655659987022
no_baseline.no_all_genes	Brain_Putamen_(basal_ganglia)	L2_0	0.22555596990451018	1.0	0.0	4.433489392558987	0.0	3.53380135474961e-30	2.7885820542301206e-08	2.054298675043121e-09	13.574374983090452
no_baseline.no_all_genes	Brain_Spinal_cord_(cervical_c-1)	L2_0	0.22386200401633308	1.0	0.0	4.467037648457036	0.0	3.128566769256139e-25	2.4312907954866208e-08	2.0322475499664487e-09	11.963556287848693
