annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
MEINH2,0.0015128701909394705,0.0014416514227647559,2.2003211887426444,21.242577339006285,2.0412207268333894e-6,2,-30953.152139128684,61912.30427825737,61934.94942666867,67876.6149374904,14020,0.484677914260204,0.1051597696820135,4.082441453666779e-6,TRUE
DEINH3,0.0014107879143489838,0.0013395618649848506,2.200433662929245,19.807190303870666,4.316022575176641e-6,2,-30953.86888573149,61913.73777146298,61936.382919874275,67883.55443543005,14020,0.474618944840985,0.10664331395407234,8.632045150353282e-6,TRUE
SCINH2,0.0012538158251568718,0.0011825785794952193,2.2006066034598124,17.600565736551545,1.3709204134052681e-5,2,-30954.970885247098,61915.941770494195,61938.586918905494,67894.22531313688,14020,0.6561788183544904,0.1564079750107625,2.7418408268105362e-5,TRUE
MEINH3,0.001196097258133168,0.0011248558955980759,2.200670190198218,16.789365272795603,2.1000821385669108e-05,2,-30955.376046425445,61916.75209285089,61939.39724126219,67898.1489900994,14020,0.44998511773197514,0.10981989187285889,4.2001642771338217e-05,TRUE
SCINH7,0.0011033739841463535,0.0010321260079683148,2.2007723366800613,15.486390538160014,4.175121463767302e-5,2,-30956.026877583605,61918.05375516721,61940.69890357851,67904.45226810496,14020,0.5641503273488181,0.14335727624199882,8.350242927534604e-5,TRUE
MEGLU2,0.0010998651812202582,0.0010286169547709667,2.2007762019797488,15.437088556911181,4.285340506779193e-5,2,-30956.051504930885,61918.10300986177,61940.74815827307,67904.69079462973,14020,0.4356781107921124,0.11088761509203794,8.570681013558386e-5,TRUE
TEGLU4,0.0010866853448239615,0.0010154361783006882,2.2007907208358377,15.251902553417422,4.72614991170907e-5,2,-30956.144009897253,61918.288019794505,61940.933168205804,67905.58675277811,14020,0.346425251216417,0.08870488345977409,9.45229982341814e-5,TRUE
MEGLU1,0.0010442743360274925,9.730221444679277e-4,2.2008374399868185,14.65603110825982,6.479106284031221e-5,2,-30956.44167063148,61918.88334126296,61941.52848967426,67908.4698302132,14020,0.41004703137079246,0.10710888121597892,1.2958212568062443e-4,TRUE
HBGLU3,0.0010383837081523366,9.671310964338709e-4,2.200843928910665,14.57327223676088,6.769658132150345e-5,2,-30956.483012874396,61918.96602574879,61941.61117416009,67908.87027190953,14020,0.45011929589064,0.11790957987361696,1.353931626430069e-4,TRUE
MEINH13,0.0010208349130381876,9.495810496225054e-4,2.2008632599785156,14.326730707691498,7.715370648407149e-5,2,-30956.606174285072,61919.212348570145,61941.85749698144,67910.0632295081,14020,0.48994214283984083,0.12944081789368983,1.5430741296814298e-4,TRUE
TEINH11,9.797352419390175e-4,9.084784470204665e-4,2.200908533107794,13.749358823378353,1.0484871804716626e-4,2,-30956.89461259974,61919.78922519948,61942.43437361078,67912.85716291594,14020,0.35599823877823705,0.09600782394639039,2.0969743609433253e-4,TRUE
DEGLU5,8.952582016245327e-4,8.239953812394507e-4,2.2010015854287173,12.562766906884434,1.9739478074265023e-4,2,-30957.48743690057,61920.97487380114,61943.62002221244,67918.59986641737,14020,0.4023869439443397,0.11352754070117618,3.9478956148530046e-4,FALSE
MEGLU10,8.864542781614491e-4,8.151908298218435e-4,2.201011282813787,12.43911568714093,2.1088912759858702e-4,2,-30957.549216244486,61921.09843248897,61943.74358090027,67919.19835237176,14020,0.3971506128497285,0.11260572824514037,4.2177825519717403e-4,FALSE
CBGRC,8.767637548266514e-4,8.054996152941918e-4,2.201021956725461,12.30301468001619,2.268214567982462e-4,2,-30957.617216453178,61921.234432906356,61943.879581317655,67919.85710890582,14020,0.46370579662301564,0.13220161292444696,4.536429135964924e-4,FALSE
SCINH8,8.285455646558059e-4,7.572779858801004e-4,2.2010750672983095,11.625841355765111,3.2612514506247286e-4,2,-30957.955562677023,61921.91112535405,61944.556273765345,67923.13495538927,14020,0.4701372480925043,0.1378835526443126,6.522502901249457e-4,FALSE
TEINH12,7.644469237573983e-4,6.931747730386517e-4,2.201145667622732,10.725745133951378,5.295570225203071e-4,2,-30958.40531647572,61922.81063295144,61945.45578136274,67927.4923463224,14020,0.35007653080733697,0.10689299855932523,0.0010591140450406141,FALSE
SCINH10,7.527995312572236e-4,6.815265497686074e-4,2.201158496195911,10.562200647923078,5.784792142716425e-4,2,-30958.487038340645,61922.97407668129,61945.61922509259,67928.28412976372,14020,0.5330971809870864,0.16403222627936564,0.001156958428543285,FALSE
SCINH3,7.098322244740761e-4,6.385561782703553e-4,2.20120582023928,9.958916947296597,8.020540815828437e-4,2,-30958.78850259415,61923.5770051883,61946.2221535996,67931.20502403502,14020,0.47463577632182474,0.15040227842241027,0.0016041081631656875,FALSE
HBINH8,7.056960881780837e-4,6.344197469574375e-4,2.201210375711834,9.900846144650666,8.277426561781756e-4,2,-30958.81752158432,61923.63504316864,61946.280191579935,67931.48619634291,14020,0.4619683662793334,0.14681691086269696,0.0016554853123563512,FALSE
TEINH9,6.970517383267354e-4,6.257747805333835e-4,2.201219896426282,9.77948217639182,8.841552067299855e-4,2,-30958.878169658103,61923.756339316205,61946.401487727504,67932.07383456951,14020,0.37918413259989286,0.1212529255013752,0.001768310413459971,FALSE
TEGLU10,6.737050974544054e-4,6.024264744228791e-4,2.2012456097449182,9.451713133628564,0.0010567869185093496,2,-30959.041965219207,61924.08393043841,61946.72907884971,67933.6609265863,14020,0.2790471685965632,0.0907658239076664,0.0021135738370186992,FALSE
SCGLU3,6.714284028658036e-4,6.001496174451448e-4,2.2012481172147704,9.419750896478382,0.0010753533038262576,2,-30959.05793786765,61924.1158757353,61946.761024146595,67933.81569505282,14020,0.43427358267202226,0.141495850031507,0.002150706607652515,FALSE
TEGLU24,6.626346419718808e-4,5.913552293215218e-4,2.201257802321139,9.29629772936333,0.0011502275155700833,2,-30959.119632077258,61924.239264154516,61946.884412565814,67934.41349016127,14020,0.2682403746523884,0.08797699723237051,0.0023004550311401667,FALSE
TEGLU8,6.307911763293087e-4,5.595094923903643e-4,2.2012928731196726,8.849274336305166,0.001468525009836051,2,-30959.34303108992,61924.68606217984,61947.33121059114,67936.57819172944,14020,0.25565506065514504,0.0859410320038877,0.002937050019672102,FALSE
SCINH6,6.180132272308245e-4,5.467306318832632e-4,2.20130694595588,8.669903560855584,0.0016201965921408077,2,-30959.432673263822,61924.865346527644,61947.51049493894,67937.44682979673,14020,0.3793624286121196,0.12883895201875167,0.0032403931842816154,FALSE
SCGLU2,5.491988861595386e-4,4.7791138251374043e-4,2.201382732232519,7.703999411852695,0.00275858135887007,2,-30959.915412338712,61925.830824677425,61948.47597308872,67942.12479147657,14020,0.44064783587330597,0.1587572330481182,0.00551716271774014,FALSE
TEGLU11,5.397781949122489e-4,4.684900193198116e-4,2.2013931071795123,7.5717773729924,0.0029682725881440314,2,-30959.981496787266,61925.96299357453,61948.60814198583,67942.76520497129,14020,0.2441437211404253,0.0887251294179064,0.005936545176288063,FALSE
