annotation,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,estimate,std.error,p.value.orig,fdr_significant
Brain_Non-Myeloid.neuron,0.0029977823215999217,0.0029225709291981206,2.208603551400474,39.858088327690076,1.4090431035030457e-10,2,-29316.401692975018,58638.803385950036,58661.28045521844,64661.83540406247,13256,0.5018882125407338,0.07949663818047681,2.8180862070060914e-10,TRUE
Brain_Non-Myeloid.oligodendrocyte precursor cell,8.249460954586286e-4,7.495707896419956e-4,2.2110089231756866,10.944514075552902,4.706560249526658e-4,2,-29330.83301351633,58667.66602703266,58690.143096301064,64802.757436053435,13256,0.2852819575911486,0.0862335100289989,9.413120499053316e-4,FALSE
Brain_Non-Myeloid.oligodendrocyte,6.416582217014552e-4,5.662690890989586e-4,2.2112117067318677,8.511282721409907,0.0017677183886496651,2,-29332.048920462068,58670.097840924136,58692.57491019254,64814.64480211371,13256,0.2714021164039735,0.0930284364151408,0.0035354367772993302,FALSE
Pancreas.type B pancreatic cell,5.926377023015953e-4,5.172448717117861e-4,2.211265938238537,7.860663907506657,0.002529763569289956,2,-29332.374078155633,58670.74815631127,58693.22522557967,64817.82408968263,13256,0.24828451940312687,0.08855641526015531,0.005059527138579912,FALSE
Pancreas.pancreatic A cell,3.829058225434824e-4,3.074971702972107e-4,2.211497950053992,5.07774388133395,0.012125579296321907,2,-29333.765069277844,58673.53013855569,58696.00720782409,64831.42651508092,13256,0.2113794749638081,0.09380530915233866,0.024251158592643814,FALSE
Brain_Non-Myeloid.astrocyte,3.66104692302772e-4,2.9069477262055887e-4,2.211516534924729,4.85486118862718,0.013792733568495157,2,-29333.87648569625,58673.7529713925,58696.23004066091,64832.51617355807,13256,0.202509414588647,0.09190873945723484,0.027585467136990314,FALSE
Brain_Non-Myeloid.brain pericyte,2.513186055856818e-4,1.7590002672374094e-4,2.2116435034294213,3.3323169088827074,0.0339768031477201,2,-29334.637637642405,58675.27527528481,58697.75234455321,64839.960769883306,13256,0.21107006715205284,0.1156254670201504,0.0679536062954402,FALSE
Pancreas.pancreatic PP cell,2.1561313249468615e-4,1.4019186009983642e-4,2.2116829968911325,2.8587840757392557,0.04544983891883415,2,-29334.874384495855,58675.74876899171,58698.225838260114,64842.276493342186,13256,0.1911503235934792,0.11305359066637811,0.0908996778376683,FALSE
Heart.smooth muscle cell,1.384751006708861e-4,6.304800917278364e-5,2.211768316078462,1.8358801581829902,0.08772883796190509,2,-29335.385823056262,58676.771646112524,58699.24871538093,64847.2793776174,13256,0.17677111297838638,0.1304635321194345,0.17545767592381017,FALSE
Pancreas.pancreatic acinar cell,1.1664903140690284e-4,4.122029340392075e-5,2.2117924563938045,1.546479955718829,0.10683891980015811,2,-29335.53052652809,58677.06105305618,58699.538122324586,64848.694934848114,13256,0.15804832232487528,0.1270918619932872,0.21367783960031622,FALSE
