annotation,DET,GES,NSI,EP,ESmu,N_cells_es
Adcyap1_1_Tac1,1482,867,249,148,1722,14
Adcyap1_2,1812,1360,293,189,2171,20
Avp_1_high,1072,658,419,297,1356,9
Avp_2_high,913,982,236,311,1348,8
Avp_3_medium,993,684,265,176,1212,8
Dopamine_1,1666,1218,141,113,2034,17
Dopamine_2_low_VMAT2,955,579,248,133,1178,7
Dopamine_3,1688,2068,182,262,2464,12
Dopamine_4,1038,933,123,130,1472,5
GABA1,1630,1298,256,229,1982,14
GABA_10,1844,1109,326,185,2150,20
GABA_11_Nts_1,2280,2124,171,137,2733,25
GABA_12_Nts_2,2212,1874,214,124,2581,26
GABA_13_Galanin,1905,1274,216,97,2165,23
GABA_14_Npy_Agrp,1174,734,283,255,1491,13
GABA_15_Npynegmedium,912,842,215,369,1287,7
GABA_2_Gucy1a3,1585,1048,272,167,1958,19
GABA_3_Crhpos_neg_Lhx6,2011,1347,222,126,2285,20
GABA_4_Crhpos_neg_Pgr15l,1619,905,373,226,1868,24
GABA_5_Calcr_Lhx1,1771,1036,487,298,2124,32
GABA_6_Otof_Lhx1,1186,629,368,218,1392,24
GABA_7_Pomcpos_neg,1456,963,473,283,1780,27
GABA_8,1532,1457,376,311,1959,15
GABA_9,1995,1387,213,126,2240,22
Gadneglow_Gnrhneg_pos,827,481,418,334,1095,9
Hcrt,1226,811,380,246,1515,14
Hmitpos_neg,1338,966,432,310,1676,24
Npvf,634,474,274,214,884,6
Oxytocin_1,1105,897,241,198,1507,9
Oxytocin_2,730,652,102,79,1029,7
Oxytocin_3,952,898,356,402,1439,11
Oxytocin_4,1110,724,309,199,1379,10
Pmch,254,387,103,80,515,4
Sst_1_low,1427,846,289,174,1703,17
Sst_2_high,1054,704,326,228,1325,9
Sst_3_medium,1149,960,327,277,1554,12
Trh_1_low,1520,837,561,329,1847,26
Trh_2_medium,1481,1023,419,308,1775,20
Trh_3_high,1002,668,286,227,1285,9
Vglut2_11,2021,1958,202,331,2613,12
Vglut2_12_Mgat4b,990,1200,103,235,1479,4
Vglut2_13Ninl_Rfx5_Zfp346,1159,1388,81,190,1647,5
Vglut2_14_Col9a2,844,496,326,295,1049,5
Vglut2_15_Hcn1_6430411K18Rik,1033,962,226,324,1362,4
Vglut2_2_Crhpos_neg,966,505,302,158,1277,15
Vglut2_3_Crhnegpos_neg_low,1607,699,463,220,1931,40
Vglut2_4,933,884,240,238,1319,4
Vglut2_6_Prmt8_Ugdh,1160,735,164,131,1345,11
Vglut2_7_Pgam_Snx12,837,437,478,350,1079,6
Vglut2_8,794,428,493,322,1023,9
Vglut2_9_Gpr149,769,408,380,264,968,6
astrocytes,713,602,1669,1578,1922,267
circadian_1_Vip_Grppos_neg,596,254,497,303,804,6
circadian_2_Nms_VIPpos_neg,746,340,541,300,983,12
circadian_3_Per2,631,178,468,178,880,13
endothelial,1294,1202,1686,1813,2156,240
ependymal,1615,1614,1783,1884,2529,356
microglia,506,440,1348,1282,1424,48
oligos,1316,1236,1652,1297,2117,1001
vsm,660,557,1607,1684,1815,71
