annotation,Bdnf,Cep19,Ksr2,Lepr,Mc4r,Ntrk2,Pcsk1,Pomc,Sh2b1,Sim1,Wnt10b,Zbtb7b,Ache,Prkag1,Rab21,Hip1r,Zfhx3,Gipr,Entpd6,Zfr2
n01.Hdc,0.02,0.52,0.22,0,0,0.44,0.52,0.36,0.2,0,0,0,0.66,0.34,0.26,0.16,0.58,0,0.14,0.2
n02.Gm8773-Tac1,0.0963855421686747,0.409638554216867,0.204819277108434,0.0240963855421687,0.0120481927710843,0.759036144578313,0.518072289156627,0.204819277108434,0.240963855421687,0,0,0,0.542168674698795,0.337349397590361,0.132530120481928,0.156626506024096,0.626506024096386,0,0.27710843373494,0.216867469879518
n03,0,0.533333333333333,0.233333333333333,0,0.0333333333333333,0.8,0.133333333333333,0.2,0.233333333333333,0,0,0,0.6,0.2,0.233333333333333,0.0666666666666667,0,0,0.333333333333333,0.166666666666667
n04.Sst-Nts,0.0285714285714286,0.728571428571429,0.357142857142857,0.0285714285714286,0.0142857142857143,0.785714285714286,0.214285714285714,0.214285714285714,0.271428571428571,0.0142857142857143,0,0.0142857142857143,0.671428571428571,0.428571428571429,0.171428571428571,0.128571428571429,0.671428571428571,0,0.685714285714286,0.314285714285714
n05.Nfix-Htr2c,0.0285714285714286,0.6,0.171428571428571,0,0,0.742857142857143,0.0857142857142857,0.342857142857143,0.371428571428571,0,0,0,0.657142857142857,0.342857142857143,0.171428571428571,0.0285714285714286,0,0,0.571428571428571,0.257142857142857
n06.Oxt,0,0.666666666666667,0.194444444444444,0,0,0.611111111111111,0.944444444444444,0.472222222222222,0.222222222222222,0.611111111111111,0,0,0.75,0.361111111111111,0.222222222222222,0.194444444444444,0.0277777777777778,0,0.5,0.0555555555555556
n07,0.017921146953405,0.347670250896057,0.161290322580645,0.00716845878136201,0.003584229390681,0.591397849462366,0.0860215053763441,0.204301075268817,0.118279569892473,0,0,0.00716845878136201,0.365591397849462,0.240143369175627,0.14336917562724,0.0896057347670251,0.326164874551971,0,0.258064516129032,0.0931899641577061
n08,0.00696864111498258,0.35191637630662,0.170731707317073,0,0.00348432055749129,0.686411149825784,0.0557491289198606,0.174216027874564,0.132404181184669,0,0,0.00348432055749129,0.397212543554007,0.212543554006969,0.121951219512195,0.0592334494773519,0.0905923344947735,0.00348432055749129,0.24390243902439,0.128919860627178
n09.Th-Slc6a3,0,0.351485148514851,0.113861386138614,0,0,0.514851485148515,0.0346534653465347,0.173267326732673,0.103960396039604,0,0,0.00495049504950495,0.440594059405941,0.247524752475248,0.113861386138614,0.0643564356435644,0.099009900990099,0,0.346534653465347,0.118811881188119
n10.Ghrh,0.00992063492063492,0.33531746031746,0.18452380952381,0.00992063492063492,0,0.638888888888889,0.331349206349206,0.218253968253968,0.146825396825397,0,0,0.00793650793650794,0.242063492063492,0.218253968253968,0.154761904761905,0.0773809523809524,0.16468253968254,0,0.26984126984127,0.142857142857143
n11.Th-Cxcl12,0.00305810397553517,0.388379204892966,0.180428134556575,0.152905198776758,0.00305810397553517,0.651376146788991,0.17737003058104,0.192660550458716,0.146788990825688,0.00305810397553517,0,0,0.385321100917431,0.214067278287462,0.146788990825688,0.091743119266055,0.168195718654434,0.018348623853211,0.2782874617737,0.0948012232415902
n12.Agrp-Sst,0.00185528756957328,0.369202226345084,0.196660482374768,0.0556586270871985,0,0.688311688311688,0.298701298701299,0.274582560296846,0.144712430426716,0,0,0.00185528756957328,0.504638218923933,0.25417439703154,0.172541743970315,0.0964749536178108,0.411873840445269,0,0.402597402597403,0.120593692022263
n13.Agrp-Gm8773,0.00515168860904408,0.408128219805381,0.172295363480252,0.124785346307957,0.00171722953634803,0.635374928448769,0.356038923869491,0.277618775042931,0.159702346880366,0.00114481969089868,0.000572409845449342,0.0125930165998855,0.468231253577562,0.245563823697768,0.141957641671437,0.102461362335432,0.550085861476817,0.00171722953634803,0.284487693188323,0.159129937034917
n14.Pomc-Ttr,0.029296875,0.392578125,0.205078125,0.021484375,0.00390625,0.642578125,0.47265625,0.96484375,0.1640625,0,0,0.00390625,0.48046875,0.236328125,0.15234375,0.1171875,0.314453125,0.001953125,0.35546875,0.123046875
