annotation,p.value.enrichment_combined_rare_mendelian_obesity,p.value.ldsc,Region,Probable_location,Description,fdr_significant_enrichment
MBDOP1,4.90818117738915e-8,0.0501118024238,Midbrain ventral,"Ventral midbrain, periaqueductal grey","Dopaminergic neurons, periaqueductal grey",TRUE
DEGLU5,2.67241021145423e-7,2.90386097198e-5,Midbrain dorsal,Anterior pretectal nucleus,"Excitatory neurons, midbrain",TRUE
MEGLU2,6.13968664655152e-7,0.0013207131894,Midbrain dorsal,Periaqueductal grey,"Excitatory neurons, midbrain",TRUE
HYPEP1,2.21821917215996e-6,0.012287543145,Hypothalamus,Lateral hypothalamic area,"Peptidergic neurons, hypothalamus",TRUE
DEINH5,3.68028089078355e-6,0.00125793820537,Hypothalamus,"Medial preoptic nucleus, Bed nuclei of the stria terminalis anterior division","Peptidergic neurons, hypothalamus",TRUE
HBSER4,5.18045039802078e-6,0.0710082376932,Medulla,"Nucleus raphe medulla (pallidus, oscurus, magnus, B1-3)","Serotonergic neurons, hindbrain",TRUE
DEINH4,2.68487380448562e-5,0.0485475517179,Thalamus,Paraventricular nucleus of the thalamus (best fit) but do not fit with Nmu expression,"Inhibitory neurons, thalamus",TRUE
MEGLU1,2.87954824826339e-5,1.9027591752e-5,Midbrain dorsal,"Superior colliculus, red nucleus","Excitatory neurons, midbrain",TRUE
SCINH1,3.00399373821977e-5,0.154675269916,Spinal cord,"Dorsal horn, lamina 2-3,6","Inhibitory neurons, spinal cord",TRUE
MEINH4,3.57163783723899e-5,0.00743701868706,Midbrain dorsal,Anterior pretectal nucleus,"Inhibitory neurons, midbrain",TRUE
HBNOR,8.01620797402491e-5,0.00536826306964,Medulla,A1-2 noradrenergic cell groups,Noradrenergic neurons of the medulla,TRUE
MEGLU6,8.48621456999974e-5,0.00233430045247,Midbrain dorsal,"Superior colliculus, sensory related, deep layer","Excitatory neurons, midbrain",TRUE
HYPEP4,9.72404394388866e-5,0.0747646688736,Hypothalamus,Dorsomedial nucleus of the hypothalamus. magnocellular neurosecretory cells.,"Oxytocin-producing cells, hypothalamus",TRUE
MEGLU14,1.3728021525219e-4,0.0437781678836,Midbrain dorsal,Dorsal raphe nucleus,Glutamatergic projection neurons of the raphe nucleus,TRUE
TEINH1,1.65807589701732e-4,0.0012748944146,Pallidum,Medial septal nucleus and Magnocellular nucleus,"Inhibitory neurons, pallidum",TRUE
MEINH11,1.93181834798548e-4,0.0564836951268,Midbrain dorsal,Superior colliculus superficial gray layer,"Inhibitory neurons, midbrain",FALSE
MEINH9,2.0344795633235e-4,0.0184939863424,Midbrain dorsal,Dorsal midbrain scattered,"Inhibitory neurons, midbrain",FALSE
DEINH1,2.1247010193328e-4,0.0771318327862,Thalamus,Reticular nucleus of the thalamus (Sst low),"Inhibitory neurons, thalamus",FALSE
MEINH13,2.19199619190406e-4,0.00164185614918,Midbrain ventral,"Ventral/caudal midbrain (SN, VTA, reticular nucleus)","Inhibitory neurons, midbrain",FALSE
TEINH2,2.28657141008728e-4,0.0480532394637,"Striatum dorsal, Striatum ventral",Septal nucleus,"Inhibitory neurons, septal nucleus",FALSE
HBSER3,2.79239523482744e-4,0.0182854533486,Pons,"Ventral midbrain, rostral pons","Serotonergic neurons, hindbrain",FALSE
HBINH3,2.85731312471366e-4,0.00259392541598,Medulla,Paragigantocellular reticular nucleus,"Inhibitory neurons, hindbrain",FALSE
MEINH2,3.80192885796055e-4,2.51563167433e-5,"Midbrain dorsal,Midbrain ventral",Midbrain,"Inhibitory neurons, midbrain",FALSE
HYPEP3,3.82048435002563e-4,0.0270854430893,Hypothalamus,Ventromedial hypothalamic nucleus,"Peptidergic neurons, hypothalamus",FALSE
DEINH3,4.21030950318724e-4,1.10982885249e-5,Hypothalamus,Subthalamic nucleus,"Inhibitory neurons, hypothalamus",FALSE
HBGLU2,4.49179217428614e-4,0.00193506022945,Medulla,Nucleus of the solitary tract,"Excitatory neurons, hindbrain",FALSE
HYPEP5,5.43784517434301e-4,0.0314403527027,Hypothalamus,Paraventricular hypothalamic nucleus magnocellular division and/or Diagonal band nucleus,"Vasopressin-producing cells, hypothalamus",FALSE
HBGLU3,6.79241195512801e-4,9.12136076627e-4,Medulla,Nucleus of the solitary tract,"Excitatory neurons, hindbrain",FALSE
TEGLU14,0.00166891301366611,0.375125712612,Cortex,Subiculum,"Excitatory neurons, cerebral cortex",FALSE
HBCHO3,0.00187718612712346,0.0115201182291,Medulla,Afferent nuclei of cranial nerves VI-XII,Afferent nuclei of cranial nerves VI-XII,FALSE
HBADR,0.00190212655853728,0.127968481229,Medulla,"Nucleus of the solitary tract, adrenergic cell groups C1-3",Adrenergic cell groups of the medulla,FALSE
TEGLU15,0.00197122334207844,0.0232428575819,Cortex,Piriform pyramidal,"Excitatory neurons, cerebral cortex",FALSE
TEINH3,0.00200733190410727,0.0277409483066,Pallidum,Bed nuclei of the stria terminalis posterior division,"Inhibitory neurons, telencephalon",FALSE
HBCHO4,0.00203452445049206,0.00303863069336,Pons,Afferent nuclei of cranial nerves III-V,Afferent nuclei of cranial nerves III-V,FALSE
MEGLU9,0.00203614044169227,0.0094229476878,Midbrain dorsal,Mantle of inferior colliculus,"Excitatory neurons, midbrain",FALSE
EPSC,0.00205872447190916,0.986653435597,Spinal cord,Spinal cord,"Ependymal cells, spinal cord",FALSE
HBINH9,0.00221120438557666,0.00683005196766,Medulla,Paragigantocellular reticular nucleus,"Inhibitory neurons, hindbrain",FALSE
