annotation,baseline,DEGLU4,DEGLU5,DEINH3,HBGLU2,HBGLU5,HBINH8,HBSER5,MEGLU1,MEGLU10,MEGLU11,MEGLU2,MEGLU3,MEGLU7,MEINH2,MEINH3,TEGLU17,TEGLU19,TEGLU21,TEGLU23,TEGLU4,TEINH1,TEINH12
DEINH3,1.177046631275192e-6,1.387608234660797e-4,0.10746966615566013,NA,0.001572962695833588,6.910806699905557e-4,3.8360418335692325e-5,1.3180895196019413e-4,0.006451957228424266,4.2408840317691415e-4,5.981904524622403e-4,0.008221859519315493,3.4274734251407853e-4,9.305587820096263e-5,0.02588606456323912,0.002364491498741416,4.911989551396533e-5,2.2202018574987484e-5,1.3661351317283e-4,3.5446034070174436e-5,1.1103050392809576e-4,1.8922238347147418e-4,1.1245364954058733e-4
MEGLU11,2.5916895706340518e-6,3.6091160659713415e-5,0.009814472408658957,3.910823344882961e-4,9.682011191261472e-4,6.637131397292025e-5,3.306749852486592e-5,5.262652832905146e-5,5.068651975775252e-4,0.0012906206552059404,0.4766630482400554,0.006212297530338487,9.183483297578e-4,1.5271456304290725e-4,9.803403361560378e-4,2.4073020875406802e-4,6.419457387427261e-5,3.8194355503703855e-5,2.515933757738251e-4,2.8893990247178127e-05,4.365797922864272e-4,1.2724687243242892e-4,2.406055073587529e-5
MEINH2,8.114981718261436e-6,4.308202416189545e-4,0.046296961146085135,0.017662912172742483,0.00234177540651151,0.001998650390347278,1.9374587397282637e-4,4.570335822699917e-4,0.005910615617627614,7.380291612090416e-4,0.0029002763628428693,0.004043213126336327,8.213240260079893e-4,4.24348790921452e-4,NA,0.004850658536665239,1.8425149717649309e-4,4.911891779992369e-5,2.4779169843620305e-4,1.6977183292172772e-4,2.3660930545500825e-4,5.546671871591828e-4,4.2696845414199035e-4
MEGLU10,8.831455975074691e-6,2.0377083151240004e-4,0.03642847886141848,0.002227965715942466,0.0039823416717218105,4.0667256940652064e-4,7.847128727243254e-5,3.387546003052253e-4,0.0025809489578947843,0.4944378381886436,0.023134065504889226,0.05907028268067745,0.004715072290204157,3.5832806562761965e-4,0.002032611811849029,0.001063751045481674,5.458109704178465e-4,1.2288439199908494e-4,7.219289260515723e-4,1.7245464098090212e-4,4.7940942080958876e-4,5.682055538341316e-4,1.2387630229374928e-4
DEGLU5,9.143841215738517e-6,3.650014556671079e-4,0.4994353388955842,0.0014626618002772436,1.9892698655328903e-4,5.917001107055995e-4,8.27020646834739e-5,2.4225171037598305e-4,0.002516152659550237,4.8139234658833976e-4,0.0012189696575223895,3.2521025288798354e-4,4.008143867742667e-4,1.980363733628184e-4,4.996803121945073e-4,0.001204560927961269,1.6417961337394156e-4,3.7971271643536074e-5,6.604767999543439e-5,9.127901629960906e-5,4.366879758586689e-5,1.8648631459671522e-4,2.074281936603579e-4
MEGLU1,1.54073539126303e-5,8.135935400342003e-4,0.30352961330348505,0.040033416128470084,0.03726224300458707,0.002092959180981348,1.8983889127237362e-4,4.48008315812207e-4,NA,0.004158582243307525,0.008035708636187132,0.1719601479787194,0.015863261165849737,9.93207993112712e-4,0.049188315910818334,0.01024123315798338,3.7400230409468185e-4,1.6823178662164686e-4,0.0015346913181798227,2.3093087105091205e-4,0.0020321849742463067,0.0023993372980528603,2.4699076783200056e-4
MEGLU3,3.848011514493006e-5,0.0013728121078502382,0.0579942746743773,0.003948367158347324,0.003439856007073995,0.001328997218163063,2.0365811083518685e-4,7.077682051088585e-4,0.014327987116488132,0.007759505718664602,0.010100778192861292,0.026771263665144783,0.4999999999999998,0.0013960919329567337,0.005055495206764074,0.0044010208330737535,6.424720483992916e-4,2.94590376038019e-4,4.887273238396031e-4,3.8679120088448937e-4,4.7572272078966345e-4,0.0012528247707003727,5.411575569865123e-4
TEGLU23,4.0510051406358794e-5,5.990031215321036e-4,0.0076809969569130625,0.0021532798504187867,0.0022401866808601464,0.0012795559501051928,2.174910643038595e-4,5.515533658158695e-4,0.0012758915465055699,0.0017641683733877137,0.0014485811037700574,0.007536971849986445,0.0010669414461231,9.412886593655463e-4,0.0032099690917577863,0.0021899426748607964,0.024965023460345487,0.00912898652578652,0.07595666228310506,NA,0.05637295817075065,0.0016443405412029492,0.001693075606723187
DEGLU4,4.185732836360683e-5,0.5005342334857235,0.18160430338376554,0.014291565932967909,0.0148881962162974,0.002324578429327289,4.506512747109684e-4,9.561757804799568e-4,0.010609777044248106,0.003020603837610792,0.00341902425048238,0.035400390694208736,0.01008168096437641,0.0014234201426089176,0.020440207200550186,0.008433158571648431,6.609832207174885e-4,6.159271475897568e-4,0.005637253318155739,7.553730341561064e-4,0.006520968797977122,0.005434160015039449,7.418317430821664e-4
TEGLU19,4.500597894796745e-5,7.267341370484598e-4,0.003096147507435443,0.002081976943150975,6.888362590057362e-4,9.960479418866033e-4,1.690712805758765e-4,3.493717434751465e-4,0.0011650614128325455,0.0019800618213123345,0.0034903205395382785,0.0033396042846435595,0.0013241699933492575,7.482045347769253e-4,9.491385897740929e-4,0.001401894675963605,0.07627482691943377,0.5000000000000001,0.1227102179459506,0.013497581367772557,0.040230906978887516,0.0012910252722790234,0.0011553574571546265
