annotation,baseline,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid.oligodendrocyte_precursor_cell
Brain_Non-Myeloid.neuron,2.4206614627098143e-10,NA,7.531602483558835e-6
Brain_Non-Myeloid.oligodendrocyte_precursor_cell,2.301577988961267e-5,0.08303392821906924,0.5000000000000002
Pancreas.pancreatic_D_cell,0.0025838834979269878,0.14930749185822415,0.022275754051438626
Pancreas.pancreatic_A_cell,0.003651319514827629,0.07051608367477126,0.01452166960492131
Brain_Non-Myeloid.oligodendrocyte,0.00542233174681566,0.13180176240197589,0.19343120578979944
Pancreas.type_B_pancreatic_cell,0.006356310690063375,0.1733133969994463,0.03218674782077142
Brain_Non-Myeloid.brain_pericyte,0.012449895847085356,0.04450240184296688,0.023104494147570563
Brain_Non-Myeloid.Bergmann_glial_cell,0.01407427729987074,0.2086478787965737,0.2282162150173259
Brain_Non-Myeloid.astrocyte,0.016788088118457237,0.34810417413150296,0.3614188608330431
Pancreas.pancreatic_PP_cell,0.02848586065206501,0.2129256268859499,0.08245595455643763
Heart.smooth_muscle_cell,0.030691589301013768,0.028565282445547024,0.03203947581589564
Pancreas.pancreatic_acinar_cell,0.03464056674481331,0.07069145609801203,0.040269949987445416
Marrow.B_cell,0.10225774745290513,0.11079564388282842,0.09392223956728124
Large_Intestine.enteroendocrine_cell,0.11020244564644917,0.33449875639797416,0.1793945539865623
Spleen.macrophage,0.1224726266559068,0.1215274482547109,0.12325440863422432
Thymus.immature_T_cell,0.1254840005811722,0.17646437615293714,0.15616846413653662
Marrow.hematopoietic_precursor_cell,0.167679670207464,0.17062056662379702,0.16451556941780401
Limb_Muscle.skeletal_muscle_satellite_cell,0.17254654655677856,0.19138060495791048,0.18775590715649493
Kidney.endothelial_cell,0.17759657819885485,0.13547516039146695,0.15781560311992898
Limb_Muscle.skeletal_muscle_satellite_stem_cell,0.18600568690408914,0.20134596817158468,0.2183138811073837
Thymus.leukocyte,0.1916082881807125,0.2523734585522456,0.23035474707362055
Marrow.basophil,0.1997797542062158,0.18240309004430175,0.18261350638575108
Marrow.immature_T_cell,0.20250109495570814,0.18212653802370601,0.1950229743347836
Spleen.T_cell,0.2223645829639317,0.2452442274426576,0.2348276751551648
Marrow.Slamf1-positive_multipotent_progenitor_cell,0.22594929025527774,0.33299809869641306,0.256935097016176
Marrow.granulocytopoietic_cell,0.24052796479312225,0.3314781779485759,0.2495786332472032
Lung.natural_killer_cell,0.24453434741560545,0.21599080604475573,0.23386388801266195
Fat.T_cell,0.2539555666611143,0.262225964214028,0.26225081974390113
Heart.unknown_cell_type,0.2669269179499606,0.4234807491668008,0.5378216422648379
Lung.monocyte,0.26819819387624266,0.16264451282512787,0.20739354341654748
Lung.T_cell,0.2718218944800665,0.2853314065639283,0.2892634705402831
Marrow.Slamf1-negative_multipotent_progenitor_cell,0.2903936726735626,0.3609107516986694,0.3386574898255952
Liver.B_cell,0.30874900111153586,0.2600970839336254,0.2386739453825835
Marrow.common_lymphoid_progenitor,0.30960244527253755,0.3791291244277498,0.3192884073066041
Spleen.B_cell,0.3606315440398212,0.26938926845198463,0.2745324570021869
Fat.unknown_cell_type,0.4085765440469276,0.5145200062967096,0.4344725191649582
Bladder.bladder_cell,0.4215497196343527,0.3638935389085624,0.4861862915364087
Fat.natural_killer_cell,0.42765584054763217,0.38685908793536905,0.4052712167372836
Marrow.megakaryocyte-erythroid_progenitor_cell,0.4465539377572952,0.5184236577247986,0.4682568306094111
Marrow.naive_B_cell,0.4579592137916533,0.3648007633115545,0.3577537656222939
Marrow.mature_natural_killer_cell,0.4606494332344739,0.45129802754111104,0.4690887235293834
Marrow.macrophage,0.4729005334992068,0.4641806506188342,0.420347955033504
Pancreas.pancreatic_ductal_cell,0.4773253360790625,0.5087446912555721,0.5644331004591283
Kidney.leukocyte,0.4830608725534515,0.4651364486182649,0.4905021366535576
Pancreas.pancreatic_stellate_cell,0.4955247135279148,0.3872845047169197,0.4969559515493254
Marrow.immature_NK_T_cell,0.5386478393950256,0.4836683670099682,0.4955671841085107
Marrow.granulocyte,0.5456156664031061,0.5256237003898349,0.4812636566276499
Lung.leukocyte,0.5541283484687767,0.4416741614498895,0.4509697214646802
Marrow.immature_B_cell,0.5588718289325222,0.5141561762605861,0.4890217696499066
Marrow.pre-natural_killer_cell,0.5806108019613114,0.7250205030923135,0.6185680397203734
Lung.unknown_cell_type,0.5863555808835949,0.7857461577189389,0.6805578880237989
Pancreas.leukocyte,0.5886725395959596,0.4117238985223596,0.5216622678229409
Liver.natural_killer_cell,0.6272998712221747,0.6208244067339085,0.6228450800561967
Mammary_Gland.luminal_epithelial_cell_of_mammary_gland,0.6477737615430627,0.6296008742713548,0.7002573981759648
Kidney.macrophage,0.6481912535435104,0.5167124802296331,0.6047539972208088
Skin.keratinocyte_stem_cell,0.6502235851300244,0.6163802385366275,0.6140890532971914
Fat.mesenchymal_stem_cell_of_adipose,0.6664120473573988,0.6271920864580993,0.7266140352705295
Lung.classical_monocyte,0.6694123351731632,0.5595722545575071,0.6194132907263112
Trachea.epithelial_cell,0.6745657441220889,0.7757080308589752,0.6968262023114926
Marrow.immature_natural_killer_cell,0.6795344692803429,0.6810401860088914,0.7074540368241667
Marrow.granulocyte_monocyte_progenitor_cell,0.6810197679173641,0.7877655673189068,0.7171152203834943
Heart.myofibroblast_cell,0.6811885123140246,0.7037603908845321,0.7878776437307442
Brain_Myeloid.macrophage,0.7000264904695372,0.6573079111909852,0.710925749872986
Brain_Myeloid.microglial_cell,0.7118832585240433,0.7061911809152085,0.7157593392711908
Fat.B_cell,0.7146190368407455,0.6329840786445105,0.6544823784420037
Marrow.late_pro-B_cell,0.7390385008675431,0.8706427473778209,0.7487077219191357
Trachea.mesenchymal_cell,0.7400398041208409,0.6676649696010949,0.764625771014948
Lung.epithelial_cell_of_lung,0.7590263915720996,0.7456067515451152,0.7742023794749001
Lung.B_cell,0.7611058911785723,0.6610101169386702,0.702789114700491
Trachea.blood_cell,0.7627489661102228,0.6001586108203251,0.6833765700930342
Kidney.kidney_collecting_duct_epithelial_cell,0.7656406409838156,0.7665763071391141,0.7721623758967884
Tongue.keratinocyte,0.7671541813727245,0.7799249214319566,0.7335882613429257
Limb_Muscle.B_cell,0.7813260026308999,0.6998795800731408,0.7090241304404451
Marrow.monocyte,0.7858693191903254,0.7888143303943292,0.7681265210872015
Large_Intestine.large_intestine_goblet_cell,0.7965757040782425,0.8106993445237727,0.7660272420584757
Mammary_Gland.basal_cell,0.8002735131952385,0.8332896897053133,0.8318198232243099
Lung.stromal_cell,0.8040386832223503,0.8043579142516855,0.8737170996549319
Trachea.endothelial_cell,0.8152677304084068,0.7697910897644882,0.7797224905997562
Liver.Kupffer_cell,0.8277400581088886,0.7081450886131627,0.7885068689729955
Brain_Non-Myeloid.endothelial_cell,0.832223288951343,0.8143270681415818,0.8387590874995513
Heart.erythrocyte,0.8398564354711839,0.943222084121632,0.8750852178519996
Skin.stem_cell_of_epidermis,0.8489129300317753,0.9031708637844641,0.8525474966763084
Limb_Muscle.lymphocyte,0.859950471382856,0.8101455946182594,0.8284326198237846
Liver.endothelial_cell_of_hepatic_sinusoid,0.8621868149249006,0.7642414911224973,0.8103819518169428
Pancreas.endothelial_cell,0.8623715573514434,0.7953792133922957,0.8325864039670375
Limb_Muscle.T_cell,0.8641110983146172,0.8725437450873232,0.8412862311131108
Heart.leukocyte,0.8644339148510243,0.7590378112457722,0.8381762197799081
Marrow.regulatory_T_cell,0.8764248494522844,0.8962095409865427,0.8674226692552766
Lung.myeloid_cell,0.8791157692600687,0.8586132134851154,0.8769188989502261
Marrow.precursor_B_cell,0.8818548888333652,0.891795648568619,0.8336602753631505
Thymus.DN1_thymic_pro-T_cell,0.891294615889626,0.888873326042747,0.8811064676232941
Fat.myeloid_cell,0.908078460556864,0.8194878124289469,0.86917858321162
Limb_Muscle.endothelial_cell,0.9092667942805428,0.8595337328293656,0.8833353106763447
Lung.lung_endothelial_cell,0.9104990388542328,0.8640470421822959,0.8971880130954795
Kidney.epithelial_cell_of_proximal_tubule,0.9135991552465188,0.8992538678358671,0.9125951088092306
Skin.leukocyte,0.9159462230282088,0.8810503071011297,0.904467146655734
Heart.cardiac_muscle_cell,0.9226360686164768,0.9939969909616369,0.9450080310546262
Mammary_Gland.endothelial_cell,0.9273747744485292,0.9026381535087172,0.9068555441348004
Tongue.basal_cell_of_epidermis,0.9528140275298408,0.9638214995008336,0.9349971042940912
Lung.ciliated_columnar_cell_of_tracheobronchial_tree,0.96958261422897,0.9912518883375676,0.9656517988819324
Large_Intestine.enterocyte_of_epithelium_of_large_intestine,0.9748218759163172,0.938389357257106,0.9333606841370468
Skin.epidermal_cell,0.9776782178858316,0.9738044728904108,0.9765562707204428
