Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
n29.Nr5a1-Adcyap1,4.907181470871538e-5,1.9128683050961374e-8,4.910915264753595e-9,TRUE,0.217334242655954,0.4379304873357383,0.0981784652894005,0.07250375235195411,9.222933240762193e-9,0.2608916798948784,0.12211893525485724,0.9231262025960028,0.44653300077682095,0.02037476788179574,0.4179675214682941,2.8244036263298272e-5,0.048419136044711514,0.9432104023282027,0.4929321906529554,0.9996764873495532,0.535746918784618,7.426844949897928e-4,3.1481031511230994e-6,0.3630499985720236,0.6249691335306892,0.7961999878431649,0.4770543060473245,0.0041120505720238535,0.08303328757678358,7.482239443950586e-5,0.19970155749532334,0.7108137308140926,0.0023381887692947084,2.2348942775228094e-6,0.3121747062102897,0.5354422801306741,0.8179422144510397,0.3600198647308203,0.5955609770875513,0.09308202541624984,0.9255788793377424,2.3016122392148548e-7
n31.Fam19a2,5.511981425263932e-4,1.8262059893630937e-8,5.596708996833068e-9,TRUE,0.3230161256145891,0.23228530915307,0.1747581172444188,0.2620526900226727,0.0018863339798977188,0.3393310901726201,0.12912424058972746,0.9193836290258766,0.9251024056242522,0.02401058824236109,0.21218970415317026,1.7716505605439568e-4,0.09704418544125633,0.1553523894280513,0.9989383301500911,0.9993978041255795,0.7807756734061808,0.003862620111308585,4.4592962674108006e-4,0.1064550058255252,0.7147020947486257,0.40465548754162667,0.7686358020442638,0.07581465364837449,0.4491105318294831,4.5300930144417673e-4,0.20338807344831566,0.7702052468727836,0.11861333796026267,0.01908286964096095,0.30424933724393305,0.2515038440141787,0.6813263742226786,0.3422205722744418,0.28598932231101537,0.116994037402885,0.8149261369721809,1.121438896234032e-4
n30.Nr5a1-Nfib,6.298285498632831e-4,1.7587845418608548e-8,5.453568734713524e-9,TRUE,0.6534528410313717,0.147762633500234,0.5598948560520176,0.4001273193439776,1.1700029420375454e-5,0.6611742960921514,0.6876515529477529,0.9505579314253072,0.053662401746442184,2.3044251840589463e-4,0.8557720892398009,1.51912367273077e-5,0.2463753950478163,0.8707273850121937,0.4744865290852381,0.9508555204046154,0.20664348079892494,0.013765032832628523,1.496629020734652e-5,0.8558657800743176,0.6956984997075164,0.9220852321197264,0.9341253646830309,7.152868650731617e-4,0.3291093737061296,2.2170703418920263e-4,0.2834548868741875,0.9670953012639212,9.90653469983486e-4,3.3215327558663263e-4,0.06343478014324054,0.9013751704217704,0.9553785584690532,0.7236817581825348,0.36049679052359707,0.4604042782791696,0.9994110074262718,9.261424037863872e-6
n34.unassigned(2),6.361857249787666e-4,1.697819988355297e-8,5.26923169849523e-9,TRUE,0.2933442519856553,0.18000397430545018,0.01033448891024821,0.03468514894856112,1.4121599009755094e-6,0.09152119421633624,0.10666035362602566,0.6027289378446417,0.4896417938622593,0.001803966116698598,0.4500547652987742,7.416953549461221e-5,0.27459290973980754,0.8167219561721673,0.13128441503342742,0.9999824025425712,0.226229675554822,4.1642493811179705e-4,1.972995524529749e-6,0.7806459942884487,0.23589062095203944,0.8094695511032828,0.8173895402327017,0.01169248197747725,0.06579727670561566,6.18061669791901e-4,0.21943610872929453,0.8219345421852869,0.13519525920726205,6.532563751845903e-5,0.6797825635460856,0.2946733136180776,0.2537944866495073,0.21480731748688991,0.19348551568757968,0.2292836148581803,0.9907246167676086,1.1015546939216628e-4
n09.Th-Slc6a3,0.0016218911804820465,2.295374507559132e-8,7.797744872406399e-9,FALSE,0.8109328876935465,0.1992269227569772,0.1324843167419955,0.3497630496584283,0.10280526994217393,0.4229526302320184,0.04587091136770488,0.4928595265543098,0.13106737336796453,0.02174078908935561,0.3584286512120778,1.2846132901284094e-4,0.6814363907496167,0.5818941125233392,0.6501261096218047,0.9527041340176741,0.26750071201050857,0.1618675270407401,0.0011214063495039405,0.5976134573120432,0.997633838125448,0.8145540779451196,0.6312043106640531,0.06874530720020264,0.5672070767417329,0.0768209526962959,0.7541156024038463,0.9759926104953249,0.01943116853818453,0.005179558482252386,0.4296719322204678,0.10568539209172896,0.23648230752265426,0.1810702202701317,0.9267109270255486,0.04727892154656806,0.4548522791751277,0.004427821392279883
n26.Htr3b,0.0016978032435101698,1.6916482644805656e-8,5.774624311022844e-9,FALSE,0.2373674555292243,0.0057986056921194825,0.17311138883401178,0.3052745595110601,8.22814001011766e-4,0.9262373968467345,0.7495843656559008,0.4905867233686914,0.7182133168681859,0.2423802671419899,0.9796598091433396,2.120834915684304e-6,0.5506848846738374,0.4400189778683413,0.26360108540285865,0.9906521344737844,0.56393658246332945,0.04401069525493695,9.531018967689314e-6,0.4553521156606534,0.4845722225780094,0.7166330383676313,0.3426483175922266,0.05125113884474192,0.3188460815664712,0.034353910546151466,0.34561932642835924,0.3832337481794613,0.010593273698797236,1.7747865275149696e-5,0.24658558993759755,0.9308022195956523,0.4379949509917869,0.23081256581890425,0.30012906089437463,0.65064896065631594,0.9937323709530228,0.003399094079959736
n32.Slc17a6-Trhr,0.0017388583460688195,2.174207613065321e-8,7.4407747144916985e-9,FALSE,0.5954669782293898,0.2529446560869467,0.07790062891118885,7.473727344002918e-4,9.24295804045752e-4,0.5350529095125358,0.3318003882141709,0.7492112950383647,0.6583018447584941,0.0016358056214871384,0.4278168471543389,8.071822513237854e-5,0.021394229388941,0.6831511359200266,0.8368968925216089,0.9970493389964254,0.08846275003611515,0.05544593581031673,1.2305908979227325e-5,0.537748978546437,0.583827254845849,0.16770831138791265,0.28347782340066296,0.006133975548427174,0.11459858645671413,0.003633449771566107,0.121083165056372,0.3275825319980763,0.2779887818055429,2.4277543085810156e-4,0.009696234689403766,0.5130407041199018,0.8926477302772685,0.2316230230577655,0.06964914513027852,0.30663681191105063,0.9916652448265112,0.013536995406550852
n11.Th-Cxcl12,0.0024380772657587218,1.5059250583253172e-8,5.349448513395051e-9,FALSE,0.1500081377742824,0.261405880854287,0.3672424163808515,0.2208624698548291,0.04021694771525283,0.023544851247922584,0.13339631944256758,0.4576072077702277,0.06691106097389264,0.6383842589990374,0.6705496021826678,0.05239041913128527,0.33795285049221785,0.5196192641161044,0.8504114715948912,0.6474565479026656,0.04365088632198638,0.05718588532591563,0.1446606721226506,0.9117033490674322,0.31467018220500137,0.10803670097682112,0.3427430829647863,0.177520507717583,0.3995632001130728,0.17839743223760324,0.9687429622897736,0.7300674217255185,0.2294893210346105,0.0435932489506774,0.7027271946227132,0.5050335599715333,0.21350764939439928,0.2190583224845557,0.1758289290706766,0.06694715144504428,0.3976089476858649,0.031534671173393834
n08,0.002666048404809571,1.6210779979412813e-8,5.818125800803506e-9,FALSE,0.9146000761138908,0.06911696675247532,0.4502755764882294,0.4848343814561789,0.0016630133242933086,0.6986504235530266,0.020874559916606632,0.45502341075388597,0.16872827753661535,6.812828637250077e-4,0.3247679670429349,5.610935790439586e-7,0.08168606642035886,0.5895434821425616,0.7030914009345091,0.4711742731864144,0.4403383244069605,0.5049648342420044,2.2764165013167787e-5,0.8503200015420619,0.5312230105277573,0.954962418054444,0.5119272554793433,0.035634919614768945,0.7835367775924061,0.009208965998790654,0.8884068494067231,0.5850142170190002,0.06271582048486049,0.0035567739066492366,0.29619040903832483,0.127862316650856,0.06342170521499786,0.2485335156156725,0.8421713687707832,0.07907435826279585,0.4843833473527796,9.625401912864012e-4
n23.Sst-Unc13c,0.0038778080549808492,1.4560827718590036e-8,5.468798363426621e-9,FALSE,0.21945990532929788,0.13945829626612274,0.44328648209979,0.0943272478337842,0.003631876569735989,0.012520594578507046,0.169988334657038,0.8637892187535193,0.7276345942507209,2.2347460204907784e-4,0.2984247512915161,5.875044408775697e-6,0.6207455950210713,0.9029980667259528,0.7092752799250515,0.7130604039232143,0.454656483156822,0.028346271852759643,3.196360514271349e-4,0.40767193223055664,0.4141675840032922,0.2117336784423735,0.3933014446840355,4.7459265893025517e-4,0.3043778868083522,3.3357490268470715e-4,0.2800949541244694,0.7517939754107182,0.0029856362225065738,8.11382103745645e-5,0.20249758329693485,0.3948210420057203,0.4637378039348186,0.5319668014995403,0.2637522774891649,0.06895520026060517,0.8220246743952531,2.6804811926424893e-4
