Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value
n29.Nr5a1-Adcyap1,1.47982209287e-4,1.81750099071e-8,5.02237633248e-9,NA,NA,NA,NA
n30.Nr5a1-Nfib,0.00121175538808,1.56436570396e-8,5.15827290116e-9,NA,NA,NA,NA
n34.unassigned(2),0.00158564898166,1.55585361732e-8,5.27295960637e-9,NA,NA,NA,NA
n11.Th-Cxcl12,0.003672004824,1.44637627187e-8,5.39525806004e-9,NA,NA,NA,NA
n10.Ghrh,0.00394913117368,1.25663396797e-8,4.73061107678e-9,NA,NA,NA,NA
n26.Htr3b,0.00510242130211,1.47150467807e-8,5.72835182187e-9,NA,NA,NA,NA
n31.Fam19a2,0.0052509532079,1.631444922e-8,6.3756959689e-9,NA,NA,NA,NA
n09.Th-Slc6a3,0.00683315075223,2.22708545475e-8,9.03146981898e-9,NA,NA,NA,NA
n32.Slc17a6-Trhr,0.00775629328906,2.15554322121e-8,8.90652026065e-9,NA,NA,NA,NA
n23.Sst-Unc13c,0.0085335394372,1.39928238925e-8,5.86637388907e-9,NA,NA,NA,NA
n21.Pomc-Glipr1,0.0247916961326,1.88307743249e-8,9.59021390681e-9,NA,NA,NA,NA
n24.Sst-Pthlh,0.0290519879991,1.02559497849e-8,5.41236020894e-9,NA,NA,NA,NA
n06.Oxt,0.0365038132907,1.24980214084e-8,6.9712961979e-9,NA,NA,NA,NA
n05.Nfix-Htr2c,0.0401417032312,1.34110624172e-8,7.66765277642e-9,NA,NA,NA,NA
n22.Tmem215,0.0406479427505,2.1628210629e-8,1.24070741616e-8,NA,NA,NA,NA
n25.Th-Lef1,0.0406770289837,1.18825589771e-8,6.81776064535e-9,NA,NA,NA,NA
n08,0.0411674433294,1.3074732616e-8,7.52590834162e-9,NA,NA,NA,NA
n16.Rgs16-Vip,0.0427639920269,8.85776859642e-9,5.15143897011e-9,NA,NA,NA,NA
n02.Gm8773-Tac1,0.0491224311657,1.05188910535e-8,6.36188854466e-9,NA,NA,NA,NA
n19.Gpr50,0.0645540011234,2.363478997e-8,1.55734985827e-8,NA,NA,NA,NA
n33.unassigned(1),0.0929108774064,1.20867196655e-8,9.13555965054e-9,NA,NA,NA,NA
n20.Kiss1-Tac2,0.0981933377309,5.4381319874e-9,4.20935829167e-9,NA,NA,NA,NA
