Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
Glu2_clust,7.272609452066166e-4,2.9040616358425898e-8,9.1219216264164e-9,TRUE,0.20236036722202785,0.4901830956614739,0.2953197704494088,0.2659670515773406,0.015412115149958982,0.7781899394191176,0.5806932839179895,0.9537506456900394,0.5358637472320986,0.017817125677712032,0.5534010231460416,0.025400339669076108,0.9188741539719736,0.6243372183238965,0.3372002523869514,0.9978657786603596,0.6199322522981334,0.12528365381860962,0.14870967491183867,0.9375557437640084,0.5547276429096649,0.6718316195360706,0.5861773086995267,0.0390131072098792,0.6130082417175529,0.0067721860616512435,0.26980257056499457,0.9569133117310646,0.038052807343286484,0.1334229099201259,0.08901835890260024,0.6769193092919514,0.0466418710978016,0.2698998867436738,0.5720576122195662,0.19611261864482726,0.8014266518640525,0.06475063736723753
Glu4_clust,0.004815133509290794,1.7596917382526424e-8,6.797247600121438e-9,FALSE,0.5988558071728223,0.1966198566391183,0.24649748689146225,0.4849948049439372,1.3785542897439522e-4,0.6785819291869646,0.24817410755611685,0.3476582268966092,0.256139109872793,0.011815096471789363,0.6899118513787804,6.720692819468692e-4,0.12457893147058885,0.4116125180886113,0.03503228398099055,0.999720515436098,0.0799797189084297,6.09678861810471e-4,2.1226746891578227e-5,0.9358570248738546,0.729548236892843,0.411389999794382,0.2270073437592041,0.019690119337685698,0.5738185894775105,3.3102239929909616e-4,0.322595812404206,0.8843858462740221,0.002205580814271296,6.513539945245887e-5,0.012668593559604162,0.3638091088667325,0.43237246006610985,0.11271104756443062,0.12779103158812471,0.7475603170464006,0.9877638149477124,1.0432239643443798e-4
GABA6_clust,0.007578809119308328,2.103263271893661e-8,8.660425819280878e-9,FALSE,0.10650737369870698,0.07819617252679473,0.2800397593683813,0.04035848593110942,0.02252292353486851,0.3850028646862804,0.5493020139428232,0.41514485854487737,0.5085414463094085,0.03934694447358506,0.7581852777243454,0.011683379124329957,0.1277372774057866,0.17345391935405596,0.4328472863357379,0.4554728057346016,0.1911829187486016,0.5607061916486067,0.0013307163875001958,0.17636701491016415,0.3830872927629593,0.15607798155434932,0.3350277418224287,0.004383123831682311,0.7355559595196983,0.011961059165084656,0.2995003682687216,0.6492564110552723,0.01318909688721108,0.0016539313382586821,0.08649059131731374,0.5112302255349279,0.023735137352862663,0.21995253433939604,0.1298066343900715,0.07957829953163759,0.670418081350547,0.03919128851396892
Glu6_clust,0.010822697385506924,1.961705535415363e-8,8.542028745133152e-9,FALSE,0.8633101995302187,0.04772874360255085,0.16480119880422214,0.09546687905487156,0.028274720063077838,0.19624461371523133,0.2629109498268993,0.7617163912091546,0.1951288644131236,0.018923676298909488,0.4563919641702242,0.001211438307789533,0.5322794348314771,0.977882670389034,0.08261138654168554,0.9971505629661588,0.20321528252896776,0.0011857858811649216,2.9662513625767134e-4,0.19416945947003486,0.6593531532297139,0.2203560378638401,0.7264688197603719,0.09486998949661908,0.03534679513079273,0.0022830007597100625,0.18249581096134027,0.5629784126712262,0.030309431721478968,0.02153384796882596,0.2353302256157405,0.42406699301713136,0.04242627087276081,0.28299077317548393,0.4254764533173648,0.025667440389361192,0.8087248333130788,0.002378224899184685
GABA5_clust,0.011038092900387476,1.5921991270725923e-8,6.9557064915715295e-9,FALSE,0.2419868060141781,0.032520983726550774,0.13149810874233547,0.044806334025421814,0.02869133571025988,0.4115676640032412,0.1734508532326029,0.3362352965192582,0.2284704075638957,0.0032111719881789498,0.7707223889372125,0.0013509341911255193,0.5281938626602816,0.6935509980086055,0.008573688118322645,0.9731003478566416,0.07724973443750842,0.07569761952293266,2.0892692805527986e-5,0.8139668224220921,0.4576107091942087,0.6457599925321219,0.7041515308489232,0.010085516688952731,0.14047726922384066,1.7609983814484187e-4,0.1565633233401182,0.5995155838640981,0.05696285900209605,0.0013991342677523596,0.2086794373086972,0.7811507104780591,0.13578841707377992,0.8204417252222227,0.2513114189838369,0.7195634944917215,0.8794989743201882,0.013542632172827095
Glu9_clust,0.015747765353919155,2.3984515443149e-8,1.1151671740401543e-8,FALSE,0.6925239297578528,0.051847261473217485,0.14327936984513878,0.4518828471062672,0.2238270689148526,0.055857506998784515,0.91165224296352,0.7651767313936142,0.013246438057195995,0.005084565240260162,0.7835869213843148,0.0830056053338657,0.2148137838657007,0.3210934163250206,0.7477539592171263,0.4222078562208004,0.3678102026098833,0.005614207605433939,0.1654924206519749,0.1559509348040118,0.3202462580262778,0.02558715885021669,0.5324039039130773,0.009874715085590298,0.7397414703060962,0.006430382410074057,0.8480242769440849,0.6297189144349201,0.302389596458843,0.4144941912062951,0.08517926717397234,0.6452614795407885,0.5712516972999631,0.20125756498138608,0.759489473320477,0.09492080534607056,0.07949569587860927,0.006860371842868011
Glu7_clust,0.016248651339580842,1.9323797317289297e-8,9.037246061643786e-9,FALSE,0.7141452977093168,0.18621436439611272,0.8380888052102082,0.3131623252520862,0.06332831746539237,0.09751598497260576,0.5150206724601076,0.7331581604694912,0.21961328813587927,5.006810912595049e-4,0.759080983380286,1.3961164799405678e-4,0.08658507817730604,0.9928300480583678,0.08564119444097279,0.9988736815151771,0.252388490738623,0.012959061964131355,5.8416330141632054e-5,0.9781956757675666,0.9901127800960784,0.9199844528551326,0.9974380577798184,0.0010550807119671783,0.2066218350278244,4.305397994021693e-5,0.1974670149219407,0.9507564869964076,0.007900139811407195,0.031534398954867274,0.009311444601422436,0.7153438513477164,0.4799297147404862,0.0988303722168854,0.3491174045273683,0.15023786901923752,0.5721628490319773,3.2643190502164856e-6
Glu1_clust,0.02131135476953044,4.1075135128288304e-8,2.0260121627197483e-8,FALSE,0.6569506898200588,0.18487160468127795,0.2071020363460837,0.7501389196469961,0.346969844521368,0.2206631402129801,0.10891779357119837,0.4813509948236845,0.09373105401358807,0.06437719543560019,0.3680814906164533,0.009891331758382823,0.12691628968817625,0.22511474803400436,0.3380816966688871,0.2553652159061484,0.19984336472507247,0.06096069871825215,0.17527168983715913,0.4535953853756014,0.5938740792034982,0.12132058839801152,0.6898462279052378,0.003977477148491799,0.105882057485172,0.11621806422362307,0.9852279061183682,0.9787609969198409,0.06887522580899696,0.6762776340938164,0.06345610544994278,0.2295072222967231,0.05105282441655805,0.2221652429460903,0.3526178873171183,0.013237433061115477,0.3918977507067537,0.017932740726004513
Glu3_clust,0.02241595301335799,1.8700324900562302e-8,9.321135483283492e-9,FALSE,0.9249673812703868,0.7083585627780038,0.13071450600252546,0.18005544803367085,0.06153656770659595,0.9557404312333352,0.8797909797806557,0.748927466788792,0.10523892570831116,6.714227347406974e-4,0.8969319370569918,0.047495837920502784,0.7299779144104179,0.7970469076658085,0.2645096552242561,0.9930031896564856,0.2638472137621989,0.004801316567677,0.08015737598175626,0.9692744230734534,0.2972788475974277,0.4335075379291744,0.4107693736560459,0.06748087709708568,0.4092649722239713,2.208272538362057e-5,0.7719966668207132,0.26233684274141816,0.13502550921211365,0.5481789693555874,0.2414226591158422,0.8077612555365801,0.35015086737237955,0.05263296705642928,0.04763342431416952,0.21119673736420921,0.2980850443364864,0.006068613035031529
Glu5_clust,0.024063742815772612,1.31227843581804e-8,6.640275250140801e-9,FALSE,0.8442759740057124,0.051133605759073705,0.5812593834992812,0.1626712376305015,0.01939395570602405,0.37993475732474746,0.8107175335895049,0.7567419724892085,0.9054520114502972,0.1898811110822371,0.8208117720213518,0.15368754357335307,0.17702449557530875,0.931398321054332,0.3733937998414044,0.9935858178605091,0.5222382518338244,0.14381108960017547,0.013702706958620359,0.41677638705682496,0.7888832841826288,0.9230059125150544,0.32682659394616953,0.1446163001641979,0.7513159784631259,0.007175118982210188,0.28323792671536663,0.5599303747091441,0.20575257197323776,0.036203695266778864,0.1010633867145566,0.6147143106840519,0.10372324306695464,0.19399334955916248,0.15360153126504067,0.8033788740096277,0.991949734446638,2.4366176143236488e-4
