Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,annotation,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
POA-NEURO66,3.622934063190576e-5,2.6326635222971227e-8,6.634628612974345e-9,TRUE,i9_Gaba,0.09824109941851894,0.03097918656732842,0.6944278419937281,0.015603956887204428,5.7902145947513016e-6,0.14703717283896026,0.3775417181473397,0.7386903374051996,0.8121139293904953,0.0066858168206505785,0.4048009836012486,1.7092237335133734e-4,0.2916228960569446,0.5747677030224807,0.05202321132661489,0.5791239797667049,0.21313928349782835,0.008557816393922734,0.014869504636391272,0.3415554207095665,0.3544202621380459,0.2141066521981021,0.3341074941460891,5.075228161703746e-4,0.5868273330922823,0.022380046131626915,0.06777599845439804,0.25754440280560903,0.021206968880013742,0.006269421404015574,0.7402246721532697,0.4479550486370501,0.1432617548433831,0.27082139505850195,0.13804627269128186,0.040735894475967024,0.6612380866262993,0.0030842874397763696
ARCME-NEURO29,4.907181470871538e-5,1.9128683050961374e-8,4.910915264753595e-9,TRUE,n29.Nr5a1-Adcyap1,0.217334242655954,0.4379304873357383,0.0981784652894005,0.07250375235195411,9.222933240762193e-9,0.2608916798948784,0.12211893525485724,0.9231262025960028,0.44653300077682095,0.02037476788179574,0.4179675214682941,2.8244036263298272e-5,0.048419136044711514,0.9432104023282027,0.4929321906529554,0.9996764873495532,0.535746918784618,7.426844949897928e-4,3.1481031511230994e-6,0.3630499985720236,0.6249691335306892,0.7961999878431649,0.4770543060473245,0.0041120505720238535,0.08303328757678358,7.482239443950586e-5,0.19970155749532334,0.7108137308140926,0.0023381887692947084,2.2348942775228094e-6,0.3121747062102897,0.5354422801306741,0.8179422144510397,0.3600198647308203,0.5955609770875513,0.09308202541624984,0.9255788793377424,2.3016122392148548e-7
LHA-NEURO20,4.925271022417843e-5,2.0710065428099715e-8,5.318122060010106e-9,TRUE,Glut_5,0.4893770972795342,0.007937695883247966,0.06801372541631823,0.2606285264959051,3.58405582542591e-7,0.1253067406563862,0.17081631349284965,0.6822503385523796,0.3853854235749353,4.094520192359112e-5,0.7022217468662638,9.894258409853392e-5,0.21995859480248695,0.591946034392646,0.03813984191447322,0.9948183654116156,0.3825700250261479,0.0458393669205119,2.329667515145881e-4,0.5891806155696155,0.0323005900586819,0.13420614625678928,0.009073549376724128,1.3653858611665144e-5,0.14950394763332048,3.994537367098842e-4,0.03824793532600408,0.3327957053008976,0.01869947322758297,0.08203384522006303,0.2975005290685239,0.4958681197922816,0.012629010501274759,0.34107893688467417,0.4703867120767286,0.3921609356458535,0.9983034775778457,3.693319949536095e-4
POA-NEURO21,1.0069854064066664e-4,1.7950463258977724e-8,4.828953299070518e-9,TRUE,e8_Cck_Ebf3,0.1203634571501147,0.7640991520151041,0.1869315462314436,0.0270954683564494,0.0012425703408621002,0.15545091910605408,0.0905951158269072,0.1231192235342118,0.3694424871492213,0.14763775953294772,0.6965796353540267,0.041507737129966436,0.9940746696974779,0.2738152707312176,0.32355517018964786,0.9896321642560014,0.08364527476343747,0.07165790591151082,0.1122152742683063,0.8393518576287992,0.22354337093707927,0.8444867887343543,0.07865713068498581,0.04168172812139005,0.4269691876194145,0.10997456089878156,0.3376289908510888,0.9187614278250259,0.026687422232557715,0.034835298597757934,0.10600315877790567,0.6210832445706368,0.0016407026769242247,0.93598493284977,0.11816207110694675,0.0536085234497596,0.9350537147207476,0.25615557340148953
POA-NEURO1,2.0862139277555132e-4,2.7216723642261345e-8,7.712456818334099e-9,FALSE,e1_Glut,0.1562356650722675,1.378185686125941e-4,0.5884176142018984,0.1265475207210766,0.044671528707786186,0.4655287888572292,0.13150512717055662,0.6768632273855234,0.7658839877333332,0.0028479956899423904,0.6444082712719023,0.01616000535929112,0.03417070810858533,0.3168476447755627,0.3870615276465191,0.9978502977237064,0.4421287095370841,0.0014605674798317894,8.895181655288922e-4,0.07547949725272501,0.23279306133344166,0.08184291770704133,0.0029247641194434463,8.669728547166588e-4,0.009084507777109471,0.009649869361532695,0.009808183714602512,0.2877707947646069,0.030102351461610145,0.1092241390171904,0.1357207550294176,0.5681563101850631,0.16017714337972988,0.3474848717645711,0.5299988417231395,0.05568477751992442,0.6338046893782782,1.1371629630431792e-4
POA-NEURO40,2.351601112787484e-4,2.4494711083730185e-8,7.004263739782471e-9,FALSE,i23_Crh_Nts,0.8433210991399962,0.002364842570801185,0.13373323264118386,0.035751154039074064,3.99524591958523e-4,0.2599014157340485,0.4710138821612608,0.7614456392589992,0.7831450547345487,4.095204725894855e-6,0.6837934455815834,3.1380108070081486e-7,0.3782872704731352,0.7450029828123683,0.04038290138007503,0.7630286769540169,0.6207637827771811,5.1452885632335305e-5,6.574195364515259e-8,0.7215096067340971,0.6761526356142937,0.4710341134771835,0.22588925103554505,1.3430666349736848e-4,0.1302923047390186,6.253264184129027e-5,0.26186156291854634,0.6076800035631947,0.01827018969366726,0.005842009425851508,0.04246556523149879,0.38692388494484953,0.4202353258176256,0.7453695678470658,0.6071208485412753,0.5595242598393702,0.9999106048295336,0.0010877368277862453
POA-NEURO30,2.9144778652647884e-4,2.1216866239759228e-8,6.168678385763562e-9,FALSE,i13_Gaba,0.9570360738336158,0.00878950302708842,0.21809916683021704,0.04124722728955493,3.739765618940663e-8,0.23149494510202245,0.5465194858695531,0.6771382038689632,0.6529785025867416,0.0015095326099960693,0.7818794432878697,1.914032797016282e-4,0.3410301948809542,0.9078889112960168,0.04782650054270054,0.9998469866802924,0.42818090608349935,0.06974410941672234,1.1955890890265822e-5,0.8014428080988449,0.6346949127329264,0.59029724993626,0.5652476935400498,0.005957427436596888,0.03625273548063122,0.002469810487148888,0.03168573993163292,0.07855927341759081,0.02684894482283371,0.004595342456956058,0.1360917093678955,0.8198166955004786,0.0053515583821658365,0.4577414380665154,0.23135561564820015,0.2418871484144833,0.9984099437572242,2.0492249474620734e-4
LHA-NEURO18,4.0919887828712873e-4,2.387905778438576e-8,7.135539901442996e-9,FALSE,Glut_3,0.11110684136466707,0.01065966926117304,0.019261205908063062,0.018299814405719476,7.618091178057743e-4,0.416333923190089,0.05741781601198093,0.5243702255694882,0.5888707435950867,0.0017835500947628086,0.3823022360028116,5.807896042783077e-4,0.20827489458739415,0.11761494046685195,0.39679106838832334,0.9936076788780622,0.4106123455226897,1.8957505537837733e-4,0.0010011572328949944,0.6871186584554736,0.15108108323514075,0.5485740830060922,0.3024359003252538,2.693765080394083e-4,0.2677804177070172,0.0034131722900038147,0.9749697564922296,0.1630590122485654,0.04781500832423266,0.03511006424100578,0.05308624920088055,0.3819356165211335,0.1863499774582832,0.4011798546469227,0.2569397290643642,0.051391525589556335,0.6383352425377146,0.0068912809205102276
HYPR-NEURO14,4.7415556662098963e-4,2.6998982655088078e-8,8.168072079066465e-9,FALSE,GABA_11_Nts_1,0.8121839118388615,2.2719366800761693e-4,0.13266663615483604,0.3080156869197121,6.843805445723576e-5,0.12539938335867978,0.6510697978312148,0.11382880025421405,0.6037570817962972,1.2209037068850834e-4,0.3682867396271142,2.895903425693096e-4,0.04897631737336306,0.8107672088939537,0.24129930937139746,0.8902283673933294,0.3525760737797373,0.3744260035739201,8.594545851433817e-8,0.6700013594829601,0.36037440089614703,0.22871958233531156,0.35983183950293685,0.0076371333729738314,0.0791429918933706,5.023477933052625e-4,0.29081778696306404,0.21813113404371184,0.04105303173231878,6.320971825351535e-7,0.7277178351101693,0.29070852129571545,0.17716358717088124,0.3324520393810414,0.4557132711184062,0.25309475935752257,0.8858333872974882,0.004860583947910511
ARCME-NEURO31,5.511981425263932e-4,1.8262059893630937e-8,5.596708996833068e-9,FALSE,n31.Fam19a2,0.3230161256145891,0.23228530915307,0.1747581172444188,0.2620526900226727,0.0018863339798977188,0.3393310901726201,0.12912424058972746,0.9193836290258766,0.9251024056242522,0.02401058824236109,0.21218970415317026,1.7716505605439568e-4,0.09704418544125633,0.1553523894280513,0.9989383301500911,0.9993978041255795,0.7807756734061808,0.003862620111308585,4.4592962674108006e-4,0.1064550058255252,0.7147020947486257,0.40465548754162667,0.7686358020442638,0.07581465364837449,0.4491105318294831,4.5300930144417673e-4,0.20338807344831566,0.7702052468727836,0.11861333796026267,0.01908286964096095,0.30424933724393305,0.2515038440141787,0.6813263742226786,0.3422205722744418,0.28598932231101537,0.116994037402885,0.8149261369721809,1.121438896234032e-4
