Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
Glut_5,4.925271022417843e-5,2.0710065428099715e-8,5.318122060010106e-9,TRUE,0.4893770972795342,0.007937695883247966,0.06801372541631823,0.2606285264959051,3.58405582542591e-7,0.1253067406563862,0.17081631349284965,0.6822503385523796,0.3853854235749353,4.094520192359112e-5,0.7022217468662638,9.894258409853392e-5,0.21995859480248695,0.591946034392646,0.03813984191447322,0.9948183654116156,0.3825700250261479,0.0458393669205119,2.329667515145881e-4,0.5891806155696155,0.0323005900586819,0.13420614625678928,0.009073549376724128,1.3653858611665144e-5,0.14950394763332048,3.994537367098842e-4,0.03824793532600408,0.3327957053008976,0.01869947322758297,0.08203384522006303,0.2975005290685239,0.4958681197922816,0.012629010501274759,0.34107893688467417,0.4703867120767286,0.3921609356458535,0.9983034775778457,3.693319949536095e-4
Glut_3,4.0919887828712873e-4,2.387905778438576e-8,7.135539901442996e-9,TRUE,0.11110684136466707,0.01065966926117304,0.019261205908063062,0.018299814405719476,7.618091178057743e-4,0.416333923190089,0.05741781601198093,0.5243702255694882,0.5888707435950867,0.0017835500947628086,0.3823022360028116,5.807896042783077e-4,0.20827489458739415,0.11761494046685195,0.39679106838832334,0.9936076788780622,0.4106123455226897,1.8957505537837733e-4,0.0010011572328949944,0.6871186584554736,0.15108108323514075,0.5485740830060922,0.3024359003252538,2.693765080394083e-4,0.2677804177070172,0.0034131722900038147,0.9749697564922296,0.1630590122485654,0.04781500832423266,0.03511006424100578,0.05308624920088055,0.3819356165211335,0.1863499774582832,0.4011798546469227,0.2569397290643642,0.051391525589556335,0.6383352425377146,0.0068912809205102276
Glut_12,7.294236902516273e-4,1.6754130436791886e-8,5.264046254586844e-9,TRUE,0.8483793600887092,0.2880705833946945,0.6647360845066221,0.02368305561660288,2.3250721729395563e-6,0.16823651962350056,0.013190798606874846,0.574228825225936,0.32161279171000456,0.05325292534238065,0.2834832261161796,0.01425052460146197,0.29994515496903684,0.4491076056773406,0.010801013895169229,0.40398426833121853,0.3149982518977646,0.0029094832929311464,0.013874103418821013,0.6072316519055841,0.25753635913235995,0.35948113939528026,0.3771448526275589,0.03018067723211677,0.07606568942865079,0.011897700845375135,0.06058955724579836,0.09393304363520992,2.33352496948419e-4,5.674179677210981e-4,0.24593703766481784,0.15169186413128194,0.11588118465954216,0.3367031672135985,0.5697495436001734,0.0701791305224474,0.3778084852013617,0.001685171856089537
Glut_2,0.0012181669788580178,2.2052325751711263e-8,7.275261466197996e-9,FALSE,0.6802001062900719,0.19190281075035134,0.03789929747111982,0.3664073639495753,8.597309518646575e-4,0.20465739707301328,0.19382836484076604,0.4787449093937846,0.2695834661729309,0.019299371471602773,0.9393748528323204,1.7894783436765133e-5,0.029722996115395164,0.8779826730891971,0.2619845421852955,0.851684445927251,0.2614516914924198,0.049585219914729015,9.388398444698183e-6,0.5017748069001537,0.5346264869832305,0.2900085637172194,0.3795860464044776,0.002674775972418971,0.1361420316185451,2.6047546664034494e-4,0.2909639977993449,0.24690562020286574,0.03715041859065212,1.5394028970260469e-4,0.017644257474743567,0.6816734175972452,0.30643637038923,0.17469388307730202,0.5915134556501837,0.1184863110774162,0.6229402308070249,6.435246555258133e-5
GABA_7,0.0018489270365474987,1.6665446087348894e-8,5.741066320947159e-9,FALSE,0.20841757933909785,0.015170940759117103,0.2712489817895609,0.004698622616603496,1.1222125344393513e-6,0.15673607187616262,0.01260674481274748,0.4578483178078616,0.6829425098642993,0.00857516371225263,0.3964668117885807,0.0575448569812247,0.050560215340599485,0.7053998282239856,0.027276850914697854,0.9106405764327536,0.6624534331519318,0.0805612821538429,1.5632467524664663e-4,0.3022641297902171,0.02036687997876593,0.019145796266890242,0.2033965587946732,0.030342655447526918,0.009982673471476695,0.010243189691341048,0.0038641229854811366,0.025764330861813844,3.018790003988782e-4,9.811517691166417e-4,0.18453283866982684,0.10240924502572413,0.04927410984373855,0.15027841619501625,0.3788468659328197,0.3112677039689633,0.9918465979456764,0.010781434010019872
Glut_15,0.002910275847347102,1.6576462599679545e-08,6.010923962884809e-9,FALSE,0.35865772729221396,0.3971526102196242,0.7822719933385074,0.2712685761370536,0.03288561670378564,0.02339779721452068,0.3925751189954711,0.7433140487481453,0.9600639745460692,0.2051828129417793,0.8912278486848124,0.08993076152236101,0.7355425645938976,0.5445578462273715,0.6652708174624243,0.03702116500393745,0.8046655188012126,0.049672544991520816,0.3857809028407433,0.5091782276480288,0.6669358470655011,0.5897480644718139,0.7796202627467863,0.017111853542849047,0.32205817183107543,0.02127052962809341,0.4710767612080186,0.8708341798608492,0.20387905460984634,0.020895148982043737,0.7849993875821573,0.8319746871601997,0.1396112035709871,0.8513792460320773,0.8142641112622654,0.18214969534628375,0.37872878308602825,0.1288407525220539
Glut_4,0.004737836842403607,2.16471146054751e-8,8.343791105780942e-9,FALSE,0.8265108671014831,0.02662114029794714,0.008051694365940179,0.01575600432394554,8.187287705220485e-5,0.3373398227146075,0.1925515705867892,0.5294214726377344,0.8439863895935855,0.008587207361916597,0.2848841407594141,2.7364166119497234e-4,0.5362508655197398,0.3737092325401675,0.4422576889006095,0.7877833450798803,0.6434948575277986,0.0024594335769955672,2.0747789890748307e-7,0.3432220376350236,0.4342363598299404,0.4023641458478493,0.1308121050901742,4.901740958423591e-4,0.05923604513939716,2.3525757947438897e-4,0.3091992097642333,0.5803713356302398,0.005961338681234314,0.007147429956392125,0.035813818960721895,0.14715871297476307,0.1628403137926106,0.3209848627480708,0.4504753452189321,0.060242549508899984,0.8077653588144891,3.6025962060833554e-5
GABA_6,0.004833906872405554,2.009017823996502e-8,7.764351550255223e-9,FALSE,0.2806890775047161,0.009885825610053706,0.009320675457366612,0.16262753161066085,0.053263374194042166,0.8233355986920963,0.4620143582924865,0.8662448120479858,0.9921891355824888,0.0742963190336634,0.6945838709017522,0.02184556228525256,0.2652143871417454,0.06359663810981836,0.5421798785474529,0.7486246156841275,0.8471409186175913,0.08623084941908105,2.970228244891989e-4,0.90618797357453,0.8959485950027921,0.232592237772677,0.2197423750300343,0.03649018614847293,0.872930020350053,7.064070130864478e-4,0.7107416038674652,0.2765627174673904,0.11176883294798262,2.2019822267850108e-4,0.0026466021552944076,0.8485028516924065,0.537383417278995,0.1810302055497659,0.6488080956979511,0.5500467050852036,0.8470990841465992,0.07944364960213596
GABA_13,0.005746120583359528,1.4259923551537133e-8,5.642212621780607e-9,FALSE,0.8707094545086688,0.16030824002757646,0.07335133860248308,0.1851761636623127,0.005944708782827954,0.19562953550105333,0.02420696435737744,0.34718657538514874,0.053341884063315866,0.003650697115195789,0.15129869746132996,3.316113050308374e-6,0.16247467121479384,0.7113396310916381,0.9397104380248764,0.7704960305536228,0.08936513738142242,0.017621642257036482,1.0211756811702008e-5,0.9016257143754344,0.6217214463607852,0.8110944201096983,0.6368340012340193,0.0014947855886797993,0.365809680622758,4.922472889647316e-4,0.8756654792802528,0.4753853981909843,0.04249999480098157,8.81788319000819e-6,0.11179740462150306,0.1628265371533566,0.41594547909666335,0.1856502146017246,0.6078494500331946,0.15130995721281176,0.4647385135580579,2.5003056814708053e-4
Glut_9,0.005768088897816498,1.2513965597586736e-8,4.954017967123837e-9,FALSE,0.1377624051668293,0.01097288544041824,0.33857166588497056,0.011976809996695176,7.639936166691244e-4,0.08975476839722607,0.25122878297783474,0.7345788173696068,0.6160089774906109,0.0012603571813630387,0.9393283076813944,0.001898208512443218,0.5231466554134995,0.15890506846551544,0.4394755322330644,0.9723419505464428,0.5151988671751344,0.02096425085094538,4.519365389737293e-4,0.3646411396682605,0.1475353157920843,0.06705032405337627,0.6517877450413918,0.0015355896738867847,0.31008509604294365,7.87146421784659e-5,0.2430896385596352,0.2551091386098845,0.07822415735023029,9.270163269258138e-5,0.010916190539426657,0.8677110107964445,0.883728155893625,0.19220780957739314,0.3741548567330883,0.2923215601800592,0.9966913315407894,0.0019263211367277339
