Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,annotation,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
DEINH3,1.177046631275192e-6,2.3531601631803878e-8,4.985111924286342e-9,TRUE,DEINH3,0.15764710447823266,0.21211255539733734,1.3454897005521922,2.342986027410957e-16,0.31311230871829804,0.034477144878438545,0.3978288110931551,0.1267472263434022,1.4340935712914488e-6,0.09569827575673544,0.09114016445248392,0.7606657633175576,0.5971278308661261,0.022705888070041817,0.19021518964512096,0.011582778099140168,0.4082998743973503,0.6948928722476719,0.04059974480286566,0.9031605780133284,0.1845095116417581,0.0460417481142258,0.001505098768419949,0.3302804040858949,0.5156045093107905,0.2897071262098552,0.6135894616024676,0.06930910589629649,0.005347949984808852,0.012604826332597312,0.00310183247952978,0.0420688805940535,0.0010090548351661627,0.002145485518464261,0.0800883397787906,0.3308651166981702,0.13331853053382406,0.005018183989178461,0.02123849576793434,0.4793525930370093,0.9975593076554641,4.380171237901224e-4
MEGLU11,2.5916895706340518e-6,2.451925977772244e-8,5.3803043837451105e-9,TRUE,MEGLU11,0.15267004628630518,0.20605434051865698,1.3496710424272695,5.69466884238784e-15,0.16953309675301748,0.1944111366265045,0.3833058488676582,0.01687624252308802,5.545825287873403e-4,0.09746273887455263,0.2746610374030793,0.039115543543671215,0.09999283291677367,1.5911840432320494e-4,0.468286914240996,2.1623180147650167e-5,0.05096115507188166,0.9428137899382426,0.03056220545786852,0.9226385259517346,0.1873347655919853,4.735972516046726e-5,6.226608441549844e-7,0.2167612114411252,0.07317582302589422,0.03510497704336996,0.09087349025372836,2.6480730444617725e-5,0.0236801258465126,5.941534450010446e-4,0.09022884984865136,0.054065244063354126,0.01192040729253372,0.07328010195818986,0.044548788895850885,0.35958908204966433,0.043454326827492284,0.049393462788005785,0.26027547000369705,0.001723465501563273,0.4261983493493911,6.70637396939565e-5
MEINH2,8.114981718261436e-6,2.4358344100482327e-8,5.6498875700862315e-9,TRUE,MEINH2,0.17064472240718398,0.2292352333410935,1.3433479225575091,1.9312141382153076e-15,0.2317645144122697,0.07076393914246548,0.5393910614389268,0.1805736215316675,2.429119781791034e-6,0.5004155805613368,0.17825557477787354,0.8548697497056914,0.7716435673987584,0.10408241130311324,0.5312768187141997,0.004830074571589496,0.3146368891401765,0.9599628470750728,0.008892086524257325,0.9157057421064084,0.7280566904003241,0.004874656074430447,3.438518933518916e-4,0.6966680573993698,0.03786589661554778,0.24719793073078056,0.22126791439364046,0.013465765581514176,0.003171623222053417,0.017369967693642258,0.009031833853469336,0.12993798968630565,0.0016952548259429685,0.0026426235326460806,0.12568249072518597,0.8213165507519842,0.02392486291810816,0.2890179073957217,0.600352432242219,0.18368540024118046,0.9813493895765352,6.565633774994244e-5
MEGLU10,8.831455975074691e-6,2.213780159718783e-8,5.1572557147606285e-9,TRUE,MEGLU10,0.14743031350329966,0.19485753633777167,1.32169247766953,8.665131911479155e-15,0.16104364843112084,0.023217575364487025,0.0998012824971769,0.0220515363735658,3.1131825488267404e-4,0.11829918359420682,0.3964379858621704,0.13854251828272576,0.9431146910597836,0.007552325380487499,0.4690844851182512,6.720354495776103e-5,0.2814339316225237,0.9379800968115826,0.06169233979895149,0.9892445589070392,0.6972283350025004,0.0010399804374807491,4.689972455249713e-5,0.15999358299518895,0.4805877779699314,0.049238015589830736,0.14889677992949873,1.5518446148070637e-4,0.11528456320959668,5.529422202972154e-5,0.27832932359703233,0.18357337439720872,0.05412527202299657,0.2428238125414099,0.05703548502380575,0.4645822884772402,0.7620265600268563,0.11496247400631175,0.6469945290057685,0.18319465996137566,0.9931293546634928,2.3701289124907974e-5
DEGLU5,9.143841215738517e-6,3.29371932207448e-8,7.686926470223176e-9,TRUE,DEGLU5,0.14068526510433566,0.1958600576280552,1.392186008128148,9.155471456052064e-13,0.14062240048997016,0.07249426956893992,0.3473199614041285,0.016305503355724803,1.3989573108674286e-4,0.7731648810129517,0.0485598077631587,0.03500297118005998,0.17130461454486806,2.502739089251679e-4,0.531144627603448,5.437419318568434e-4,0.4926778681856204,0.7437751758011003,0.05152971401287206,0.9997073887201999,0.14510458922891278,0.0023301751434771072,2.1266813864159398e-4,0.34101983333872354,0.4569012260534547,0.14596786470456102,0.14205271943822362,0.001943016936281425,0.0026982416911921995,9.114751677096291e-5,0.006187637276752726,0.014952167995697182,0.00303787651529247,0.011913163221415935,0.13282607436478466,0.42882461252236215,0.008140762800812721,0.03412381042692162,0.039514284884847366,0.12890977958613165,0.970180566168246,1.0798844326642141e-7
MEGLU1,1.54073539126303e-5,2.2382065397793703e-8,5.3708014519754266e-9,TRUE,MEGLU1,0.16126018688555435,0.21426908154628305,1.328716564729947,3.174277347684644e-15,0.3760657839670647,0.10602910131921656,0.3923024467198298,0.029079498194511874,5.813526080859085e-5,0.4583160968570603,0.05607891899899694,0.3852555168053409,0.2723509801263497,0.014148006510148888,0.3632237774475076,1.7335490277495968e-4,0.6634011226578796,0.9890729794356358,0.20294497209515544,0.963118178238514,0.2742958188364738,0.002022484248472252,1.9324676806499773e-6,0.4540328464810899,0.1378407685684967,0.2886499213065732,0.16626756055159736,2.430724806975108e-4,3.6945920215837537e-4,7.306950755336878e-4,0.006565906352120201,0.08821174852872132,0.002621536828461936,0.1578315772384397,0.09566864447399633,0.4031191094749778,0.022321839347764084,0.09664060358232468,0.11019978747955933,0.26966444177880955,0.9870418712518934,2.9369815453239838e-5
MEGLU3,3.848011514493006e-5,2.7312155007611372e-08,6.908044157635334e-9,TRUE,MEGLU3,0.09937019354557974,0.13704278767167355,1.3791136233302586,3.819520290370114e-12,0.8894772980114435,0.007910555728353,0.2768503064222967,0.004970267512426266,4.067418012473444e-5,0.1558297486199241,0.4764192071691675,0.3767459653431327,0.1089505021494575,0.00507092346837502,0.4580769506226307,3.760611957494785e-4,0.20212736237001905,0.8619316495879576,0.1893641974869684,0.7490167834006262,0.21519159968278614,1.1456840849908301e-4,2.0600783885256567e-6,0.2906347285955119,0.36264699881727175,0.09159198509641908,0.07356423988896703,1.991661433130016e-4,3.01999800382714e-4,9.65434448659854e-6,0.2426495369683885,0.061354387726025264,0.042803963538770494,0.050887225806860586,0.057123120813477965,0.6276994217785721,0.5419933718109966,0.08657035561796739,0.15010326505316818,0.337394770755717,0.9986257748603988,1.5847612404845283e-6
TEGLU23,4.0510051406358794e-5,1.5464058549206257e-8,3.923531235423116e-9,TRUE,TEGLU23,0.2135043130966235,0.27528821688939986,1.2893801202264958,2.9344333773292704e-16,0.8898998428408614,0.02045704271638529,0.7016872349870842,0.2580948259717847,1.0562962061894047e-7,0.3050752573588085,0.06002908971909239,0.5573804114923097,0.5986711347201856,0.0035629569455538266,0.22187134586294768,6.938149978198105e-7,0.052186468420086514,0.8299305713654082,0.19372814576378056,0.8029117025384098,0.5440392106164353,0.037738869247601066,7.875644691162028e-9,0.13203165458059568,0.4763889217974605,0.1921312435836977,0.99570603440538,0.002730838089011876,0.4048772914676349,9.718910283007329e-4,0.021485551135430887,0.7363261714115329,0.001799982737979109,2.328193381763561e-5,0.6448991261142288,0.2321662593500953,0.1927917207505173,0.29954335646767066,0.5207027191028429,0.6142185594722277,0.9973497469270926,3.64909957925397e-4
DEGLU4,4.185732836360683e-5,1.8251117773153824e-8,4.639907308697043e-9,TRUE,DEGLU4,0.11906360153550476,0.15846675935753166,1.3309420957695188,1.784970757096424e-13,0.1865991225350131,0.029393623920521063,0.4525149959612442,0.054903089181010514,5.434574937333019e-4,0.5347895106614771,0.3022333311279951,0.3730871438688136,0.2477251405550365,3.23650862853834e-4,0.7678005911444286,9.762693451494788e-7,0.16335078501926076,0.8456999979156856,0.05242971891157218,0.9980663833073729,0.3131376329907629,0.0024972009317957163,2.885063012493142e-5,0.8366727068650637,0.8379072937534735,0.7547357298727994,0.24625000753626186,3.2953381980520187e-6,0.2881292696267027,1.7825068810452294e-6,0.10373700500579652,0.2837528350503257,0.0016727580195935196,3.7997057268282736e-5,0.010661767356596557,0.5741313418815461,0.03469974222304294,0.07010262959757542,0.24576116579964855,0.2699838411636052,0.9327461904026882,4.08354074048274e-7
TEGLU19,4.500597894796745e-5,1.8773617658949622e-8,4.794020099788002e-9,TRUE,TEGLU19,0.12653280582743368,0.16997207901378322,1.3433044332044002,1.352407663693184e-15,0.4068208908466061,0.11621599749054068,0.6027432505563349,0.01660321780523034,3.335530382433857e-8,0.09237738889083312,0.03611756433242013,0.5191876853037525,0.5006213653047012,0.03681306343988342,0.2817843647443408,2.612012609348186e-9,0.2875111950300257,0.9397414428007684,0.17120708066254553,0.9951188517576108,0.3368073046197469,0.010864205605330758,3.4608108117280547e-13,0.1071426412043764,0.8456761370455341,0.4534099023611923,0.6591323687399282,0.0024136363691192467,0.3185645896591047,1.3561970319078093e-5,0.4049697675687349,0.6431866778246185,2.530149690524201e-4,1.7156906249821295e-9,0.2087929989455743,0.1733612192879368,0.6176453652552614,0.4096889423702079,0.32874497275610925,0.4549631074007808,0.9669646459669412,2.875192564918897e-6
