Annotation,Coefficient p-value,Coefficient,Coefficient std error,Annotation size,h2g prop.,h2g enrichment,h2g enrichment P-value,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
TEGLU23,9.28934614171e-6,1.67548493398e-8,3.91347631967e-9,0.182497538928,0.241670025001,1.32423717285,2.8741975385284006e-15,0.929715168922,0.042730602973,0.441189737246,0.191682336803,4.97687985933e-8,0.536273243567,0.0503570696119,0.464806755606,0.8143785563,0.00505517044426,0.206978492097,5.63845929825e-6,0.0696034960316,0.642316886149,0.153285284438,0.848096685818,0.595060339234,0.0204699587035,3.87861798285e-8,0.18399814428,0.358008076298,0.280195131204,0.989398323258,0.00203922823696,0.356233779844,1.90942550865e-4,0.0314731271947,0.830014345538,0.00183908494797,1.53356719532e-4,0.0653689016631,0.186020464876,0.0459165458971,0.0879649594301,0.415820114296,0.56799285766,0.998619644295,2.51611039872e-5
DEINH3,1.10982885249e-5,2.28225509394e-8,5.3806900306e-9,0.134163963058,0.185427219875,1.38209408584,9.804025222032659e-14,0.300718609148,0.0189197336381,0.206056597985,0.221581910952,0.00159978218488,0.275296595976,0.0317361612293,0.711060263334,0.552856091928,0.0935252826458,0.132076108289,0.148618214904,0.3102456257,0.619754971728,0.116501427659,0.821182089748,0.129162758129,0.0631969732038,0.0537172303621,0.160822146164,0.221160536531,0.102570357045,0.483478811829,0.323439916649,0.0158998606837,0.0450483262536,0.00293671927641,0.0196736652041,0.00148647004046,0.066634572812,0.225107358522,0.176048562468,0.066677582484,0.00288564227378,0.0150480782296,0.221129071575,0.950477916742,0.0178631508033
MEGLU1,1.9027591752e-5,2.10568128393e-8,5.11214152589e-9,0.134102478435,0.182333335002,1.35965671276,2.2514297607931923e-14,0.80406595845,0.045276551755,0.410377466151,0.0136060167297,0.00473129615493,0.786810640847,0.30501028331,0.210801718105,0.255746737476,0.0637613218846,0.358099132003,0.0122397488133,0.842001559782,0.97891196713,0.24018155817,0.809185155493,0.134586592613,0.00100269233265,0.00321472604949,0.680099663937,0.604175229642,0.454011322132,0.0797825951747,0.00873516758311,8.13348144788e-4,0.00342906671653,0.0382220541286,0.0982079353924,0.0389290031157,0.293520347784,0.158279460618,0.348471564194,0.0540821956403,0.44915015934,0.0644902580398,0.300341204736,0.973413797854,3.76799829065e-5
MEINH2,2.51563167433e-5,2.57544612789e-8,6.35258553457e-9,0.139807025933,0.195322196458,1.39708426779,4.072044851165511e-12,0.117287508149,0.0284698821771,0.51298414443,0.342326662858,0.00676208586474,0.372953260718,0.0490175642997,0.467461282328,0.877447207794,0.0796080869566,0.330270405933,0.0845548643299,0.20362248007,0.92525644784,0.0303779797083,0.889516936319,0.701652049394,0.0209232008235,0.0376044108361,0.463525087696,0.0142087077167,0.122300280659,0.164487368292,0.100285549855,0.00551984113423,0.0504575490504,0.0192766621524,0.15749916788,0.0418380471007,0.0109188789487,0.352687235243,0.612899903186,0.00485019990574,0.108261867307,0.23490637093300001,0.112975754941,0.955546090396,0.00196052193409
DEGLU5,2.90386097198e-5,3.16059314075e-8,7.86121382162e-9,0.117483222928,0.168099446768,1.43083788969,8.011010571631015e-10,0.159049208688,0.0759161000573,0.171183474961,0.16329663452,0.0184186454302,0.612324634718,0.0192041049649,0.0369405715754,0.31849919031,0.00520919773301,0.253299062856,0.00473249860501,0.377820658632,0.670353543078,0.0702490160342,0.999280645851,0.248300846024,0.0160362224594,0.00641229941799,0.174359531819,0.191498965797,0.0569302877693,0.149475158255,0.0410022384186,0.0104026509836,0.00198149595727,0.0238497565737,0.0370185159108,0.00920188547884,0.0515770297505,0.317821974507,0.0874828741601,0.00383746667684,0.03103028739,0.0727338328866,0.0866715041352,0.904574164856,9.92148840718e-5
MEGLU10,3.25819977017e-5,2.01863944218e-8,5.05508404517e-9,0.119019705764,0.159239147772,1.3379225461,1.993139848592526e-12,0.17347170042,0.0409751951863,0.0979090750595,0.0476339045855,0.00968956773813,0.144614416675,0.842244892646,0.0870768489834,0.754107324196,0.00826881415943,0.645064117453,0.00300405211184,0.336779270358,0.951307844102,0.0406802132012,0.987214277419,0.243801448911,0.0207829287611,0.00613166747009,0.257987234212,0.639656260497,0.114561810604,0.0753671516259,7.35748528514e-4,0.151456029011,0.00103652733189,0.219313847983,0.137789428195,0.263471248121,0.683856300922,0.0966346404777,0.657206614256,0.59991387196,0.113856908972,0.253860117662,0.319430614091,0.969307361504,0.00159178354452
TEGLU17,4.71024943321e-5,1.69486082526e-8,4.34017439977e-9,0.19148104006,0.248760279123,1.29913791489,3.599073156180214e-12,0.812243659063,0.0157280737629,0.245302363305,0.134300039249,1.28720463435e-8,0.190176459203,0.0215902558706,0.161338808426,0.492679826517,0.0195355932061,0.176272197252,1.61653952326e-9,0.0687503506548,0.649030741727,0.14991840815,0.984614727853,0.379391076677,2.59192969712e-5,6.96284083336e-9,0.130751473981,0.312476516843,0.569560666938,0.570258499903,8.38864797938e-4,0.0710308887387,2.04577717061e-5,0.137368853168,0.10025753351,0.0101362577731,9.53269753279e-6,0.0559613371453,0.355232195893,0.226640082686,0.0406710928052,0.561376333222,0.404177709414,0.986509508507,1.93765908861e-8
MEGLU11,8.1096978232e-5,2.15731784634e-8,5.71987723288e-9,0.124795506628,0.169261686167,1.35631234441,7.231641710647622e-11,0.376519985999,0.123046864916,0.162866912664,0.0755759697033,0.0201004892336,0.0561665742639,0.328621853809,0.11424334015,0.294462283364,8.41220689633e-4,0.430875358888,5.32045464233e-4,0.0581468835794,0.907711709967,0.024806042138,0.822546328618,0.404514735241,3.02667340823e-4,2.82779051626e-5,0.268020457262,0.115115408712,0.0424602603518,0.270883534695,2.31739710807e-4,0.0364044819914,0.00215154763417,0.323122886849,0.0715021560501,0.122591108837,0.430773680192,0.297561338206,0.358112355539,0.0372633589975,0.0322439310439,0.646869301475,0.00687538692685,0.292995498963,9.28599069165e-5
TEGLU4,1.18591162457e-4,1.97334646014e-8,5.36860279101e-9,0.192775762016,0.257888889543,1.337766153,2.4169838524445217e-12,0.067803647649,0.0366655251634,0.427349041158,0.111049917129,1.78000436866e-5,0.323844110623,0.173132362177,0.969982512596,0.296534733086,0.0281544312057,0.509202940753,2.81331997489e-7,0.846896520698,0.771367429401,0.343784893134,0.996320641721,0.0872940319195,2.69758664186e-4,1.79166232166e-9,0.106257842654,0.0653093405138,0.177930518456,0.560647296821,0.00403579403717,0.0458229057439,1.40955212491e-5,0.122490593601,0.919047431255,4.8508967242e-4,2.13806824013e-9,0.0185760161168,0.44055154114,0.0192422219423,0.140690068615,0.170147626363,0.573749158298,0.998628019786,3.67409412344e-10
DEGLU4,1.4955140497e-4,1.74499801626e-8,4.82566767494e-9,0.0984697155482,0.132322351481,1.34378728267,1.973095491017544e-10,0.864319841239,0.0757423227826,0.232463671106,0.334934234447,0.0191026313488,0.829034989602,0.459830226215,0.451729586878,0.150358757741,0.00331980688366,0.663784522845,4.809561442e-5,0.129798992352,0.621781598007,0.0527885709437,0.997813235605,0.413637364631,0.0241671328815,0.00172724461412,0.888841545104,0.997661381134,0.795889932329,0.224404283155,2.08492661043e-4,0.523697917865,1.04156928459e-5,0.289662811596,0.339139137747,0.0289193975126,2.48331691936e-4,0.0363213057426,0.530955961334,0.0418018320604,0.0415763822891,0.347335917321,0.411023506642,0.968425470581,9.61536831953e-6
