Annotation,Coefficient p-value,Coefficient,Coefficient std error,FDR < 0.05,"AD (Jansen, 2019)","ADHD (Demontis, 2017)","AN (Duncan, 2017)","ASD (Grove, 2018)","BIP (PGC, 2018)","CAD (Schunkert, 2011)","CVD (Loh, 2018)","CELIAC (Dubois, 2010)","CROHNS (Jostins, 2012)","DEP (Nagel, 2018)","BP_DIA (Loh, 2018)","EA3 (Lee, 2018)","FG_F (Lagou, 2018)","FI_F (Lagou, 2018)","HBA1C (Wheeler, 2017)","HEIGHT (Loh, 2018)","IBD (Jostins, 2012)","INS (Jansen, 2018)","INT (Savage, 2018)","HDL (Teslovich, 2010)","LDL (Teslovich, 2010)","TG (Teslovich, 2010)","SLE (Bentham, 2015)","MDD (Howard, 2019)","MS (Patsopoulos, 2011)","NEU (Nagel, 2018)","PBC (Cordell, 2015)","RA (Okada, 2014)","RT (Linner, 2019)","SCZ (Pardinas, 2018)","SWB (Okbay, 2016)","BP_SYS (Loh, 2018)","T1D (Bradfield, 2011)","T2D (Loh, 2018)","UC (Jostins, 2012)","WHR (Pulit, 2019)","WHRadjBMI (Loh, 2018)","WORRY (Nagel, 2018)"
GABA_11_Nts_1,4.7415556662098963e-4,2.6998982655088078e-8,8.168072079066465e-9,TRUE,0.8121839118388615,2.2719366800761693e-4,0.13266663615483604,0.3080156869197121,6.843805445723576e-5,0.12539938335867978,0.6510697978312148,0.11382880025421405,0.6037570817962972,1.2209037068850834e-4,0.3682867396271142,2.895903425693096e-4,0.04897631737336306,0.8107672088939537,0.24129930937139746,0.8902283673933294,0.3525760737797373,0.3744260035739201,8.594545851433817e-8,0.6700013594829601,0.36037440089614703,0.22871958233531156,0.35983183950293685,0.0076371333729738314,0.0791429918933706,5.023477933052625e-4,0.29081778696306404,0.21813113404371184,0.04105303173231878,6.320971825351535e-7,0.7277178351101693,0.29070852129571545,0.17716358717088124,0.3324520393810414,0.4557132711184062,0.25309475935752257,0.8858333872974882,0.004860583947910511
Vglut2_12_Mgat4b,8.637261074608514e-4,3.564774355307323e-8,1.137639785758136e-8,FALSE,0.5635056357345347,0.028062752741011037,0.2113476475564433,0.12878183806062404,0.027284626651000395,0.6551910890828496,0.4354713404077839,0.3636000978078818,0.12694531565633926,5.755770512635108e-4,0.27818783266763736,6.699053071873031e-4,0.29005426144152396,0.3496804582783025,0.34744919079098896,0.9861413722461738,0.09302347623664586,0.02525526027097664,9.616313002415224e-4,0.9430641056541867,0.9913014214888056,0.3355456533199846,0.4100189369196727,0.007907323651420299,0.7212164284400864,3.3809590601649637e-4,0.16284370065051826,0.3582513477860396,0.017094963770994696,0.16329337976835245,0.306837978116165,0.3882730439628889,0.5303231618183606,0.06218696955349525,0.1936800427503325,0.01405812373678712,0.1581038212320658,0.008273486155705721
Trh_1_low,0.0020494675232172565,2.408739905080868e-8,8.391518605738928e-9,FALSE,0.8747769011456945,0.025792999160778426,0.5284494839675173,0.08096632685721272,0.20931093622748448,0.2150667802419036,0.104894464557651,0.14852896580806685,0.9530462367533424,0.012426276132710364,0.11735790602076852,0.067862731110521185,0.09106718154122773,0.9030535037346524,0.4386858936684005,0.4309074954181894,0.7338684352890081,0.04114336918639936,0.03287210682254786,0.6764226183983184,0.8842202930786853,0.0965758070347466,0.19867580238405186,0.05155992957035145,0.6872156478626792,0.008882326677192976,0.4940846103450151,0.20874894456058848,0.1980293351792186,0.04853380699206344,0.06680335614400754,0.0604026015419799,0.241413546696519,0.5487512724344972,0.5126038539653646,0.07218007925062353,0.6396169118774452,0.06055099883619053
Vglut2_11,0.002215966913379982,2.179642681954644e-8,7.659530153792198e-9,FALSE,0.9212737561263356,0.006775972436073996,0.02770434022671632,0.16479254956606226,0.0077937871293648955,0.14928822189077084,0.006515103973494537,0.8468456316461355,0.6096510041930363,1.739150949361781e-4,0.10434024797142094,3.068595770823863e-4,0.3029922565429771,0.3815126185746039,0.02654533438865159,0.9773370576829976,0.1927919753609766,0.009722278371065336,4.025869183151253e-5,0.3569604050450225,0.9329863920625596,0.04265512528557242,0.16916762835789478,0.0034731463391572646,0.6261705420455794,2.6670510287210043e-4,0.3442432076725964,0.1373844077337601,7.344372828150716e-4,2.105332421348904e-4,0.5785089553629847,0.06921517608285703,0.17447952890867513,0.014143497099264915,0.21154995174398974,0.0463611269447022,0.2730008979872578,6.250641194365685e-5
GABA_7_Pomcpos_neg,0.002363801760871685,3.175809860214478e-8,1.1241681275541929e-8,FALSE,0.854381045848327,0.07272778333552064,0.1217897019616772,0.29387047321298776,0.008337126737444762,0.8005234797245584,0.1714922297769752,0.8534601085737671,0.13562130499394004,3.1034912141564503e-4,0.13492491269710205,0.006302125237484825,0.009341118356379552,0.6522060896319561,0.3288629492224729,0.4218001475312284,0.04892616312681376,0.09082625343222243,0.0019199353318420363,0.3983727474149232,0.4589791175258431,0.2281604802545374,0.5316861911279485,0.0010508270780368448,0.03569389407145629,0.08556959891383653,0.20770713625475656,0.787165426051621,0.7637358645467557,0.0270292179459174,0.6842051144689196,0.2878547983595796,0.1080196102325865,0.15202622186294984,0.040415314929017225,0.09614185836469397,0.7305017702177572,0.08284605650960841
Adcyap1_1_Tac1,0.0039330966081116,2.7664190615269625e-8,1.0408837729945657e-8,FALSE,0.6947178704531851,0.04137047939338093,0.16144696756167676,0.11744885202069222,0.009121435466659477,0.15959993561210267,0.057837808850314164,0.6988350677948878,0.24308969927567986,0.003076183894761043,0.17234916583765494,0.0016643402153710511,0.01882699044034517,0.9666544946850384,0.5884272156899606,0.6460595857191752,0.29648624398681056,0.0605651829728357,0.0025251499713750732,0.29677734032795466,0.9710561080163644,0.1496556521097791,0.2701120482916874,0.0020934210463165273,0.110754176254392,9.404717825448259e-4,0.5240760074721779,0.036196339379107684,0.00950041304814051,5.472274475968509e-4,0.7024273213610789,0.1826733054439586,0.4404078352826806,0.0242600379923036,0.5099203982160432,0.012640703106372064,0.2741039988247046,0.0010477122458741944
Vglut2_6_Prmt8_Ugdh,0.004250018972702234,2.9122787558092768e-8,1.1066848593304521e-8,FALSE,0.7765686414603779,0.0243833691726327,0.21990322959523226,0.11213426773495017,0.02039707944230412,0.23821531355631104,0.4326255854961028,0.6162445799573636,0.16651504324498625,0.003209427248978269,0.2766333190417036,1.881784112106688e-5,0.16521745879936856,0.5269169252878855,0.003055161604488969,0.9715050067913328,0.11724593176360648,0.2865970348636613,3.4275229606562464e-4,0.3832210735027332,0.5787816882263236,0.19257421466607288,0.5878031630893698,0.012454478603460136,0.30609555871059313,0.004091473395161846,0.26690878338814805,0.6704318858850301,0.03716048289526367,0.03698728151462197,0.403476151453007,0.232278783786638,0.1542202670343496,0.16291390785570353,0.29556247121505386,0.220884554685307,0.8180028124009178,7.039400588013789e-4
Vglut2_2_Crhpos_neg,0.006594734851193771,2.64326493295072e-8,1.0664294932369346e-8,FALSE,0.7694621658217401,0.7965808715122753,0.5029542422840932,0.9197458040332802,0.030566257864492925,0.0044479627140509475,0.15298011753344734,0.017804106244969576,0.06225399207643965,0.3458634040125013,0.11941462271720338,0.5402440009134284,0.2706213267766259,0.3940273741900993,0.10757145717552792,0.2868171920348725,0.12317549136274875,0.008039660972301627,0.7038807773116478,0.3965030901526582,0.17521688894620266,0.031745705529303,0.20453239480169155,0.1743215388430422,0.0014026009818806794,0.31992529209453624,0.6327694026080902,0.10002027852718526,0.11056360468167142,0.6371950704401106,0.7013096199919405,0.09016100416563866,0.008345348493613668,0.010855940030767616,0.5329569552361765,0.0403046073477534,0.04422801898860222,0.05270975028656487
Hmitpos_neg,0.008207516110478867,2.5099689312749416e-8,1.0460145172947042e-8,FALSE,0.8886413678763352,0.6968181871199615,0.3071384066627572,0.904392287828906,7.252964430505727e-4,0.3344993027748853,0.19447563298522613,0.0925205126037636,0.17935525471438085,0.2374185134078313,0.1427174190063258,0.05890790753414583,0.06746676852612409,0.5595062373472358,0.9297007555883934,0.10528363149956477,0.531709592719962,0.7298377672169158,0.1668254216310449,0.2625311308389992,0.3385145777823473,0.6147287693182057,0.20267133211481006,0.18003909613475086,0.7554808829405733,0.25983673702090354,0.7674748265189288,0.12862412540958962,0.19207403966280395,0.045812356012420084,0.13459653232815572,0.1396172194440704,0.06190521392564843,0.3447851261477305,0.9411826862272278,0.026523762717341158,0.11803173629528395,0.4923380289674567
GABA_13_Galanin,0.009533361885402594,3.864531386270161e-8,1.6485334265089372e-8,FALSE,0.8590647670038107,0.2834673197443019,0.005966350622858342,0.0627723827947797,0.017696263887657417,0.6342653979235687,0.2843988151379182,0.5683792351460627,0.6907319588570509,0.2539872131019804,0.5183471938971927,0.02137638066550622,0.02186549130291265,0.25615435115957585,0.700029472855763,0.5645311768109073,0.3970271005903017,0.0579618758390919,0.0096631887083258,0.2174927139092287,0.4402523391221798,0.2116938899089644,0.2961989707641725,0.11016467961586962,0.021245220822977057,0.7057143357201644,0.1618013418845241,0.05167466637648529,0.6791872892622222,0.19838286965477694,0.9559588840777304,0.3193239608595968,0.20059070717324332,0.2096362325806717,0.4396881362625739,0.17963516818100472,0.7686967430182425,0.4579906431021582
Vglut2_8,0.010985205141698656,1.9229763352070904e-8,8.394054411666596e-9,FALSE,0.9224169344059492,0.08502989973443864,0.2662366194787995,0.4907356094073267,0.016638917915543682,0.5312480187967291,0.5948603045537069,0.980108520370546,0.44302067745135776,0.004534265297139762,0.7168320174764168,0.01867882675312715,0.7464580627740536,0.11411850226179256,0.5529113480118285,0.9997179739604394,0.3286975169913149,0.14766145202073455,0.5964819928689606,0.9885865804729532,0.7833937002684925,0.5774954146619835,0.2375390454066234,0.0017352107977398935,0.670131664289631,7.968117637939581e-4,0.8565668323963721,0.8802264989190962,0.008418259296838553,0.023520633440504642,0.13101444001688198,0.45338052949030394,0.9300034779007904,0.07628682827567784,0.1381654282976718,0.13920372841323958,0.5609511465957794,0.007417588464160102
circadian_2_Nms_VIPpos_neg,0.01607425576124416,2.123966225148041e-8,9.913220790764337e-9,FALSE,0.6446397628934124,0.26636404863798924,0.4308293663645403,0.8467569385651577,0.03604078653860498,0.3393927929018189,0.9508611858767296,0.01884611762280812,0.14745555339179306,0.12567191342595568,0.5784215090113841,0.23890986558270036,0.8746807874662836,0.1668610078753674,0.8888286246865765,0.6269245172126429,0.277378922748691,0.2303165052350916,0.4209524273703757,0.737769156175144,0.8639814096370129,0.9107411184219479,0.9397150200069364,0.279419148818857,0.3076312344457557,0.16543229755259076,0.19098257703959154,0.1307140789462286,0.13210495642223324,0.1949352991774444,0.816230946976662,0.8129292531902341,0.3675121174798637,0.6403853416084501,0.4263400799547201,0.0382719001932975,0.2942894802492353,0.023010386667844503
Vglut2_15_Hcn1_6430411K18Rik,0.02122114430081146,1.8506190037039237e-8,9.120136520113168e-9,FALSE,0.09521800042246564,0.056630504003770225,0.47621086011858293,0.02291586151776721,0.00371612727033907,0.5076135102149503,0.04148518270325655,0.5658192553903361,0.01006042869489203,5.065259680274537e-4,0.19143088180330625,0.06814659982156407,0.07591070316523531,0.9794419804556622,0.1433489496963013,0.6528513494054377,0.04451538086348695,0.09462714291662007,0.01154043674717734,0.20298107057941886,0.3372797018454811,0.10574458307513024,0.01916575900207098,0.02614223735546294,0.3858497541638125,0.0018585450400374602,0.028715955146661875,0.004980950008535125,0.06721236577705564,0.3298564118551767,0.7701862940367471,0.27843399683307457,0.028175549917480117,0.07065887010409322,0.043092616850334234,0.10491274009069218,0.24558436654401605,0.22143083497490892
Hcrt,0.027345542016760392,1.831643991119153e-8,9.533246791666198e-9,FALSE,0.7833194793711935,0.6088160552845506,0.35764651863583463,0.5300771168093904,0.3352684822234477,0.14447121903741467,0.34524868467021386,0.2498495989691217,0.065902461110018,0.12182965346805995,0.7230700096844657,0.16323315758274698,0.370016768417493,0.5084068456108193,0.8531116826588796,0.9707119224870796,0.010243298625591469,0.3830089919705716,0.16636833560801373,0.22179048344057595,0.3676455316040603,0.1248006587063209,0.3701261273909069,0.08267892096572342,0.2555127752521934,0.1412569739135357,0.3403607922871664,0.16762838443996694,0.4216560006164343,0.15635051859517202,0.262989260229489,0.6972852250475271,0.027659113440103786,0.13085987267995502,0.038052410532339806,0.01554735001957662,0.1358967868603322,0.3490367943869642
GABA_10,0.027657279411676457,1.9009654032902063e-8,9.919475032925258e-9,FALSE,0.3028315965668256,0.07490686019667908,0.30672928388103204,0.15266595278379425,1.6353215376548638e-4,0.13040274199643392,0.5470411592211253,0.8851341506286015,0.05806276679650115,0.026245461550863845,0.6808455364105518,0.001080286217663587,0.04118353879173208,0.03814147773612205,0.12463884366559826,0.2575143364177989,0.02912926801752506,0.5929976068531385,9.646833151950363e-4,0.18836540861411574,0.2177612022028668,0.02885930126787687,0.2638278086567192,0.1011127318133383,0.05466596159434346,0.2453770505355391,0.923026424436266,0.5484174626622881,0.20801368269380494,0.025908702102559283,0.9681283072713798,0.4038820102814279,0.38759419903463016,0.4943786168659435,0.03906166519121485,0.007041226415384004,0.18677524827280265,0.4061565561682751
Dopamine_1,0.030151629592550917,2.063640736730435e-8,1.0985169389591401e-8,FALSE,0.7546441543183773,0.06385474645984386,0.0703135854079526,0.13488845923768228,3.025193817262841e-4,0.024838339750945185,0.08525477820589761,0.12754421783276165,0.4826393090335476,0.025558025503311425,0.4680734869160952,0.006377863940318527,0.03881800786598665,0.189627932250536,0.07554119547705164,0.5913002549658389,0.27377223736203804,0.7169355648926403,7.929057795714787e-4,0.8667379688595152,0.5399865807228033,0.062480554969031175,0.3837990605775192,0.0030124344094745893,0.6613181078766058,0.0015226439430779972,0.18873359266747888,0.18104826660267787,0.0775845339821073,0.050184731079822915,0.17805632406895974,0.23102674083896566,0.09516588278291388,0.003166196648662944,0.25359687022280386,0.10836747591574176,0.8326839407152113,2.6318909953963857e-4
Sst_1_low,0.043564381716146065,2.131262484453053e-8,1.2458117999247536e-8,FALSE,0.8201051501713433,0.3259677699881618,0.1637454545580973,0.5551687086144663,0.020831055590674014,0.43054317976432377,0.10259618642360324,0.9465634073610436,0.06448196962932158,0.30175678214202706,0.05154268077463653,0.11382613304946156,0.5667895167013894,0.0972357626190885,0.9909477833049042,0.10564140004403301,0.12084552359629315,0.5318067369712262,0.12565170813679016,0.8746952817162517,0.7563066675714767,0.114756606808868,0.8625179708576702,0.17781916769372358,0.5929034101322734,0.6805129609334626,0.5898149455670983,0.1974897255024503,0.35521515792715763,0.21787706390465628,0.2663915160653213,0.09097970168186148,0.4177628151752061,0.09917645767819216,0.2544413652563653,0.1372493708333884,0.2451116371448133,0.3380040778129938
Npvf,0.04366044911794493,2.9591750952276987e-8,1.730812861651625e-8,FALSE,0.5624778632197406,0.2870587248264527,0.4222489368423884,0.09850450873355164,0.32180231894453004,0.13990532433907865,0.4651099367597761,0.8476071266135927,0.06532784573075541,0.5634717893263845,0.7412904088473411,0.009956349728183402,0.5116442651871643,0.8741555274252337,0.8262206378899243,0.7797341548589033,0.1695593517949372,0.2285864427614757,0.012173742303940726,0.2350430033611149,0.2559159700254757,0.6147943906053277,0.7131985695131848,0.931323991683964,0.8046149057395633,0.6585782372541951,0.7432017045139125,0.36267057243823453,0.5704080166721861,0.8754739784882399,0.63316156496438325,0.6305834664619303,0.028634631308688163,0.7089239810369236,0.23113254951217005,0.35725315384347645,0.9800623705303908,0.7708447801662315
GABA_4_Crhpos_neg_Pgr15l,0.04435176311001548,1.7621332231555262e-8,1.0351626795448516e-8,FALSE,0.5501570245270604,0.3035051170032082,0.004038283116717461,0.2264678815953579,0.0032316829149569,0.25689341767476304,0.417822816300491,0.085348625070723,0.2244796774687424,0.02102309052791596,0.4334957387994429,0.0031857383085806264,0.2902548148504816,0.6426996252499955,0.1961632107028698,0.06306080328502868,0.029812899859236006,0.789193272402972,0.015794793913348138,0.4545818093600579,0.7849631785665943,0.17463502535456582,0.31424925774975243,0.019096652471006996,0.16760407283449466,0.017757712933685128,0.3647165860431355,0.6071522554656951,0.4606560696854426,0.04229025400192386,0.3874933072958641,0.377866932615773,0.07962287392175478,0.2584950546898281,0.1176117201257222,0.06695841089454801,0.6561364250162705,0.01564756879623816
