tissue_celltype,tissue,cell_type,n_cells,annotation,color_by_variable,annotation_fmt,DET,GES,NSI,EP,ESmu,N_cells_es
Bladder.bladder_cell,Bladder,bladder cell,695,Bladder.bladder_cell,Bladder,Bladder - bladder cell,3788,4166,1386,1949,4728,695
Bladder.bladder_urothelial_cell,Bladder,bladder urothelial cell,683,Bladder.bladder_urothelial_cell,Bladder,Bladder - bladder urothelial cell,4417,5450,1223,1697,5977,683
Brain_Myeloid.macrophage,Brain,macrophage,61,Brain_Myeloid.macrophage,Brain_Myeloid,Brain - macrophage,1544,1066,443,1064,1817,61
Brain_Myeloid.microglial_cell,Brain,microglial cell,4394,Brain_Myeloid.microglial_cell,Brain_Myeloid,Brain - microglial cell,2266,1805,1066,2238,3011,4394
Brain_Non-Myeloid.astrocyte,Brain,astrocyte,432,Brain_Non-Myeloid.astrocyte,Brain_Non-Myeloid,Brain - astrocyte,2945,2383,1741,2775,3607,432
Brain_Non-Myeloid.Bergmann_glial_cell,Brain,Bergmann glial cell,40,Brain_Non-Myeloid.Bergmann_glial_cell,Brain_Non-Myeloid,Brain - Bergmann glial cell,2023,1668,742,1570,2336,40
Brain_Non-Myeloid.brain_pericyte,Brain,brain pericyte,156,Brain_Non-Myeloid.brain_pericyte,Brain_Non-Myeloid,Brain - brain pericyte,2962,2145,777,1377,3334,156
Brain_Non-Myeloid.endothelial_cell,Brain,endothelial cell,715,Brain_Non-Myeloid.endothelial_cell,Brain_Non-Myeloid,Brain - endothelial cell,2696,1841,1231,1696,3359,715
Brain_Non-Myeloid.neuron,Brain,neuron,281,Brain_Non-Myeloid.neuron,Brain_Non-Myeloid,Brain - neuron,6272,5771,1624,3309,6730,281
Brain_Non-Myeloid.oligodendrocyte,Brain,oligodendrocyte,1574,Brain_Non-Myeloid.oligodendrocyte,Brain_Non-Myeloid,Brain - oligodendrocyte,3289,3092,1740,2539,4117,1574
Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain,oligodendrocyte precursor cell,203,Brain_Non-Myeloid.oligodendrocyte_precursor_cell,Brain_Non-Myeloid,Brain - oligodendrocyte precursor cell,5469,4666,1312,2700,5811,203
Fat.B_cell,Fat,B cell,519,Fat.B_cell,Fat,Fat - B cell,1317,658,910,1189,1839,519
Fat.endothelial_cell,Fat,endothelial cell,668,Fat.endothelial_cell,Fat,Fat - endothelial cell,1936,1337,1311,1678,2690,668
Fat.mesenchymal_stem_cell_of_adipose,Fat,mesenchymal stem cell of adipose,2107,Fat.mesenchymal_stem_cell_of_adipose,Fat,Fat - mesenchymal stem cell of adipose,3948,4086,1425,2225,4762,2107
Fat.myeloid_cell,Fat,myeloid cell,1123,Fat.myeloid_cell,Fat,Fat - myeloid cell,2199,1831,1087,1597,2949,1123
Fat.natural_killer_cell,Fat,natural killer cell,95,Fat.natural_killer_cell,Fat,Fat - natural killer cell,1127,506,531,580,1305,95
Fat.T_cell,Fat,T cell,353,Fat.T_cell,Fat,Fat - T cell,1668,990,853,1275,2151,353
Fat.unknown_cell_type,Fat,unknown cell type,102,Fat.unknown_cell_type,Fat,Fat - unknown cell type,2620,1723,671,1310,3028,102
Heart.cardiac_muscle_cell,Heart,cardiac muscle cell,133,Heart.cardiac_muscle_cell,Heart,Heart - cardiac muscle cell,2108,2352,814,1734,2738,133
Heart.endocardial_cell,Heart,endocardial cell,165,Heart.endocardial_cell,Heart,Heart - endocardial cell,2621,1520,870,1304,2890,165
Heart.endothelial_cell,Heart,endothelial cell,1365,Heart.endothelial_cell,Heart,Heart - endothelial cell,1980,1382,1284,1627,2885,1365
Heart.erythrocyte,Heart,erythrocyte,91,Heart.erythrocyte,Heart,Heart - erythrocyte,1246,1488,1153,3821,3833,91
Heart.fibroblast,Heart,fibroblast,2189,Heart.fibroblast,Heart,Heart - fibroblast,3584,2876,1490,2323,4397,2189
Heart.leukocyte,Heart,leukocyte,523,Heart.leukocyte,Heart,Heart - leukocyte,2094,1565,952,1311,2662,523
Heart.myofibroblast_cell,Heart,myofibroblast cell,178,Heart.myofibroblast_cell,Heart,Heart - myofibroblast cell,2670,1439,1000,1537,2991,178
Heart.professional_antigen_presenting_cell,Heart,professional antigen presenting cell,59,Heart.professional_antigen_presenting_cell,Heart,Heart - professional antigen presenting cell,2075,2321,522,1580,2996,59
Heart.smooth_muscle_cell,Heart,smooth muscle cell,42,Heart.smooth_muscle_cell,Heart,Heart - smooth muscle cell,1904,1143,578,1091,2073,42
Heart.unknown_cell_type,Heart,unknown cell type,28,Heart.unknown_cell_type,Heart,Heart - unknown cell type,1521,920,567,1268,1741,28
Kidney.endothelial_cell,Kidney,endothelial cell,126,Kidney.endothelial_cell,Kidney,Kidney - endothelial cell,1630,918,803,1398,2039,126
Kidney.epithelial_cell_of_proximal_tubule,Kidney,epithelial cell of proximal tubule,219,Kidney.epithelial_cell_of_proximal_tubule,Kidney,Kidney - epithelial cell of proximal tubule,1271,863,1371,1748,2045,219
