annotation,DET,GES,NSI,EP,es_mu
Astro_Aqp4,2112,1606,1052,2705,2886
Clic4,1624,1504,331,940,2301
Dlk1_1_Il1rapl2,2639,550,314,280,2915
Dlk1_2_Nts,1684,889,665,807,2307
Dlk1_3_Maob,1905,1196,854,1084,2825
Dlk1_4_Maob,1474,548,457,529,1863
Dlk1_5_Egflam,1616,386,381,350,1883
Dlk1_6_F2rl2,665,193,113,85,750
Endo_Gja5,1853,1344,586,1547,2039
Esr1_1_Insm2,2221,1124,501,625,2726
Esr1_2_Samd9l_Rorb,1794,808,410,462,2219
Esr1_3_Samd9l_Nmur2,1878,700,484,456,2191
Esr1_4_Smoc2,2608,904,431,434,2944
Esr1_5_Ngf,2296,1415,743,969,2969
Esr1_6_Ctxn3,2077,776,358,414,2481
Irx5,1981,1243,274,674,2542
Lhx1_1,2150,886,535,1024,2401
Lhx1_2,1751,1022,371,917,2185
Lhx9,1724,1174,447,779,2135
Micro_Siglech,2123,1758,1737,2773,2934
Nfib_1_Prdm13,1764,896,733,828,2192
Nfib_2_Car4,2202,1224,420,924,2634
Nr5a1_1_Npffr2,1875,852,709,1076,2665
Nr5a1_2_Ctxn3,2772,1118,575,775,3333
Nr5a1_3_Car8,2174,1312,705,992,2915
Nr5a1_4_7_Glipr1,2035,2067,813,1238,3551
Nr5a1_8_Tcf7l2,2552,993,699,854,3039
Nr5a1_9_11_Rorb,2454,970,331,355,2881
Nr5a1_Foxp2_1_Prdm13,2112,802,769,850,2485
Nr5a1_Foxp2_2_C1ql2,2130,853,609,682,2601
Nr5a1_Foxp2_3,967,460,225,287,1133
Nr5a1_Smoc2_low,696,288,566,835,1169
Nup62cl,1259,233,152,109,1344
Oligo_Opalin_1,1416,890,766,1506,1690
Oligo_Opalin_2,2060,2085,455,1568,2799
PVM_Mrc1,1925,1638,758,2443,2585
SMC,2049,1602,760,2475,2664
Satb2_Calcrl,1987,858,629,717,2479
Satb2_Six3,1451,666,332,424,1763
Scgn,1487,433,325,378,1709
Slc18a3,2603,1451,674,1022,2984
Slc32a1_1_Nup62cl,1354,649,299,586,1625
Slc32a1_2,2112,672,377,262,2438
Tbx3_1_Tac2,1567,897,272,498,1900
Tbx3_2_Anxa2,2409,1290,600,696,2849
Tbx3_3_Slc14a1,3090,1996,914,1235,3758
Tsix_Esr1_1_Gabrg3,1713,794,432,500,2122
Tsix_Esr1_2_Twist2,2214,854,416,428,2536
