annotation,DET,GES,NSI,EP,es_mu
GABA_1,4972,4917,585,1365,5641
GABA_10,2516,1125,231,441,2713
GABA_11,2449,1237,341,587,2610
GABA_12,2700,1693,157,354,3034
GABA_13,2437,1295,418,620,2591
GABA_14,1801,945,274,638,2080
GABA_15,1997,809,193,395,2096
GABA_2,2145,727,334,495,2235
GABA_3,3307,2875,351,731,3773
GABA_4,1540,709,584,1341,1819
GABA_5,4115,3696,364,852,4585
GABA_6,2217,1430,170,430,2539
GABA_7,5458,5665,660,1589,6193
GABA_8,2825,1512,335,631,3098
GABA_9,2786,1440,208,489,3007
Glut_1,3325,4809,544,1064,5194
Glut_10,1889,906,268,519,2062
Glut_11,1238,566,391,711,1486
Glut_12,3743,3786,319,763,4563
Glut_13,2763,1943,290,673,3105
Glut_14,3322,2183,184,420,3624
Glut_15,1987,988,275,558,2163
Glut_2,4362,3643,431,833,4691
Glut_3,2803,1404,245,471,2950
Glut_4,3403,2824,245,734,3908
Glut_5,4597,4434,493,1196,5189
Glut_6,3636,4095,657,1049,4678
Glut_7,1937,604,167,251,2053
Glut_8,3028,1723,122,302,3326
Glut_9,4232,3251,500,917,4504
Nonneuronal_1,1285,1294,2677,2076,2689
Nonneuronal_10,1065,775,1260,1574,1663
Nonneuronal_11,1405,1109,587,1333,1666
Nonneuronal_12,1646,1298,181,658,2156
Nonneuronal_13,2171,1513,1508,2110,2580
Nonneuronal_2,2327,1877,1942,2348,2682
Nonneuronal_3,1400,847,1432,1994,2287
Nonneuronal_4,29,33,1385,907,1385
Nonneuronal_5,1593,1253,1062,1930,2124
Nonneuronal_6,1274,984,2000,2002,2361
Nonneuronal_7,933,748,729,1348,1411
Nonneuronal_8,1169,920,535,1342,1503
Nonneuronal_9,1023,741,790,1267,1420
