annotation,DET,GES,NSI,EP,es_mu
Astrocytes_1,1986,1533,1996,2411,2858
Astrocytes_2,1458,1057,983,1722,1879
Endothelial_1,2510,1971,1948,2388,3040
Endothelial_2,1083,1131,794,1644,1687
Endothelial_3,1802,1591,828,1799,2117
Ependymal_1,1989,1408,934,1730,2288
Fibroblast_1,2052,1739,930,1827,2301
Immature_oligodendrocyte_1,3493,2426,2196,2678,4249
Immature_oligodendrocyte_2,2740,1984,770,1787,3040
Macrophage_1,1439,1244,912,1691,1911
Mature_oligodendrocyte_1,1617,1453,2697,2459,3154
Mature_oligodendrocyte_2,2072,1695,2872,2445,3110
Mature_oligodendrocyte_3,2234,1860,2401,2334,2894
Mature_oligodendrocyte_4,3002,2813,2011,2135,3516
Mature_oligodendrocyte_5,3471,4666,1192,2072,5116
Mature_oligodendrocyte_6,1124,584,853,1084,1369
Microglia_1,2092,1968,2606,2508,2934
Microglia_2,1552,1183,1048,1758,1908
Mural_1,2147,1603,1718,2054,2617
Mural_2,1795,1449,1560,2077,2329
Newly_formed_oligodendrocyte_1,3319,2313,1804,2326,3815
e10_Glut_Meis2,3983,2677,497,817,4442
e11_Glut_Shox2,3692,2084,484,745,4069
e12_Nos1_Foxp2,3401,2307,417,864,3899
e13_Ghrh_C1ql1,3886,2184,410,585,4242
e15_Ucn3_Brs3,3697,2245,412,767,4081
e16_Sst_Cartpt,2729,1706,433,571,3174
e17_Th_Adcyap1,3086,2753,429,836,4046
e19_Ghrh_Trh,2741,1820,300,669,3175
e1_Glut,4369,2483,680,831,4889
e20_Crh,2641,1891,331,637,3232
e21_Glut_Rxpf3,2770,1533,478,1015,3053
e22_Gal_Ucn3,1801,1056,278,397,2159
e23_Reln_Etv1,2017,1240,337,575,2426
e24_Gal_Rxfp1_,1846,1222,269,465,2187
e2_Tac1_Fezf1,4816,3737,631,1041,5379
e3_Cartpt_Isl1,4893,3447,598,808,5422
e4_Trh_Angpt1,4205,3070,535,812,4779
e5_Adcyap1_Nkx2.1,4974,3432,496,724,5421
e6_Nos1_Trp73,4065,2359,553,891,4383
e7_Reln_C1ql1,3578,2002,521,726,4011
e8_Cck_Ebf3,2029,1055,713,785,2313
e9_Glut_Tcf7l2,3579,1986,556,863,3820
h1_Gaba_Slc17a6,2508,1038,304,558,2752
h2_Nts_Slc17a8,4625,3234,611,985,5049
h3_Slc32a1_Gsc,3683,1721,387,592,3999
i10_Tac1_Nts,4861,3356,1276,1496,5255
i11_Gaba,4058,2662,1033,1320,4659
i12_Gaba,4163,2365,552,625,4604
i13_Gaba,4468,2902,731,1087,4836
i14_Avp_Cck,2989,1546,935,921,3307
i15_Gaba,5177,3345,561,651,5581
i16_Gal_Th,4905,4240,632,823,5626
i17_Th_Nos1,4345,2505,563,803,4702
i18_Gal_Tac2,4426,3107,528,793,4939
i1_Gaba,4303,2962,748,1513,4950
i20_Gal_Moxd1,4369,2404,625,687,4762
i21_Sst_Pou3f3,4355,2756,692,895,4699
i22_Gal_Pmaip1,3350,1860,613,738,3792
i23_Crh_Nts,4076,2613,530,934,4412
i24_Nmu,4370,2775,529,711,4791
i25_Npy_Etv1,3641,2151,667,991,4011
i26_Tac1_Prok2,1350,633,909,1050,1666
i27_Th_Trh,3451,1737,449,585,3756
i28_Gaba_Six6,3831,1788,362,440,4177
i29_Gaba_Igsf1,3891,2578,479,792,4380
i2_Tac1_Pdyn,4568,3296,1534,1797,5112
i30_Vip,1920,1039,737,841,2239
i31_Calca,2713,1189,390,493,3056
i32_Sst_Npy,2185,1061,464,607,2491
i35_Crh_Tac2,3019,1117,296,367,3248
i37_Bdnf_Chrm2,2937,1707,502,851,3247
i38_Kiss1_Th,2583,1182,303,462,2955
i39_Gaba,2224,945,236,359,2494
i3_Penk_Nts,3920,2653,1593,1691,4449
i40_Sst_Reln,2045,1108,319,624,2311
i41_Npy_Penk,2164,983,270,402,2419
i42_Pthlh,2090,1065,317,542,2368
i43_Chat,2006,1401,337,680,2447
i44_Th_Cxcl14,1866,1135,405,632,2139
i45_Bdnf_Pmaip1,1148,476,358,582,1345
i4_Gaba_Mylk,3578,1869,1449,1467,4098
i5_Gaba_Pou3f3,5260,4224,989,1507,5752
i6_Avp_Nms,3113,2156,1350,1332,3673
i7_Gaba,5600,4948,780,1135,6412
i8_Gal_Amigo2,5202,3504,645,630,5729
i9_Gaba,4692,2978,612,672,5252
