Name	Coefficient	Coefficient_std_error	Coefficient_P_value
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU10.sem_mean	2.17246030681e-08	4.79084540546e-09	2.88553641805e-06
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEINH3.sem_mean	2.24766388391e-08	5.02674110333e-09	3.88521152224e-06
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU1.sem_mean	2.08554018447e-08	4.87687752576e-09	9.49766590161e-06
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEINH2.sem_mean	2.57160577718e-08	6.01719263692e-09	9.61004857831e-06
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU11.sem_mean	2.30234786785e-08	5.59354344704e-09	1.92684345012e-05
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEGLU5.sem_mean	3.15011708465e-08	7.77909741094e-09	2.56675942326e-05
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU23.sem_mean	1.46911173035e-08	3.82853328642e-09	6.22047404706e-05
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEINH12.sem_mean	1.69367879219e-08	4.53205559724e-09	9.30739440805e-05
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU17.sem_mean	1.65131741113e-08	4.45235619007e-09	0.000104096478854
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.DEGLU4.sem_mean	1.70005056475e-08	4.69619909419e-09	0.00014726939643
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.TEGLU4.sem_mean	1.79115795785e-08	5.10819639127e-09	0.00022707267001
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.HBSER5.sem_mean	1.65593184746e-08	4.77067581128e-09	0.000259200738292
celltypes.mousebrain_190306_es_fix.all__mousebrain_all_190306_es_fix.MEGLU3.sem_mean	2.45323246931e-08	7.29281593284e-09	0.000384242872811
