annotation	gene	annotation_value	data	run	cell_cluster	gene_input	hgnc	gene_loadings
antiquewhite3	ENSG00000187123	0.698377706784144	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000050447	Lypd6	0.329733381889608
antiquewhite3	ENSG00000023516	0.643126799204133	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022016	Akap11	0.303647113052768
antiquewhite3	ENSG00000139163	0.585516704393171	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030275	Etnk1	0.27644697305908
antiquewhite3	ENSG00000119772	0.566077123052859	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020661	Dnmt3a	0.267268732064855
antiquewhite3	ENSG00000172380	0.550219191181403	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000036402	Gng12	0.25978153787902103
antiquewhite3	ENSG00000117152	0.5500043712417979	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000038530	Rgs4	0.259680112383197
antiquewhite3	ENSG00000129245	0.537546018131854	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000018765	Fxr2	0.253798001794884
antiquewhite3	ENSG00000165629	0.472968199283239	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000025781	Atp5c1	0.22330810729057698
antiquewhite3	ENSG00000116106	0.468115948975171	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000026235	Epha4	0.221017156579648
antiquewhite3	ENSG00000183454	0.4642223965447079	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000059003	Grin2a	0.21917884731234197
antiquewhite3	ENSG00000100380	0.452147241452899	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000022403	St13	0.21347766056685197
antiquewhite3	ENSG00000103056	0.437375655061659	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031906	Smpd3	0.20650337560708898
antiquewhite3	ENSG00000141002	0.4276708604809579	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000001472	Tcf25	0.20192133539224102
antiquewhite3	ENSG00000054523	0.400885208934074	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000063077	Kif1b	0.189274706805913
antiquewhite3	ENSG00000162702	0.352659901864655	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000041483	Zfp281	0.16650551838796201
antiquewhite3	ENSG00000077264	0.314120669744915	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000031284	Pak3	0.148309531862582
antiquewhite3	ENSG00000060982	0.27750805880543894	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000030268	Bcat1	0.13102318393422
antiquewhite3	ENSG00000071127	0.27633961677353097	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000005103	Wdr1	0.130471513485721
aquamarine2	ENSG00000198888	0.7432706576477499	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000064341	mt-Nd1	-0.25271176092627695
aquamarine2	ENSG00000198727	0.7149489704088751	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000064370	mt-Cytb	-0.243082397274024
aquamarine2	ENSG00000198763	0.7125279205010809	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000064345	mt-Nd2	-0.24225924116097897
aquamarine2	ENSG00000198886	0.680504129634352	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000064363	mt-Nd4	-0.23137116358358997
aquamarine2	ENSG00000054793	0.631906560829302	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027546	Atp9a	-0.214848007364392
aquamarine2	ENSG00000139970	0.611161644533374	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021087	Rtn1	-0.20779474315508897
aquamarine2	ENSG00000197457	0.6020192626677929	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000027581	Stmn3	-0.204686336551735
aquamarine2	ENSG00000166598	0.5895133419938101	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000020048	Hsp90b1	-0.200434327942208
aquamarine2	ENSG00000011083	0.580626532361545	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000052026	Slc6a7	-0.197412815807862
aquamarine2	ENSG00000154096	0.578287716713596	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000032011	Thy1	-0.19661761931410301
aquamarine2	ENSG00000258986	0.5699022754838051	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000054013	Tmem179	-0.19376657225941302
aquamarine2	ENSG00000188157	0.565398748218808	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000041936	Agrn	-0.192235374580874
aquamarine2	ENSG00000100626	0.560201499004191	Neurons_sub_ClusterName_7.2	run1	DEGLU4	ENSMUSG00000021130	Galnt16	-0.190468311684626
