GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	ZFITTED_BASE	ZRESID_BASE	ensembl_gene_id	mmusculus_homolog_ensembl_gene
375790	1	945503	992999	1	1	605446	-0.56036	-1.5829e-4	-0.5602	ENSG00000188157	ENSMUSG00000041936
401934	1	1005626	1019687	6	1	662343	-1.1122	-1.5829e-4	-1.112	ENSG00000237330	NA
54991	1	1015698	1061736	24	5	649301	-0.78859	-1.5829e-4	-0.78843	ENSG00000131591	ENSMUSG00000059939
254173	1	1099286	1134815	11	4	643729	-0.85579	-1.5829e-4	-0.85563	ENSG00000162571	ENSMUSG00000029074
8784	1	1137388	1152163	5	2	663009	0.89392	-1.5829e-4	0.89408	ENSG00000186891	ENSMUSG00000041954
7293	1	1145206	1159703	4	2	659779	0.22037	-1.5829e-4	0.22053	ENSG00000186827	ENSMUSG00000029075
51150	1	1150788	1177447	7	2	679894	0.070318	-1.5829e-4	0.070476	ENSG00000078808	ENSMUSG00000029076
126792	1	1157629	1171921	4	2	684220	-0.46299	-1.5829e-4	-0.46283	ENSG00000176022	ENSMUSG00000050796
388581	1	1176326	1192102	5	1	655078	-0.046315	-1.5829e-4	-0.046157	ENSG00000184163	ENSMUSG00000023571
118424	1	1187792	1219234	11	4	665523	-0.65991	-1.5829e-4	-0.65975	ENSG00000160087	ENSMUSG00000023286
6339	1	1205816	1228909	5	2	662528	-0.96286	-1.5829e-4	-0.9627	ENSG00000162572	NA
116983	1	1226264	1253304	6	2	612692	-1.2912	-1.5829e-4	-1.291	ENSG00000131584	ENSMUSG00000029033
126789	1	1233962	1248557	3	1	594752	-0.86063	-1.5829e-4	-0.86047	ENSG00000169972	ENSMUSG00000051557
54973	1	1245465	1270067	2	1	624568	-0.45647	-1.5829e-4	-0.45631	ENSG00000127054	ENSMUSG00000029034
54587	1	1286571	1307183	1	1	600448	1.4921	-1.5829e-4	1.4923	ENSG00000162576	ENSMUSG00000029070
54998	1	1307610	1320818	2	1	642898	-0.80332	-1.5829e-4	-0.80316	ENSG00000175756	ENSMUSG00000065990
55210	1	1437523	1471567	5	1	635083	-0.99056	-1.5829e-4	-0.9904	ENSG00000197785	NA
339453	1	1468658	1485740	7	1	669767	-1.7352	-1.5829e-4	-1.735	ENSG00000205090	ENSMUSG00000084845
29101	1	1475553	1520262	16	2	673974	-2.1945	-1.5829e-4	-2.1943	ENSG00000160075	ENSMUSG00000029038
65220	1	1681171	1721508	4	2	743802	4.1331	-1.5829e-4	4.1333	ENSG00000008130	ENSMUSG00000029063
2782	1	1715225	1832552	41	6	657798	4.9564	-1.5829e-4	4.9566	ENSG00000078369	ENSMUSG00000029064
163688	1	1836266	1850233	2	1	688023	4.9908	-1.5829e-4	4.991	ENSG00000169885	NA
339456	1	1847529	1860740	2	1	674323	3.5237	-1.5829e-4	3.5239	ENSG00000178821	ENSMUSG00000023153
85452	1	1851890	1945276	15	4	662022	5.187	-1.5829e-4	5.1871	ENSG00000142609	NA
5590	1	1971909	2118334	67	7	681249	-0.90558	-1.5829e-4	-0.90542	ENSG00000067606	ENSMUSG00000029053
100506504	1	2111750	2125812	7	2	692997	-0.21629	-1.5829e-4	-0.21613	ENSG00000182873	NA
199990	1	2114399	2154159	10	3	689352	-0.15584	-1.5829e-4	-0.15568	ENSG00000162585	ENSMUSG00000073684
6497	1	2150134	2243152	62	14	674298	0.85224	-1.5829e-4	0.8524	ENSG00000157933	ENSMUSG00000029050
79906	1	2250219	2333190	76	18	670951	0.49343	-1.5829e-4	0.49359	ENSG00000116151	ENSMUSG00000029049
11079	1	2313214	2338383	14	6	662131	-0.044879	-1.5829e-4	-0.04472	ENSG00000157916	ENSMUSG00000029048
5192	1	2334741	2354010	4	1	635143	0.11474	-1.5829e-4	0.1149	ENSG00000157911	ENSMUSG00000029047
9651	1	2397754	2438464	20	5	681401	3.5767	-1.5829e-4	3.5768	ENSG00000276429	NA
55229	1	2438475	2468061	11	2	674005	3.366	-1.5829e-4	3.3661	ENSG00000273494	NA
388585	1	2458684	2471684	1	1	672447	2.0586	-1.5829e-4	2.0587	ENSG00000273529	NA
8764	1	2477291	2496768	7	3	680865	4.5201	-1.5829e-4	4.5202	ENSG00000273936	NA
127281	1	2507899	2524408	4	1	690839	3.4533	-1.5829e-4	3.4535	ENSG00000157870	ENSMUSG00000029059
79258	1	2520578	2574499	25	3	684775	1.647	-1.5829e-4	1.6471	ENSG00000142606	ENSMUSG00000058183
100287898	1	2571307	2716230	4	2	691941	4.535	-1.5829e-4	4.5351	ENSG00000215912	ENSMUSG00000046637
140625	1	2928046	2940967	8	2	687054	0.74551	-1.5829e-4	0.74567	ENSG00000169717	ENSMUSG00000051276
63976	1	2975565	3356685	293	61	672152	-2.1651	-1.5829e-4	-2.165	ENSG00000142611	ENSMUSG00000039410
27237	1	3361147	3399177	21	3	676853	-1.2116	-1.5829e-4	-1.2115	ENSG00000130762	ENSMUSG00000029032
1953	1	3403006	3538059	47	17	620693	0.19818	-1.5829e-4	0.19834	ENSG00000162591	ENSMUSG00000057751
127262	1	3531556	3548195	10	4	646116	-0.52246	-1.5829e-4	-0.5223	ENSG00000158109	ENSMUSG00000029030
49856	1	3545831	3576671	12	4	647196	-1.244	-1.5829e-4	-1.2439	ENSG00000116213	ENSMUSG00000029029
7161	1	3559129	3654265	41	15	636144	-1.1607	-1.5829e-4	-1.1605	ENSG00000078900	ENSMUSG00000029026
148870	1	3658965	3689709	25	7	684348	-0.046294	-1.5829e-4	-0.046136	ENSG00000162592	ENSMUSG00000039492
388588	1	3679352	3694046	13	5	696008	-0.0037467999999999998	-1.5829e-4	-0.0035885	ENSG00000235169	ENSMUSG00000078350
57470	1	3695284	3723068	27	8	667837	-0.38289	-1.5829e-4	-0.38273	ENSG00000130764	ENSMUSG00000029028
9731	1	3727145	3783797	83	9	685494	-1.9271	-1.5829e-4	-1.927	ENSG00000116198	ENSMUSG00000039523
1677	1	3763845	3803493	18	7	669761	-2.4852	-1.5829e-4	-2.4851	ENSG00000169598	ENSMUSG00000029027
339448	1	3804197	3826857	31	4	675715	0.20357	-1.5829e-4	0.20372	ENSG00000198912	ENSMUSG00000047613
55966	1	4705105	4845351	211	50	676614	-0.81201	-1.5829e-4	-0.81185	ENSG00000196581	ENSMUSG00000039546
261734	1	5921370	6062618	161	13	686179	-2.5862	-1.5829e-4	-2.5861	ENSG00000131697	ENSMUSG00000039577
8514	1	6042358	6162753	58	16	661631	0.72056	-1.5829e-4	0.72072	ENSG00000069424	ENSMUSG00000028931
26038	1	6160347	6250194	53	12	658553	-1.6331	-1.5829e-4	-1.6329	ENSG00000116254	ENSMUSG00000005045
6146	1	6243580	6269679	6	2	671021	-0.028374	-1.5829e-4	-0.028216	ENSG00000116251	ENSMUSG00000028936
388591	1	6256189	6282859	11	3	682795	-0.1138	-1.5829e-4	-0.11364	ENSG00000158286	ENSMUSG00000058498
23463	1	6279753	6306044	8	3	619447	0.21908	-1.5829e-4	0.21924	ENSG00000116237	ENSMUSG00000039662
390992	1	6294252	6307138	3	2	562150	2.1133	-1.5829e-4	2.1135	ENSG00000173673	ENSMUSG00000028946
387509	1	6305906	6331035	11	2	672449	1.996	-1.5829e-4	1.9961	ENSG00000158292	ENSMUSG00000042804
11332	1	6322832	6463826	49	7	683697	-1.0858	-1.5829e-4	-1.0856	ENSG00000097021	ENSMUSG00000028937
54626	1	6473792	6494724	5	2	690927	-2.1191	-1.5829e-4	-2.119	ENSG00000069812	ENSMUSG00000028940
83715	1	6474836	6522504	7	2	690522	-2.3124	-1.5829e-4	-2.3123	ENSG00000187017	ENSMUSG00000028943
8718	1	6519287	6537432	6	2	651620	-0.68555	-1.5829e-4	-0.68539	ENSG00000215788	ENSMUSG00000024793
57449	1	6524652	6590121	38	7	675252	2.4033	-1.5829e-4	2.4035	ENSG00000171680	ENSMUSG00000039713
79707	1	6579907	6624658	33	2	688849	1.6279	-1.5829e-4	1.6281	ENSG00000162408	ENSMUSG00000028948
80835	1	6604987	6641317	12	2	682824	2.5541	-1.5829e-4	2.5543	ENSG00000173662	ENSMUSG00000028950
3104	1	6630051	6650840	8	3	700088	4.3071	-1.5829e-4	4.3072	ENSG00000204859	ENSMUSG00000028952
9903	1	6649284	6672958	9	3	703076	4.4039	-1.5829e-4	4.4041	ENSG00000162413	ENSMUSG00000073700
148479	1	6663756	6685593	8	3	703461	4.5116	-1.5829e-4	4.5118	ENSG00000116273	ENSMUSG00000047777
90326	1	6674925	6697146	13	3	698864	4.0849	-1.5829e-4	4.0851	ENSG00000041988	ENSMUSG00000039759
55735	1	6692728	6771966	48	6	690870	3.8391	-1.5829e-4	3.8392	ENSG00000007923	ENSMUSG00000039768
23261	1	6835384	7831266	937	124	683670	2.624	-1.5829e-4	2.6242	ENSG00000171735	ENSMUSG00000014592
9341	1	7821329	7842992	12	4	666081	0.34203	-1.5829e-4	0.34218	ENSG00000049245	ENSMUSG00000028955
8863	1	7834413	7906741	63	11	680517	1.3708	-1.5829e-4	1.3709	ENSG00000049246	ENSMUSG00000028957
10911	1	7906172	7923551	8	4	667355	0.58953	-1.5829e-4	0.58969	ENSG00000049247	ENSMUSG00000028963
3604	1	7974431	8013225	12	4	681754	1.5056	-1.5829e-4	1.5058	ENSG00000049249	ENSMUSG00000028965
11315	1	8011714	8046842	13	3	686761	2.1027	-1.5829e-4	2.1029	ENSG00000116288	ENSMUSG00000028964
54206	1	8070279	8096393	10	2	685265	1.4888	-1.5829e-4	1.489	ENSG00000116285	ENSMUSG00000028967
50651	1	8368171	8405727	20	5	680193	-0.26035	-1.5829e-4	-0.26019	ENSG00000162426	ENSMUSG00000039838
473	1	8410964	8887699	259	12	685935	2.8243	-1.5829e-4	2.8244	ENSG00000142599	ENSMUSG00000039852
2023	1	8919559	8949151	21	3	683053	0.045488	-1.5829e-4	0.045646	ENSG00000074800	NA
765	1	8995893	9036651	50	16	668659	0.56379	-1.5829e-4	0.56395	ENSG00000131686	ENSMUSG00000028972
155184	1	9061859	9096404	33	13	663506	-2.1966	-1.5829e-4	-2.1964	ENSG00000197241	ENSMUSG00000062064
6518	1	9095505	9141763	31	7	679288	-0.68122	-1.5829e-4	-0.68106	ENSG00000142583	ENSMUSG00000028976
80045	1	9161972	9199229	15	4	684186	0.021345	-1.5829e-4	0.021504	ENSG00000180758	ENSMUSG00000047875
9563	1	9284822	9332896	24	6	693615	-0.077966	-1.5829e-4	-0.077808	ENSG00000049239	ENSMUSG00000028980
80176	1	9325202	9431091	65	22	678796	-0.2301	-1.5829e-4	-0.22995	ENSG00000171621	ENSMUSG00000039911
84275	1	9589528	9644331	12	2	685816	0.71395	-1.5829e-4	0.71411	ENSG00000171612	ENSMUSG00000028982
199953	1	9638932	9676435	12	2	685432	0.12235	-1.5829e-4	0.12251	ENSG00000188807	ENSMUSG00000044700
5293	1	9701789	9790672	28	8	677797	0.7642	-1.5829e-4	0.76436	ENSG00000171608	ENSMUSG00000039936
22883	1	9787579	9894550	25	3	684009	2.1219	-1.5829e-4	2.1221	ENSG00000171603	ENSMUSG00000039953
