GENE	CHR	START	STOP	NSNPS	NPARAM	N	ZSTAT	ZFITTED_BASE	ZRESID_BASE	ensembl_gene_id	gene_symbol	mmusculus_homolog_ensembl_gene
148398	1	759993	979961	46	15	457824	-0.50954	-0.001049	-0.50849	ENSG00000187634	SAMD11	ENSMUSG00000096351
26155	1	779583	994679	47	15	457824	-0.72325	-0.001049	-0.7222	ENSG00000188976	NOC2L	ENSMUSG00000095567
339451	1	795967	1001099	47	14	457824	-0.68736	-0.001049	-0.68631	ENSG00000187961	KLHL17	ENSMUSG00000078484
84069	1	801872	1010488	49	15	457824	-0.66244	-0.001049	-0.66139	ENSG00000187583	PLEKHN1	ENSMUSG00000078485
84808	1	810579	1017473	50	15	457824	-0.73418	-0.001049	-0.73313	ENSG00000187642	PERM1	ENSMUSG00000078486
57801	1	834342	1036608	59	17	457824	-0.79237	-0.001049	-0.79132	ENSG00000188290	HES4	NA
9636	1	848847	1049920	61	18	457824	-0.84681	-0.001049	-0.84576	ENSG00000187608	ISG15	ENSMUSG00000035692
375790	1	855503	1091499	72	21	457824	-0.88787	-0.001049	-0.88682	ENSG00000188157	AGRN	ENSMUSG00000041936
401934	1	907126	1109687	60	17	457824	-1.0764	-0.001049	-1.0754	ENSG00000237330	RNF223	NA
54991	1	917198	1151736	77	24	457824	-0.63877	-0.001049	-0.63773	ENSG00000131591	C1orf159	ENSMUSG00000059939
254173	1	1009286	1233315	83	24	457824	-0.68302	-0.001049	-0.68197	ENSG00000162571	TTLL10	ENSMUSG00000029074
8784	1	1038888	1242163	78	22	457824	-0.60963	-0.001049	-0.60858	ENSG00000186891	TNFRSF18	ENSMUSG00000041954
7293	1	1046706	1249703	77	21	457824	-0.58577	-0.001049	-0.58472	ENSG00000186827	TNFRSF4	ENSMUSG00000029075
51150	1	1052288	1267447	79	21	457824	-0.47953	-0.001049	-0.47848	ENSG00000078808	SDF4	ENSMUSG00000029076
126792	1	1067629	1270421	71	17	457824	-0.29716	-0.001049	-0.29611	ENSG00000176022	B3GALT6	ENSMUSG00000050796
388581	1	1077826	1282102	70	17	457824	-0.30119	-0.001049	-0.30014	ENSG00000184163	C1QTNF12	ENSMUSG00000023571
118424	1	1089292	1309234	78	18	457824	-0.26617	-0.001049	-0.26513	ENSG00000160087	UBE2J2	ENSMUSG00000023286
6339	1	1115816	1327409	73	15	457824	-0.58866	-0.001049	-0.58761	ENSG00000162572	SCNN1D	NA
116983	1	1127764	1343304	71	13	457824	-0.44646	-0.001049	-0.44541	ENSG00000131584	ACAP3	ENSMUSG00000029033
126789	1	1143962	1347057	63	12	457824	-0.48052	-0.001049	-0.47947	ENSG00000169972	PUSL1	ENSMUSG00000051557
54973	1	1146965	1360067	63	11	457824	-0.58553	-0.001049	-0.58448	ENSG00000127054	INTS11	ENSMUSG00000029034
80772	1	1160136	1364276	59	11	457824	-0.54158	-0.001049	-0.54053	ENSG00000224051	CPTP	ENSMUSG00000029073
83756	1	1166726	1369844	57	10	457824	-0.50379	-0.001049	-0.50274	ENSG00000169962	TAS1R3	ENSMUSG00000029072
1855	1	1170658	1384509	57	10	457824	-0.50379	-0.001049	-0.50274	ENSG00000107404	DVL1	ENSMUSG00000029071
54587	1	1188071	1397183	51	9	457824	-0.48173	-0.001049	-0.48069	ENSG00000162576	MXRA8	ENSMUSG00000029070
54998	1	1209110	1410818	45	8	457824	-0.49436	-0.001049	-0.49332	ENSG00000175756	AURKAIP1	ENSMUSG00000065990
81669	1	1221091	1434718	39	6	457824	-0.41801	-0.001049	-0.41696	ENSG00000221978	CCNL2	ENSMUSG00000029068
55052	1	1237276	1442693	34	6	457824	-0.21094	-0.001049	-0.20989	ENSG00000242485	MRPL20	ENSMUSG00000029066
441869	1	1253800	1456824	31	6	457824	-0.28953	-0.001049	-0.28848	ENSG00000235098	ANKRD65	NA
643965	1	1261508	1463167	29	6	457824	-0.26013	-0.001049	-0.25908	ENSG00000205116	TMEM88B	ENSMUSG00000073680
64856	1	1270903	1478262	35	8	457824	-0.71952	-0.001049	-0.71847	ENSG00000179403	VWA1	ENSMUSG00000042116
219293	1	1278152	1505538	46	9	457824	-1.2973	-0.001049	-1.2962	ENSG00000215915	ATAD3C	NA
83858	1	1307139	1544852	41	9	457824	-1.2317	-0.001049	-1.2307	ENSG00000160072	ATAD3B	NA
55210	1	1347523	1570067	36	8	457824	-0.61785	-0.001049	-0.6168	ENSG00000197785	ATAD3A	NA
339453	1	1370158	1575740	33	7	457824	-0.66763	-0.001049	-0.66658	ENSG00000205090	TMEM240	ENSMUSG00000084845
29101	1	1377053	1610262	35	8	457824	-0.41414	-0.001049	-0.41309	ENSG00000160075	SSU72	ENSMUSG00000029038
643988	1	1433388	1635476	37	9	457824	-0.63572	-0.001049	-0.63467	ENSG00000228594	FNDC10	ENSMUSG00000074738
142678	1	1450795	1665990	39	10	457824	0.39733	-0.001049	0.39838	ENSG00000197530	MIB2	ENSMUSG00000029060
