rsID	ID_nearest_gene_snpsnap_protein_coding	HGNC_nearest_gene_snpsnap_protein_coding	flag_snp_within_gene_protein_coding	ID_genes_in_matched_locus	loci_upstream	loci_downstream	snpID
rs1558902	ENSG00000140718	FTO	TRUE	ENSG00000140718	53797908	53845487	16:53803574
rs6567160	ENSG00000166603	MC4R	FALSE	ENSG00000242060;ENSG00000202468;ENSG00000267620;ENSG00000267686	57730096	57912226	18:57829135
rs13021737	ENSG00000151353	TMEM18	FALSE		601905	653874	2:632348
rs10938397	ENSG00000163281	GNPDA2	FALSE		45164637	45187622	4:45182527
rs543874	ENSG00000120341	SEC16B	FALSE	ENSG00000120341;ENSG00000254154	177793822	177913519	1:177889480
rs2207139	ENSG00000008196	TFAP2B	FALSE	ENSG00000060303;ENSG00000216913;ENSG00000008196;ENSG00000230204	50787575	50940677	6:50845490
rs11030104	ENSG00000176697	BDNF	TRUE	ENSG00000245573;ENSG00000254934;ENSG00000242527;ENSG00000255496;ENSG00000205213;ENSG00000254862;ENSG00000148943;ENSG00000176697;ENSG00000212289;ENSG00000240036	27474795	27742447	11:27684517
rs3101336	ENSG00000172260	NEGR1	FALSE	ENSG00000233994;ENSG00000227207;ENSG00000172260	72629795	72951344	1:72751185
rs7138803	ENSG00000186666	BCDIN3D	FALSE	ENSG00000167566;ENSG00000186666;ENSG00000258057;ENSG00000135472;ENSG00000242041;ENSG00000257253	50175380	50285562	12:50247468
rs10182181	ENSG00000138031	ADCY3	FALSE	ENSG00000115137;ENSG00000084710;ENSG00000240913;ENSG00000202479;ENSG00000138031;ENSG00000224165;ENSG00000237953;ENSG00000207069	25075281	25291539	2:25150296
rs3888190	ENSG00000196296	ATP2A1	FALSE	ENSG00000188603;ENSG00000198156;ENSG00000176046;ENSG00000184730;ENSG00000177455;ENSG00000252461;ENSG00000238352;ENSG00000240634;ENSG00000255524;ENSG00000271495;ENSG00000176476;ENSG00000205609;ENSG00000259982;ENSG00000177548;ENSG00000260570;ENSG00000233232;ENSG00000264455;ENSG00000238684;ENSG00000271623;ENSG00000197272;ENSG00000184110;ENSG00000178952;ENSG00000197165;ENSG00000270118;ENSG00000178188;ENSG00000196296;ENSG00000261766;ENSG00000261832;ENSG00000260796;ENSG00000270424;ENSG00000196993;ENSG00000260442;ENSG00000261089;ENSG00000238703;ENSG00000196502;ENSG00000261419;ENSG00000251417;ENSG00000168488	28338039	28955702	16:28889486
rs1516725	ENSG00000244405	ETV5	TRUE	ENSG00000244405;ENSG00000058866;ENSG00000234197	185729753	185845597	3:185824004
rs12446632	ENSG00000167191	GPRC5B	FALSE	ENSG00000180269;ENSG00000261312;ENSG00000174628;ENSG00000261939;ENSG00000167191;ENSG00000265524;ENSG00000103550;ENSG00000103544;ENSG00000261195	19707140	20048764	16:19935389
rs2287019	ENSG00000011478	QPCTL	TRUE	ENSG00000125743;ENSG00000010310;ENSG00000011478	46179043	46202172	19:46202172
rs16951275	ENSG00000137764	MAP2K5	TRUE	ENSG00000259410;ENSG00000189227;ENSG00000188779;ENSG00000259512;ENSG00000245719;ENSG00000137764;ENSG00000206625;ENSG00000103599;ENSG00000270964;ENSG00000259673	67680209	68202469	15:68077168
rs3817334	ENSG00000109919	MTCH2	TRUE	ENSG00000231880;ENSG00000172247;ENSG00000254780;ENSG00000149187;ENSG00000110536;ENSG00000252447;ENSG00000030066;ENSG00000134571;ENSG00000265559;ENSG00000213619;ENSG00000252874;ENSG00000271557;ENSG00000223187;ENSG00000165916;ENSG00000165917;ENSG00000165915;ENSG00000270072;ENSG00000255197;ENSG00000252327;ENSG00000109919;ENSG00000066336;ENSG00000200376;ENSG00000200090;ENSG00000265467;ENSG00000265910;ENSG00000264583;ENSG00000271543;ENSG00000252941;ENSG00000165923;ENSG00000123444;ENSG00000196666;ENSG00000109920	47372377	47946836	11:47650993
rs2112347	ENSG00000152359	POC5	FALSE	ENSG00000207333;ENSG00000189045;ENSG00000152359	74934009	75038901	5:75015242
rs12566985	ENSG00000116783	TNNI3K	TRUE	ENSG00000259030;ENSG00000162621;ENSG00000116783	74977277	75014538	1:75002193
rs3810291	ENSG00000130749	ZC3H4	TRUE	ENSG00000142230;ENSG00000130749;ENSG00000263555	47559074	47623080	19:47569003
rs7141420	ENSG00000021645	NRXN3	TRUE	ENSG00000021645	79891894	79943927	14:79899454
rs13078960	ENSG00000175161	CADM2	TRUE	ENSG00000241648;ENSG00000175161	85656222	85905981	3:85807590
rs10968576	ENSG00000174482	LINGO2	TRUE	ENSG00000174482	28410683	28503416	9:28414339
rs17024393	ENSG00000134183	GNAT2	TRUE	ENSG00000213366;ENSG00000254942;ENSG00000065135;ENSG00000168765;ENSG00000116337;ENSG00000228703;ENSG00000225113;ENSG00000235045;ENSG00000156097;ENSG00000134183;ENSG00000206832;ENSG00000207709	110078255	110216436	1:110154688
rs657452	ENSG00000186094	AGBL4	TRUE	ENSG00000221746;ENSG00000230114;ENSG00000215887;ENSG00000239144;ENSG00000229846;ENSG00000186094;ENSG00000225623;ENSG00000162374;ENSG00000233595;ENSG00000227839;ENSG00000237478	49388622	50566266	1:49589847
rs12429545	ENSG00000102837	OLFM4	FALSE		54064981	54107583	13:54102206
rs12286929	ENSG00000182985	CADM1	FALSE	ENSG00000182985	115001410	115102758	11:115022404
rs13107325	ENSG00000138821	SLC39A8	TRUE	ENSG00000251309;ENSG00000153064;ENSG00000138821;ENSG00000241144;ENSG00000251149	102865304	103292422	4:103188709
rs11165643	ENSG00000117569	PTBP2	FALSE	ENSG00000228502;ENSG00000234422	96883812	97034068	1:96924097
rs7903146	ENSG00000148737	TCF7L2	TRUE	ENSG00000148737	114749734	114817009	10:114758349
rs10132280	ENSG00000168952	STXBP6	FALSE		25925165	25994917	14:25928179
rs17405819	ENSG00000164749	HNF4G	FALSE	ENSG00000221029;ENSG00000238595	76567338	76987622	8:76806584
rs6091540	ENSG00000020256	ZFP64	FALSE	ENSG00000234821;ENSG00000234948;ENSG00000225785;ENSG00000232465	50912495	51236892	20:51087862
rs1016287	ENSG00000115392	FANCL	FALSE	ENSG00000233723	59289176	59335104	2:59305625
rs4256980	ENSG00000166436	TRIM66	TRUE	ENSG00000166436;ENSG00000130413;ENSG00000252778	8398847	8694830	11:8673939
rs17094222	ENSG00000075891	PAX2	FALSE		102395440	102456070	10:102395440
rs12401738	ENSG00000137960	GIPC2	TRUE	ENSG00000251785;ENSG00000213561;ENSG00000213560;ENSG00000232672;ENSG00000219201;ENSG00000077254;ENSG00000162614;ENSG00000235613;ENSG00000243437;ENSG00000273338;ENSG00000154027;ENSG00000180488;ENSG00000036549;ENSG00000235927;ENSG00000202263;ENSG00000232015;ENSG00000251958;ENSG00000162613;ENSG00000137960;ENSG00000222849;ENSG00000162616	77989923	78580790	1:78446761
rs7599312	ENSG00000178568	ERBB4	FALSE	ENSG00000178568	213401874	213414265	2:213413231
rs2365389	ENSG00000189283	FHIT	TRUE	ENSG00000189283	61131435	61278504	3:61236462
rs2820292	ENSG00000134369	NAV1	TRUE	ENSG00000223774;ENSG00000198700;ENSG00000231871;ENSG00000134369;ENSG00000221028;ENSG00000198892;ENSG00000163431	201760981	201886402	1:201784287
rs12885454	ENSG00000186960	C14orf23	FALSE	ENSG00000257522	29718644	29814928	14:29736838
rs9641123	ENSG00000004948	CALCR	TRUE	ENSG00000004948;ENSG00000127928	93149068	93255708	7:93197732
rs16851483	ENSG00000155903	RASA2	TRUE	ENSG00000249986;ENSG00000215606;ENSG00000250170;ENSG00000177311;ENSG00000155903	141107612	141338415	3:141275436
rs1167827	ENSG00000127946	HIP1	TRUE	ENSG00000242073;ENSG00000127946;ENSG00000127957;ENSG00000178809;ENSG00000200874;ENSG00000170092;ENSG00000223705;ENSG00000135213	75039300	75196531	7:75163169
rs758747	ENSG00000188827	SLX4	FALSE	ENSG00000167984;ENSG00000188827;ENSG00000261938	3624964	3647098	16:3627358
rs1928295	ENSG00000136869	TLR4	FALSE		120340216	120406009	9:120378483
rs9925964	ENSG00000103510	KAT8	TRUE	ENSG00000052344;ENSG00000103507;ENSG00000099385;ENSG00000151006;ENSG00000103496;ENSG00000261487;ENSG00000099365;ENSG00000099364;ENSG00000260852;ENSG00000260082;ENSG00000260083;ENSG00000099381;ENSG00000261385;ENSG00000265991;ENSG00000103510;ENSG00000260911;ENSG00000167394;ENSG00000167397;ENSG00000232748;ENSG00000230447;ENSG00000167395;ENSG00000099377;ENSG00000252809;ENSG00000150281;ENSG00000262721;ENSG00000255439;ENSG00000175938;ENSG00000261124;ENSG00000262766;ENSG00000211591;ENSG00000268863	30820866	31149142	16:31129895
rs11126666	ENSG00000171303	KCNK3	TRUE	ENSG00000171303	26910556	26932887	2:26928811
rs2650492	ENSG00000188322	SBK1	TRUE	ENSG00000188603;ENSG00000198156;ENSG00000176046;ENSG00000184730;ENSG00000255524;ENSG00000271495;ENSG00000176476;ENSG00000205609;ENSG00000259982;ENSG00000233232;ENSG00000238684;ENSG00000271623;ENSG00000197272;ENSG00000184110;ENSG00000197165;ENSG00000270118;ENSG00000196502;ENSG00000188322;ENSG00000261832;ENSG00000270424;ENSG00000196993;ENSG00000261089;ENSG00000238703;ENSG00000261419;ENSG00000246465	28298418	28769774	16:28333411
rs6804842	ENSG00000077092	RARB	FALSE	ENSG00000237838	25077259	25141824	3:25106437
